sample	chr_10p	chr_10q	chr_11p	chr_11q	chr_12p	chr_12q	chr_13q	chr_14q	chr_15q	chr_16p	chr_16q	chr_17p	chr_17q	chr_18p	chr_18q	chr_19p	chr_19q	chr_1p	chr_1q	chr_20p	chr_20q	chr_21p	chr_21q	chr_22q	chr_2p	chr_2q	chr_3p	chr_3q	chr_4p	chr_4q	chr_5p	chr_5q	chr_6p	chr_6q	chr_7p	chr_7q	chr_8p	chr_8q	chr_9p	chr_9q	chr_11q_BIRC2	chr_11q_CCND1	chr_1p_CDKN2C	chr_1q_CKS1B	chr_16q_CYLD	chr_1p_EVI5	chr_1p_TENT5C	chr_14q_MAX	chr_8q_MYC	chr_8q_MYC_enhancer	chr_10q_NFKB2	chr_1p_NOTCH2	chr_13q_RB1	chr_17p_TP53	chr_14q_TRAF3
SMM-001_pair	1.9577|0.0125	1.9577|0.0125	2.1818|0.008	2.1818|0.008	2.0289|0.012	2.0289|0.012	1.939|0.0176	2.0197|0.0141	1.9589|0.0082	2.008|0.0103	2.008|0.0103	2.0422|0.0062	2.0422|0.0062	1.9648|0.0108	1.9648|0.0109	2.1036|0.0151	2.1036|0.0151	1.991|0.0069	1.991|0.0069	1.9762|0.011	1.9762|0.011	1.9436|0.0148	1.9436|0.0148	1.992|0.0157	1.9471|0.0114	1.9471|0.0114	1.9482|0.0083	1.9482|0.0083	1.8976|0.0121	1.8976|0.0121	1.9265|0.0104	1.9265|0.0104	1.9798|0.0057	1.9798|0.0057	1.9568|0.0069	1.9568|0.0069	1.9448|0.0113	1.9448|0.0113	1.956|0.0085	1.956|0.0085	2.1818|0.008	2.1818|0.008	1.991|0.0069	1.991|0.0069	2.008|0.0103	1.991|0.0069	1.991|0.0069	2.0197|0.0141	1.9448|0.0113	1.9448|0.0113	1.9577|0.0125	1.991|0.0069	1.939|0.0176	2.0422|0.0062	2.0197|0.0141
SMM-002_pair	2|0.0085	2|0.0085	2.0277|0.009	1.999|0.0141	1.9951|0.0108	1.9951|0.0108	0.9903|0.0086	2.024|0.0081	2.0048|0.0147	2.0495|0.0135	2.0495|0.0135	1.7237|0.0098	1.7052|0.0127	1.9849|0.0185	1.9849|0.0185	2.0418|0.0112	2.0418|0.0112	2.0145|0.0133	2.9996|0.02	2.02|0.0173	2.02|0.0173	2.013|0.0142	2.013|0.0142	1.0072|0.0115	2.0112|0.0134	1.9936|0.0106	2.0014|0.0184	2.0014|0.0184	1.9903|0.011	1.9903|0.011	1.9922|0.0109	1.9935|0.0104	2.0789|0.0171	1.9868|0.0137	2.0125|0.0064	2.0098|0.0076	1.9933|0.0122	1.9933|0.0122	2.16|0.0147	2.015|0.0123	1.9938|0.015	1.9938|0.015	2.0212|0.0138	2.9996|0.02	2.0495|0.0136	2.0212|0.1	1.9921|0.0101	2.024|0.0081	1.9933|0.0122	1.9933|0.0122	2|0.0085	1.9921|0.0101	0.9903|0.0071	1.4099|0.0078	2.024|0.0081
SMM-003_pair	2.0228|0.0079	2.0228|0.0079	1.9833|0.0074	1.9833|0.0074	2.0365|0.0044	2.0365|0.0044	0.9765|0.0074	1.5264|0.0096	2.0032|0.0092	1.9078|0.0068	1.9078|0.0068	1.939|0.0085	1.939|0.0085	2.0728|0.0087	2.0728|0.0087	1.9284|0.0079	1.9284|0.0079	1.9874|0.0029	1.9874|0.0029	1.9627|0.0056	1.9627|0.0056	2.0245|0.0084	2.0245|0.0084	1.8954|0.0066	2.0126|0.0052	2.0126|0.0052	2.0398|0.0085	2.0398|0.0085	2.0399|0.0065	2.0399|0.0065	2.04|0.0108	2.04|0.0108	2.0286|0.0114	2.024|0.0111	1.9948|0.0058	1.9948|0.0058	1.9727|0.0061	1.9727|0.0061	1.9801|0.0113	1.9801|0.0113	1.9833|0.0074	1.9833|0.0074	1.9874|0.0029	1.9874|0.0029	1.9078|0.0068	1.9874|0.0029	1.9874|0.0029	0.9363|0.0066	1.9727|0.0061	1.9727|0.0061	2.0228|0.0079	1.9874|0.0029	0.9765|0.0074	1.939|0.0085	1.9587|0.0099
SMM-004_pair	1.9932|0.0062	1.9932|0.0062	2.9759|0.0147	2.9759|0.0147	2.0165|0.0086	2.0165|0.0086	2.0261|0.0105	2.0226|0.0075	2.992|0.009	1.9637|0.0091	1.9637|0.0091	1.9884|0.0063	1.9884|0.0063	2.0245|0.0053	2.0245|0.0053	2.9354|0.0067	2.9354|0.0067	1.9933|0.0088	1.9933|0.0088	2|0.0051	2|0.0051	2.0259|0.0071	2.0259|0.0071	1.9697|0.0084	2.0136|0.0054	2.0136|0.0054	2.9903|0.0077	2.9903|0.0077	2.0245|0.0047	2.0245|0.0047	3.0097|0.0062	3.0097|0.0062	1.9957|0.0092	1.9957|0.0092	1.9978|0.0078	1.9978|0.0078	2.01|0.0105	2.01|0.0105	2.9939|0.0137	2.9939|0.0137	2.9759|0.0147	2.9759|0.0147	1.9933|0.0088	1.9933|0.0088	1.9637|0.0091	1.9933|0.0088	1.9933|0.0088	2.0226|0.0075	2.01|0.0105	2.01|0.0105	1.9932|0.0062	1.9933|0.0088	2.0261|0.0105	1.9884|0.0063	2.0226|0.0075
SMM-005_pair	1.9338|0.0098	1.9338|0.0098	1.2769|0.0075	1.2769|0.0075	2.0172|0.0094	1.8136|0.0083	1.648|0.0078	2.2457|0.0098	2.0418|0.0101	1.4389|0.0091	1.4389|0.0091	1.7491|0.0109	1.7491|0.0109	2|0.012	2|0.012	1.662|0.0137	1.662|0.0137	2.5855|0.0097	2.5855|0.0097	1.4041|0.0098	1.4041|0.0098	1.5905|0.0149	1.5905|0.0149	1.5626|0.0137	1.9564|0.0079	1.9564|0.0079	1.6428|0.01	1.6428|0.01	1.3274|0.0067	1.3274|0.0067	1.8414|0.0146	1.8414|0.0146	1.4372|0.0105	1.4372|0.0105	0.9998|0.009	0.9998|0.009	1.4163|0.0094	1.4163|0.0094	1.6358|0.0105	1.3295|0.0156	1.2769|0.0075	1.2769|0.0075	2.5855|0.0097	2.5855|0.0097	1.4389|0.0091	2.5855|0.0097	2.5855|0.0097	2.2457|0.0098	1.4163|0.0094	1.4163|0.0094	1.9338|0.0098	2.5855|0.0097	1.648|0.0078	1.7491|0.0109	2.2457|0.0098
SMM-006_pair	2.0037|0.0095	2.0037|0.0095	1.988|0.0067	1.988|0.0067	1.6836|0.031	2.002|0.0078	1.0118|0.0045	2.0224|0.008	2.0048|0.0129	1.9922|0.0085	1.9889|0.0107	1.991|0.0104	1.991|0.0104	2.0112|0.0079	2.0112|0.0079	1.9814|0.0095	1.9874|0.0073	1.9997|0.0094	1.9997|0.0094	1.9986|0.0053	1.9986|0.0053	1.9957|0.0073	1.9957|0.0073	1.9877|0.0111	2.0038|0.0103	2.0038|0.0103	2|0.0077	2|0.0077	2.0105|0.0135	2.0105|0.0135	2.0064|0.0088	2.0064|0.0088	1.9944|0.0124	2.0108|0.0098	2.0021|0.009	2.0021|0.009	2.0044|0.0072	2.0044|0.0072	1.9983|0.0113	1.9983|0.0113	1.988|0.0067	1.988|0.0067	1.9997|0.0094	1.9997|0.0094	1.9922|0.0085	1.9997|0.0094	1.9997|0.0094	2.0224|0.008	2.0044|0.0072	2.0044|0.0072	2.0037|0.0095	1.9997|0.0094	1.0118|0.0045	1.991|0.0104	2.0224|0.008
SMM-007_pair	1.9951|0.0073	1.9951|0.0073	1.974|0.007	1.9912|0.0067	2.0064|0.0077	2.0064|0.0077	1.0991|0.0065	1.4957|0.011	2.0235|0.0094	1.9509|0.0085	1.9784|0.0084	1.945|0.0094	1.945|0.0094	2.0522|0.0117	2.0522|0.0117	1.9423|0.0121	1.9423|0.0121	2.0095|0.0107	2.9768|0.0114	1.9903|0.0107	1.9903|0.0107	1.9948|0.0118	1.9948|0.0118	1.9583|0.0276	2.0057|0.0081	2.0057|0.0081	2.0102|0.0074	2.0102|0.0074	2|0.0129	2.0384|0.0086	2.0258|0.0114	2.0258|0.0114	1.9964|0.0092	2.0127|0.008	2.0071|0.0088	2.0071|0.0088	1.9984|0.0078	1.9984|0.0078	2.02|0.0081	2.0007|0.0084	1.9912|0.0067	1.9912|0.0067	2.0194|0.0106	2.9768|0.0114	1.9784|0.0084	2.0194|0.0106	2.0194|0.0106	1.0239|0.0086	1.9984|0.0078	1.9984|0.0078	1.9951|0.0073	2.0194|0.0106	1.0991|0.0065	1.945|0.0094	1.8683|0.012
SMM-008_pair	1.8829|0.0108	1.8104|0.011	2.196|0.0204	1.7114|0.0203	2.0978|0.0118	2.028|0.0157	0|0.0143	2.0477|0.015	1.7543|0.0121	1.4645|0.0097	1.3809|0.0116	1.1195|0.0177	1.0966|0.0165	2.1141|0.013	2.1141|0.013	0.8403|0.0177	1.074|0.0168	1.8143|0.0132	2.1887|0.0181	2.0351|0.0188	1.8847|0.021	1.8526|0.0134	1.7368|0.0139	1.0653|0.0135	2.0021|0.0078	1.9806|0.0125	1.9393|0.0127	2.1036|0.0163	1.9347|0.0159	2.4976|0.012	2.1047|0.0137	2.2564|0.0121	1.8812|0.0151	2.1805|0.0099	1.964|0.0176	2.001|0.0173	2.2674|0.0283	2.3374|0.0232	2.2436|0.0118	1.8966|0.0132	2.008|0.0219	0|0.0136	2.0701|0.0121	1.6158|0.1	1.6096|0.009	2.0701|0.0121	2.0701|0.0121	2.1993|0.0131	2.3799|0.0224	2.3799|0.0224	1.8829|0.0108	2.0701|0.0121	0|0.0143	1.2593|0.0163	0.5839|0.0196
SMM-009_pair	1.9993|0.0159	1.9439|0.0174	4.1869|0.018	2.306|0.0207	2.8117|0.0162	2.8568|0.0216	3.0018|0.016	2.7937|0.0155	2.4879|0.0152	2.5364|0.0336	1.16|0.0247	2.3243|0.0248	0.7367|0.0319	3.0709|0.016	3.0709|0.016	0|0.0215	0.6266|0.0297	1.4328|0.0116	3.0713|0.0109	2.9183|0.0394	2.7757|0.0385	1.9484|0.0184	1.8388|0.0193	1.0509|0.0167	2.4264|0.012	2.0512|0.0139	2.9708|0.0102	3.0793|0.015	3.2702|0.016	3.9953|0.0112	3.3215|0.0219	3.6204|0.0182	2.0437|0.0137	2.8982|0.0097	2.2874|0.0232	3.2044|0.0223	3.2962|0.0205	3.1779|0.0162	2.9206|0.0146	2.4835|0.0169	2.7448|0.0167	0|0.0174	1.6|0.0103	0|0.0314	1.001|0.0303	1.6|0.0103	1.6|0.0103	2.8651|0.0137	3.2313|0.0145	3.2313|0.0145	1.9993|0.0159	1.6|0.0103	3.0424|0.0154	0|0.0418	2.8651|0.0137
SMM-010_pair	2|0.0072	2|0.0072	0.8903|0.0062	0.8903|0.0062	1.804|0.0078	1.804|0.0078	0.5168|0.0183	1.6126|0.0101	2.1559|0.011	0|0.0073	0|0.0073	0|0.0079	0|0.0079	2.6081|0.0104	2.6081|0.0104	0|0.0061	0|0.0061	1.4073|0.0078	9.2047|0.0071	1.6527|0.0072	1.6527|0.0072	2.4306|0.0098	2.4306|0.0098	0.1047|0.0135	2.2747|0.0127	2.2747|0.0127	2.159|0.0053	2.159|0.0053	3.0001|0.0063	3.0001|0.0063	2.5757|0.0082	2.5757|0.0082	1.4459|0.0102	1.4459|0.0102	1.3487|0.0077	1.3487|0.0077	1.8148|0.0083	1.8148|0.0083	1.2746|0.0073	1.2746|0.0073	0.8903|0.0062	0.8903|0.0062	1.4073|0.0078	9.2047|0.0071	0|0.0073	1.4073|0.0078	1.4073|0.0078	1.6126|0.0101	1.8148|0.0083	1.8148|0.0083	2|0.0072	1.4073|0.0078	0.5168|0.0183	0|0.0079	1.6126|0.0101
