sample	amp_chr_1p_NOTCH2	amp_chr_1q_CKS1B	amp_chr_2p	amp_chr_2q	amp_chr_3p	amp_chr_3q	amp_chr_4p	amp_chr_4q	amp_chr_5p	amp_chr_5q	amp_chr_6p	amp_chr_6q	amp_chr_7p	amp_chr_7q	amp_chr_8p	amp_chr_8q_MYC	amp_chr_8q_MYC_enhancer	amp_chr_9p	amp_chr_9q	amp_chr_10p	amp_chr_10q	amp_chr_11p	amp_chr_11q_CCND1	amp_chr_12p	amp_chr_12q	amp_chr_13q	amp_chr_14q	amp_chr_15q	amp_chr_16p	amp_chr_16q	amp_chr_17p	amp_chr_17q	amp_chr_18p	amp_chr_18q	amp_chr_19p	amp_chr_19q	amp_chr_20p	amp_chr_20q	amp_chr_21p	amp_chr_21q	amp_chr_22q	del_chr_1p_CDKN2C	del_chr_1p_EVI5	del_chr_1p_TENT5C	del_chr_1q	del_chr_2p	del_chr_2q	del_chr_3p	del_chr_3q	del_chr_4p	del_chr_4q	del_chr_5p	del_chr_5q	del_chr_6p	del_chr_6q	del_chr_7p	del_chr_7q	del_chr_8p	del_chr_8q	del_chr_9p	del_chr_9q	del_chr_10p	del_chr_10q_NFKB2	del_chr_11p	del_chr_11q_BIRC2	del_chr_12p	del_chr_12q	del_chr_13q_RB1	del_chr_14q_MAX	del_chr_14q_TRAF3	del_chr_15q	del_chr_16p	del_chr_16q_CYLD	del_chr_17p_TP53	del_chr_17q	del_chr_18p	del_chr_18q	del_chr_19p	del_chr_19q	del_chr_20p	del_chr_20q	del_chr_21p	del_chr_21q	del_chr_22q
SMM-001_pair	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.182	0.182	0.029	0.029	0	0.02	0	0.008	0.008	0.042	0.042	0	0	0.104	0.104	0	0	0	0	0	0.009	0.009	0.009	0.009	0.053	0.053	0.052	0.052	0.102	0.102	0.073	0.073	0.02	0.02	0.043	0.043	0.055	0.055	0.044	0.044	0.042	0.042	0	0	0	0	0.061	0	0	0.041	0	0	0	0	0.035	0.035	0	0	0.024	0.024	0.056	0.056	0.008
SMM-002_pair	0	1	0.011	0	0.001	0.001	0	0	0	0	0.079	0	0.013	0.01	0	0	0	0.16	0.015	0	0	0.028	0	0	0	0	0.024	0.005	0.05	0.05	0	0	0	0	0.042	0.042	0.02	0.02	0.013	0.013	0	0	0	0.008	0	0	0.006	0	0	0.01	0.01	0.008	0.006	0	0.013	0	0	0.007	0.007	0	0	0	0	0	0.006	0.005	0.005	1	0	0	0	0	0	0.59	0.295	0.015	0.015	0	0	0	0	0	0	0.993
SMM-003_pair	0	0	0.013	0.013	0.04	0.04	0.04	0.04	0.04	0.04	0.029	0.024	0	0	0	0	0	0	0	0.023	0.023	0	0	0.037	0.037	0	0	0.003	0	0	0	0	0.073	0.073	0	0	0	0	0.025	0.025	0	0.013	0.013	0.013	0.013	0	0	0	0	0	0	0	0	0	0	0.005	0.005	0.027	0.027	0.02	0.02	0	0	0.017	0.017	0	0	1	1	0.041	0	0.092	0.092	0.061	0.061	0	0	0.072	0.072	0.037	0.037	0	0	0.105
SMM-004_pair	0	0	0.014	0.014	0.99	0.99	0.025	0.025	1	1	0	0	0	0	0.01	0.01	0.01	0.994	0.994	0	0	0.976	0.976	0.017	0.017	0.026	0.023	0.992	0	0	0	0	0.025	0.025	0.935	0.935	0	0	0.026	0.026	0	0.007	0.007	0.007	0.007	0	0	0	0	0	0	0	0	0.004	0.004	0.002	0.002	0	0	0	0	0.007	0.007	0	0	0	0	0	0	0	0	0.036	0.036	0.012	0.012	0	0	0	0	0	0	0	0	0.03
SMM-005_pair	0.586	0.586	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.017	0	0	0.246	0.042	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.044	0.044	0.357	0.357	0.673	0.673	0.159	0.159	0.563	0.563	1	1	0.584	0.584	0.364	0.671	0.066	0.066	0.723	0.723	0	0.186	0.352	0	0	0	0.561	0.561	0.251	0.251	0	0	0.338	0.338	0.596	0.596	0.41	0.41	0.437
SMM-006_pair	0	0	0.004	0.004	0	0	0.01	0.01	0.006	0.006	0	0.011	0.002	0.002	0.004	0.004	0.004	0	0	0.004	0.004	0	0	0	0.002	0	0.022	0.005	0	0	0	0	0.011	0.011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.006	0	0	0	0	0	0.002	0.002	0	0	0.012	0.012	0.316	0	0.988	0	0	0	0.008	0.008	0.009	0.009	0	0	0.019	0.013	0.001	0.001	0.004	0.004	0.012
SMM-007_pair	0.019	0.977	0.006	0.006	0.01	0.01	0	0.038	0.026	0.026	0	0.013	0.007	0.007	0	0	0	0.02	0.001	0	0	0	0	0.006	0.006	0	0	0.023	0	0	0	0	0.052	0.052	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004	0	0	0	0.002	0.002	0	0	0.005	0.005	0.026	0.009	0	0	0.901	0.976	0.132	0	0.049	0.022	0.055	0.055	0	0	0.058	0.058	0.01	0.01	0.005	0.005	0.042
SMM-008_pair	0.07	0	0.002	0	0	0.104	0	0.498	0.105	0.256	0	0.18	0	0.001	0.267	0.38	0.38	0.244	0	0	0	0.196	0	0.098	0.028	0	0.048	0	0	0	0	0	0.114	0.114	0	0	0.035	0	0	0	0	0	0	0	0	0	0.019	0.061	0	0.065	0	0	0	0.119	0	0.036	0	0	0	0	0.103	0.117	0.117	0	0	0	0	1	0	1	0.246	0.536	0.39	0.741	0.903	0	0	1	0.926	0	0.115	0.147	0.263	0.935
SMM-009_pair	0	0	0.426	0.051	0.971	1	1	1	1	1	0.044	0.898	0.287	1	1	1	1	0.921	0.483	0	0	1	0	0.812	0.857	1	0.794	0.488	0.536	0	0.324	0	1	1	0	0	0.918	0.776	0	0	0	0.4	0.4	0.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001	0.001	0	0	0	0	0	0	0	0	0	0.999	1	1	0	0	1	1	0	0	0.052	0.161	0.949
SMM-010_pair	0	1	0.275	0.275	0.159	0.159	1	1	0.576	0.576	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.156	0	0	0	0	0.608	0.608	0	0	0	0	0.431	0.431	0	0.593	0.593	0.593	0	0	0	0	0	0	0	0	0	0.554	0.554	0.651	0.651	0.185	0.185	0.725	0.725	0	0	1	1	0.196	0.196	1	0.387	0.387	0	1	1	1	1	0	0	1	1	0.347	0.347	0	0	1
