update:pair_id	purity
SMM-001_pair	0.46
SMM-002_pair	0.84
SMM-003_pair	0.21
SMM-004_pair	0.5745
SMM-005_pair	0.0448
SMM-006_pair	0.9572
SMM-007_pair	0.53
SMM-008_pair	0.43
SMM-009_pair	0.0606
SMM-010_pair	0.0444
SMM-011_pair	0.6
SMM-012_pair	0.45
SMM-013_pair	0.1454
SMM-014_pair	0.17
SMM-015_pair	0.2
SMM-016_pair	0.34
SMM-017_pair	0.22
SMM-018_pair	0.86
SMM-019_pair	0.64
SMM-020_pair	0.26
SMM-021_pair	0.0444
SMM-022_pair	0.26
SMM-023_pair	0.25
SMM-024_pair	0.2
SMM-025_pair	0.66
SMM-026_pair	0.56
SMM-027_pair	0.0403
SMM-028_pair	0.55
SMM-029_pair	0.0675
SMM-030_pair	0.51
SMM-031_pair	0.52
SMM-032_pair	0.77
SMM-033_pair	0.0595
SMM-034_pair	0.76
SMM-035_pair	0.26
SMM-036_pair	0.91
SMM-037_pair	0.0554
SMM-038_pair	0.19
SMM-039_pair	0.2458
SMM-040_pair	0.0702
SMM-041_pair	0.88
SMM-042_pair	0.0851
SMM-043_pair	0.528
SMM-044_pair	NA
SMM-045_pair	0.64
SMM-046_pair	0.0531
SMM-047_pair	0.59
SMM-048_pair	0.0337
SMM-049_pair	0.25
SMM-050_pair	0.26
SMM-051_pair	0.12
SMM-052_pair	0.41
SMM-053_pair	0.61
SMM-054_pair	0.21
SMM-055_pair	0.79
SMM-056_pair	0.21
SMM-057_pair	0.84
SMM-058_pair	0.84
SMM-059_pair	0.88
SMM-060_pair	0.79
SMM-061_pair	0.85
SMM-062_pair	0.81
SMM-063_pair	0.0737
SMM-064_pair	0.185
SMM-065_pair	0.177
SMM-066_pair	0.37
SMM-067_pair	0.71
SMM-068_pair	0.1537
SMM-069_pair	0.37
SMM-070_pair	0.23
SMM-071_pair	0.1668
SMM-072_pair	0.43
SMM-073_pair	0.5
SMM-074_pair	0.3
SMM-075_pair	0.71
SMM-076_pair	0.63
SMM-077_pair	0.9
SMM-078_pair	0.86
SMM-079_pair	0.84
SMM-080_pair	0.92
SMM-081_pair	0.82
SMM-082_pair	0.24
SMM-083_pair	0.48
SMM-084_pair	0.93
SMM-085_pair	0.58
SMM-086_pair	0.69
SMM-087_pair	0.54
SMM-088_pair	0.66
SMM-089_pair	0.46
SMM-090_pair	0.3
SMM-091_pair	0.76
SMM-092_pair	0.88
SMM-093_pair	0.82
SMM-094_pair	0.83
SMM-095_pair	0.65
