sample	clustering	ref_clust_chr	num_clust	correction_factor	correction_class
MMRF_1016_1_BM_CD138pos_pair	SUCCEDED	10p, 10q, 11p, 11q, 12p, 12q, 13p, 13q, 14q, 16p, 16q, 18p, 18q, 1p, 1q, 20p, 20q, 21p, 21q, 22p, 22q, 2p, 2q, 4p, 4q, 7p, 7q, 8p, 8q	2	-0.0027361812727018098	NO CHANGES
MMRF_1021_1_BM_CD138pos_pair	SUCCEDED	10p, 10q, 11p, 11q, 12p, 12q, 14q, 15q, 16p, 16q, 17p, 17q, 18p, 18q, 1p, 20p, 20q, 21p, 21q, 22p, 22q, 2p, 2q, 3p, 3q, 4p, 4q, 5p, 5q, 6p, 6q, 7p, 7q, 8p, 8q, 9p, 9q	3	-0.0024081329680201158	NO CHANGES
MMRF_1029_1_BM_CD138pos_pair	SUCCEDED	10p, 10q, 12p, 12q, 14q, 15q, 16p, 17p, 17q, 1p, 1q, 20p, 20q, 22p, 22q, 2p, 2q, 4p, 4q, 5p, 5q, 7p, 7q, 8p, 8q, 9p	4	0.012920512872014012	NO CHANGES
MMRF_1030_1_BM_CD138pos_pair	SUCCEDED	10p, 10q, 12p, 12q, 13q, 14q, 18p, 18q, 1q, 20p, 20q, 22p, 22q, 2p, 2q, 3p, 3q, 4p, 4q, 6p, 6q, 8p, 8q	6	-0.008034541642619963	NO CHANGES
MMRF_1031_1_BM_CD138pos_pair	SUCCEDED	10p, 10q, 12q, 14q, 16p, 16q, 17p, 17q, 1p, 20p, 20q, 21p, 21q, 22p, 2p, 2q, 4p, 4q, 6q, 8q	4	-0.007094690663205672	NO CHANGES
MMRF_1032_1_BM_CD138pos_pair	SUCCEDED	10p, 10q, 11p, 12p, 12q, 13q, 14q, 16p, 16q, 17p, 17q, 18p, 18q, 1p, 1q, 20p, 20q, 21p, 21q, 22p, 22q, 2p, 2q, 3p, 3q, 6p, 6q, 7p, 7q, 8p, 8q	3	0.011028002368288492	NO CHANGES
MMRF_1033_1_BM_CD138pos_pair	SUCCEDED	10p, 10q, 12p, 12q, 13q, 14q, 16p, 16q, 17p, 17q, 18p, 18q, 1p, 1q, 20p, 20q, 22p, 22q, 2p, 2q, 3p, 3q, 4p, 4q, 6p, 6q, 7p, 7q, 8p, 8q	3	-3.0897124938888965e-4	NO CHANGES
MMRF_1037_1_BM_CD138pos_pair	FAIL	10p, 10q, 12p, 12q, 16p, 17q, 1p, 20p, 20q, 22q, 2p, 2q, 4p, 4q, 8q	NA	-0.0029675450589468078	NO CHANGES
MMRF_1038_1_BM_CD138pos_pair	FAIL	10p, 10q, 12p, 12q, 16p, 17q, 1p, 20p, 20q, 22q, 2p, 2q, 4p, 4q, 8q	NA	0.007196396665592353	NO CHANGES
MMRF_1045_1_BM_CD138pos_pair	SUCCEDED	10p, 10q, 12p, 12q, 13p, 13q, 14q, 15q, 16p, 16q, 17p, 17q, 18p, 18q, 19p, 19q, 1p, 20p, 21p, 21q, 22p, 22q, 2p, 2q, 5p, 5q, 6p, 6q, 7p, 7q, 8p, 8q, 9p, 9q	3	0.012840573425868307	NO CHANGES
MMRF_1048_1_BM_CD138pos_pair	SUCCEDED	10p, 10q, 11p, 11q, 14q, 15q, 16p, 16q, 18p, 18q, 1q, 20p, 20q, 21p, 21q, 22p, 22q, 2p, 2q, 3p, 3q, 4p, 4q, 5p, 5q, 6p, 7p, 7q, 8p, 8q	6	-0.006644102585474876	NO CHANGES
