sample	chr_10p	chr_10q	chr_11p	chr_11q	chr_12p	chr_12q	chr_13q	chr_14q	chr_15q	chr_16p	chr_16q	chr_17p	chr_17q	chr_18p	chr_18q	chr_19p	chr_19q	chr_1p	chr_1q	chr_20p	chr_20q	chr_21q	chr_22q	chr_2p	chr_2q	chr_3p	chr_3q	chr_4p	chr_4q	chr_5p	chr_5q	chr_6p	chr_6q	chr_7p	chr_7q	chr_8p	chr_8q	chr_9p	chr_9q	chr_11q_BIRC2	chr_11q_CCND1	chr_1p_CDKN2C	chr_1q_CKS1B	chr_16q_CYLD	chr_1p_EVI5	chr_14q_MAX	chr_8q_MYC	chr_8q_MYC_enhancer	chr_10q_NFKB2	chr_1p_NOTCH2	chr_13q_RB1	chr_1p_TENT5C	chr_17p_TP53	chr_14q_TRAF3
MMRF_1016_1_BM_CD138pos_pair	1.9933|0.001	1.9933|0.001	1.9591|0.0012	1.5189|0.0025	2.0362|0.001	2.0362|0.001	1.7139|0.0014	2.0434|0.0016	3.0497|0.0026	2.0149|0.0014	2.0149|0.0014	2.7978|0.0036	2.6116|0.0032	2.0011|0.0015	1.9957|0.0019	2.9927|0.0027	2.9927|0.0027	1.4319|0.0018	2.3284|0.0031	2.0705|0.002	1.9605|0.0029	2.003|0.0031	2.0059|0.0029	2.0027|0.0016	1.9864|0.0019	3.1107|0.0017	3.0829|0.0016	2.0021|9e-04	2.0024|0.0011	3.1238|0.0013	3.1228|0.0017	3.0746|0.0015	2.8964|0.0021	2.0085|0.0023	2.0233|0.0011	2.0179|0.001	2.0179|0.001	2.5227|0.0022	2.9419|0.0019	2.005|0.0052	1.9563|0.0012	1.4753|0.0045	2.5321|0.0023	2.0121|0.0014	1.2305|0.0014	2.0458|0.0013	2.0152|0.001	2.0152|0.001	1.9906|0.001	1.8897|0.0029	1.7015|0.0012	1.8897|0.0029	2.795|0.0036	2.0458|0.0013
MMRF_1021_1_BM_CD138pos_pair	2.0019|0.0012	2.0019|0.0012	2.5624|0.0063	1.9968|0.0014	2.022|0.0012	2.022|0.0012	1.1103|0.0012	1.6656|0.0018	1.9698|0.0025	1.9698|0.0016	1.9698|0.0016	1.9784|0.003	1.9312|0.003	2.0089|0.0016	2.0089|0.0016	2.7454|0.0052	2.8117|0.0035	2.1327|0.0023	2.9941|0.01	2.0209|0.0018	2.0209|0.0018	1.9942|0.0023	1.9928|0.0034	2.0066|0.0016	2.0058|0.001	2.0024|0.001	2.0046|0.0013	2.0074|0.0013	1.4758|0.003	2.0138|0.001	2.0138|0.001	2.0998|0.0011	2.0998|0.0011	1.9801|0.0018	1.9908|0.0027	1.9445|0.0021	2.0196|0.0014	2.0254|0.0038	1.9511|0.0016	1.9944|0.0014	1.9944|0.0014	2.5171|0.0023	2.7801|0.0019	1.9674|0.0016	1.5157|0.0016	1.5181|0.0013	2.0172|0.0014	2.0172|0.0014	1.9995|0.0012	1.5157|0.0016	1.1095|9e-04	1.5157|0.0016	1.976|0.003	1.5181|0.0013
MMRF_1029_1_BM_CD138pos_pair	1.9849|0.0021	1.9976|0.0016	2.8857|0.0025	2.8073|0.0019	2.0246|0.0011	2.0246|0.0011	1.1804|0.0018	1.6533|0.0016	1.9654|0.0014	1.9918|0.0028	1.0312|0.0014	1.9013|0.0014	1.9013|0.0014	2.3252|0.0016	2.3252|0.0016	3.1632|0.0032	3.1632|0.0032	1.9776|8e-04	1.9776|8e-04	2.0059|0.0016	2.0059|0.0016	2.2975|0.0024	2.01|0.0023	1.9871|0.0018	1.9865|0.0013	2.7945|0.0022	2.7477|0.0017	1.991|0.0018	1.9885|0.001	1.9854|0.0011	1.9871|0.0013	2.3639|0.0011	2.3639|0.0011	1.9298|0.0011	1.9288|0.0014	2.0232|0.0019	2.061|0.0045	1.694|0.0027	2.5748|0.0019	2.8202|0.0019	2.8202|0.0019	1.9905|8e-04	1.9905|8e-04	1.0341|0.0012	1.9905|8e-04	2.1379|0.0019	2.0062|0.0013	2.0062|0.0013	2.0092|0.0013	1.9905|8e-04	1.1896|0.0013	1.9905|8e-04	1.9142|0.0014	1.0714|0.0011
MMRF_1030_1_BM_CD138pos_pair	2.0026|0.0011	2.0026|0.0011	3.0115|0.0015	3.0115|0.0015	2.0112|0.0011	2.0112|0.0011	2.0383|0.0016	2.0117|0.0018	3.0702|0.0031	2.0788|0.0034	1.4205|0.0032	1.913|0.0015	1.913|0.0015	2.008|0.0014	2.008|0.0014	3.0429|0.0033	3.0414|0.0046	1.4312|0.0017	1.6031|0.0032	2.0045|0.0023	1.9785|0.0022	3.1557|0.0032	1.989|0.0022	1.9955|0.0016	1.9989|0.0011	1.969|8e-04	1.969|8e-04	2.0134|9e-04	2.0134|9e-04	3.1609|0.0013	3.1609|0.0013	2.0127|0.0013	2.0146|0.0014	1.9387|0.0013	1.9296|0.0015	2.0179|0.0017	2.013|0.001	3.0562|0.0038	3.0375|0.0024	3.0034|0.0015	3.0034|0.0015	1.9758|0.0013	2.0007|0.0021	1.4241|0.0059	1.4231|0.0017	2.0035|0.0013	2.0049|0.001	2.0049|0.001	1.9946|0.0011	1.4231|0.0017	2.0523|0.0013	1.4231|0.0017	1.905|0.0015	2.0035|0.0013
MMRF_1031_1_BM_CD138pos_pair	1.9804|0.0027	1.9981|0.0018	3.0056|0.0027	2.9999|0.0018	2.9772|0.0035	2.0093|0.0016	1.0941|0.0022	1.9858|0.0012	3.1679|0.0041	2.0243|0.0021	2.0143|0.0018	2.0201|0.0019	2.0102|0.002	2.9915|0.0017	2.9915|0.0017	4.0716|0.0069	3.0263|0.0052	1.9936|0.0014	2.9947|0.0027	1.9981|0.0014	1.9981|0.0014	1.9744|0.0023	1.0063|0.0022	2.0175|0.0011	2.0049|0.0013	2.9956|0.0015	2.9809|0.0033	1.9814|0.0015	2.8384|0.0021	2.9774|0.0018	2.9715|0.0011	2.9816|0.0029	2.1051|0.0017	2.9865|0.0027	2.9757|0.0022	1.3044|0.0014	2.0878|0.0014	3.9683|0.0042	4.0014|0.0025	2.9928|0.0018	2.9928|0.0018	1.9753|0.0012	3.01|0.0033	2.0049|0.0017	1.9753|0.0012	1.9933|0.0011	2.0926|0.0018	2.0926|0.0018	1.9942|0.0013	1.9753|0.0012	1.043|0.0111	1.9753|0.0012	2.013|0.0019	1.9933|0.0011
MMRF_1032_1_BM_CD138pos_pair	1.9645|0.0017	1.7|0.0036	2.0074|0.0017	3.3525|0.0039	1.0015|0.0016	1.3823|0.0029	1.9829|0.0017	1.989|0.0018	2.8549|0.0019	1.9719|0.0026	2.0176|0.0015	2.0136|0.0048	2.0132|0.004	1.9994|0.0014	1.9994|0.0014	4.0463|0.0042	4.0463|0.0042	1.9828|0.0016	2.0006|0.0012	2.0098|0.0023	1.9878|0.004	1.9931|0.0021	2.0154|0.0033	1.9551|0.002	1.9841|0.0015	1.9922|0.0014	1.9817|0.002	2.9231|0.0014	2.9239|0.0017	2.9887|0.0024	2.977|0.0045	1.9846|0.0017	0.9922|0.0011	1.9976|0.0022	1.9623|0.0027	1.4791|0.0031	1.9984|0.0012	2.9698|0.0027	2.9975|0.0025	2.9989|0.0027	2.9989|0.0027	2.0052|0.0016	2.0116|0.0012	2.0286|0.0015	1.9821|0.0016	2.0103|0.0013	2.0095|0.0012	2.0095|0.0012	2.0204|0.0016	1.9821|0.0016	1.9927|0.0014	1.9821|0.0016	2.0496|0.0042	2.0103|0.0013
MMRF_1033_1_BM_CD138pos_pair	2.0058|0.0015	2.0004|0.0015	3.0991|0.0014	3.0991|0.0014	2.0159|0.0026	2.0024|0.0014	2|0.0011	2.0037|0.0015	2.9336|0.0018	1.985|0.0014	1.985|0.0014	1.9955|0.002	1.9982|0.0021	1.9995|0.0013	1.9995|0.0013	3.0999|0.0034	3.0939|0.0043	2.0122|8e-04	2.0122|8e-04	2.0221|0.0033	1.9908|0.003	3.0983|0.0028	1.9776|0.0022	1.9982|0.0012	1.979|0.0013	1.9945|0.0015	2.0044|0.0021	2.0023|8e-04	2.0023|8e-04	3.1|0.0012	3.1|0.0012	2.0183|0.0013	2.009|0.002	2.0002|0.0014	1.9959|0.0016	2.0016|0.001	2.0032|0.0014	3.0979|0.005	3.0867|0.0019	3.0988|0.0014	3.0988|0.0014	2.0119|8e-04	2.0119|8e-04	1.9847|0.0014	2.0119|8e-04	2.0014|0.0012	2.0013|0.001	3.0901|0.0228	1.9922|0.0013	2.0119|8e-04	1.9997|0.0011	2.0119|8e-04	1.9952|0.002	2.0014|0.0012
MMRF_1037_1_BM_CD138pos_pair	2.003|0.0032	1.9969|0.0012	3.0674|0.0025	3.6711|0.0041	1.9826|0.0025	1.9819|0.0011	2.0264|0.0016	1.9952|0.002	3.3902|0.0022	2.0216|0.0024	1.9991|0.0025	2.0184|0.0025	1.9931|0.0026	2.0025|0.0013	2.0025|0.0013	3.9939|0.004	3.9939|0.004	1.9914|8e-04	1.9914|8e-04	2.0386|0.0015	2.0386|0.0015	2.0686|0.0021	2.0014|0.0022	2.9604|0.003	2.9436|0.0014	2.7477|0.0021	2.7342|0.0033	2.0218|0.0017	2.6313|0.0026	2.9712|0.0018	2.9669|0.0028	1.9839|0.0017	1.9837|0.0012	2.0234|0.0025	2.0171|0.0025	1.9967|0.001	1.9967|0.001	2.9743|0.0039	3.0002|0.0026	3.6645|0.0038	3.6708|0.0042	1.9884|8e-04	1.9884|8e-04	2.0005|0.0021	1.9884|8e-04	1.9932|0.0015	1.9937|0.001	1.9937|0.001	1.9936|0.0012	1.9884|8e-04	2.0208|0.0014	1.9884|8e-04	2.0154|0.0025	1.9932|0.0015
MMRF_1038_1_BM_CD138pos_pair	1.9776|0.0061	2.0122|0.0034	2.0159|0.0013	2.0129|0.0024	1.9781|0.0023	1.9805|0.0024	1.9897|0.0033	1.9902|0.0027	3.5869|0.0075	2.0136|0.0037	2.0495|0.0042	2.0063|0.0028	1.9843|0.0045	2.0217|0.0015	2.0217|0.0015	3.0824|0.0034	3.0824|0.0034	1.9862|0.0033	1.9826|0.0042	2.0097|0.0023	1.9887|0.0051	1.9962|0.0035	1.9781|0.0049	1.9955|0.0043	1.9945|0.0028	3.0848|0.0038	3.0408|0.0057	2.0044|0.0018	1.9928|0.0034	3.1047|0.0046	3.0475|0.0016	1.9876|0.0044	1.984|0.0028	1.989|0.0033	1.9825|0.0039	2.0156|0.0027	1.9975|0.0037	3.0534|0.0052	3.3086|0.0056	2.0231|0.0013	2.0231|0.0013	2.0059|0.0025	1.9453|0.0042	2.0567|0.0042	2.003|0.0024	1.9991|0.0015	1.9949|0.0077	2.4804|0.0539	2.0148|0.0018	2.0039|0.0071	1.9894|0.0025	1.0915|0.0208	2.0135|0.0028	1.9916|0.0084
MMRF_1045_1_BM_CD138pos_pair	1.9879|0.001	1.9879|0.001	3.0489|0.003	2.9594|0.0018	1.9921|0.001	1.9921|0.001	1.9896|0.0012	2.014|0.002	1.9634|0.0015	2.0449|0.0023	2.0597|0.0018	2.0208|0.0022	1.9922|0.0025	1.9651|0.0013	1.9651|0.0013	2.0165|0.0019	2.0165|0.0019	2.044|0.0032	2.9652|0.0023	2.0106|0.0018	0.9164|0.0021	1.9704|0.0019	2.0554|0.0029	1.9695|7e-04	1.9695|7e-04	3.0139|0.0012	3.0139|0.0012	3.0413|0.0024	3.0132|0.0018	1.9658|0.0012	1.9627|8e-04	1.9864|9e-04	1.9864|9e-04	1.9289|0.0011	1.9548|9e-04	1.9805|0.0011	1.9487|0.0019	1.9649|0.0011	1.9649|0.0011	2.9722|0.0018	2.9722|0.0018	2.0156|0.0011	2.995|0.0026	2.0725|0.0018	2.0156|0.0011	2.038|0.0013	1.9711|0.0029	1.0354|0.004	2.0008|0.001	2.0156|0.0011	2.0024|0.0012	2.0156|0.0011	2.0336|0.0022	2.038|0.0013
