sample	amp_chr_1p_NOTCH2	amp_chr_1q_CKS1B	amp_chr_2p	amp_chr_2q	amp_chr_3p	amp_chr_3q	amp_chr_4p	amp_chr_4q	amp_chr_5p	amp_chr_5q	amp_chr_6p	amp_chr_6q	amp_chr_7p	amp_chr_7q	amp_chr_8p	amp_chr_8q_MYC	amp_chr_8q_MYC_enhancer	amp_chr_9p	amp_chr_9q	amp_chr_10p	amp_chr_10q	amp_chr_11p	amp_chr_11q_CCND1	amp_chr_12p	amp_chr_12q	amp_chr_13q	amp_chr_14q	amp_chr_15q	amp_chr_16p	amp_chr_16q	amp_chr_17p	amp_chr_17q	amp_chr_18p	amp_chr_18q	amp_chr_19p	amp_chr_19q	amp_chr_20p	amp_chr_20q	amp_chr_21q	amp_chr_22q	del_chr_1p_CDKN2C	del_chr_1p_EVI5	del_chr_1p_TENT5C	del_chr_1q	del_chr_2p	del_chr_2q	del_chr_3p	del_chr_3q	del_chr_4p	del_chr_4q	del_chr_5p	del_chr_5q	del_chr_6p	del_chr_6q	del_chr_7p	del_chr_7q	del_chr_8p	del_chr_8q	del_chr_9p	del_chr_9q	del_chr_10p	del_chr_10q_NFKB2	del_chr_11p	del_chr_11q_BIRC2	del_chr_12p	del_chr_12q	del_chr_13q_RB1	del_chr_14q_MAX	del_chr_14q_TRAF3	del_chr_15q	del_chr_16p	del_chr_16q_CYLD	del_chr_17p_TP53	del_chr_17q	del_chr_18p	del_chr_18q	del_chr_19p	del_chr_19q	del_chr_20p	del_chr_20q	del_chr_21q	del_chr_22q
MMRF_1016_1_BM_CD138pos_pair	0	0.532	0.003	0	1	1	0.002	0.002	1	1	1	0.896	0.009	0.023	0.018	0.015	0.015	0.523	0.942	0	0	0	0	0.036	0.036	0	0.043	1	0.015	0.015	0.798	0.612	0.001	0	0.993	0.993	0.071	0	0.003	0.006	0.525	0.77	0.11	0	0	0.014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.007	0.009	0.041	0	0	0	0.298	0	0	0	0	0	0	0	0	0.004	0	0	0	0.04	0	0
MMRF_1021_1_BM_CD138pos_pair	0	0.78	0.007	0.006	0.002	0.005	0.007	0	0.014	0.014	0.1	0.1	0	0	0	0.017	0.017	0.025	0	0.002	0.002	0.562	0	0.022	0.022	0	0	0	0	0	0	0	0.009	0.009	0.745	0.812	0.021	0.021	0	0	0	0.484	0.484	0	0	0	0	0	0	0.524	0	0	0	0	0.02	0.009	0.056	0	0	0.049	0	0	0	0.006	0	0	0.891	0.482	0.482	0.03	0.03	0.033	0.024	0.069	0	0	0	0	0	0	0.006	0.007
MMRF_1029_1_BM_CD138pos_pair	0	0	0	0	0.795	0.748	0	0	0	0	0.364	0.364	0	0	0.023	0.006	0.006	0	0.575	0	0	0.886	0.82	0.025	0.025	0	0	0	0	0	0	0	0.325	0.325	1	1	0.006	0.006	0.297	0.01	0.01	0.01	0.01	0.022	0.013	0.014	0	0	0.009	0.012	0.015	0.013	0	0	0.07	0.071	0	0	0.306	0	0.015	0	0	0	0	0	0.81	0	0.929	0.035	0.008	0.966	0.086	0.099	0	0	0	0	0	0	0	0
MMRF_1030_1_BM_CD138pos_pair	0	0.001	0	0	0	0	0.013	0.013	1	1	0.013	0.015	0	0	0.018	0.005	0.005	1	1	0.003	0.003	1	1	0.011	0.011	0.038	0.012	1	0.079	0	0	0	0.008	0.008	1	1	0.005	0	1	0	0.024	0.577	0.577	0.397	0.004	0.001	0.031	0.031	0	0	0	0	0	0	0.061	0.07	0	0	0	0	0	0.005	0	0	0	0	0	0	0	0	0	0.576	0.095	0.087	0	0	0	0	0	0.022	0	0.011
MMRF_1031_1_BM_CD138pos_pair	0	1	0.018	0.005	0.996	0.981	0	0.838	0.977	0.971	0.982	0.105	0.986	0.976	0	0.093	0.093	1	1	0	0	1	0.993	0.977	0.009	0	0	1	0.024	0.014	0.02	0.01	0.991	0.991	1	1	0	0	0	0	0.025	0.025	0.025	0	0	0	0	0	0.019	0	0	0	0	0	0	0	0.696	0	0	0	0.02	0.006	0	0	0	0	0.957	0.007	0.007	0	0	0	0	0	0	0	0	0	0.002	0.002	0.026	0.994
MMRF_1032_1_BM_CD138pos_pair	0	0.012	0	0	0	0	0.923	0.924	0.989	0.977	0	0	0	0	0	0.01	0.01	0.97	0.998	0	0	0.007	0.999	0	0	0	0	0.855	0	0.018	0.014	0.013	0	0	1	1	0.01	0	0	0.015	0	0.018	0.018	0	0.045	0.016	0.008	0.018	0	0	0	0	0.015	1	0.002	0.038	0.521	0.002	0	0	0.036	0	0	0	0.998	0.618	0.007	0	0	0	0.028	0	0	0	0.001	0.001	0	0	0	0.012	0.007	0
MMRF_1033_1_BM_CD138pos_pair	0.012	0.012	0	0	0	0.004	0.002	0.002	1	1	0.018	0.009	0	0	0.002	0.001	1	1	1	0.006	0	1	1	0.016	0.002	0	0.004	0.934	0	0	0	0	0	0	1	1	0.022	0	1	0	0	0	0	0	0.002	0.021	0.006	0	0	0	0	0	0	0	0	0.004	0	0	0	0	0	0.008	0	0	0	0	0	0	0	0	0.015	0.015	0.005	0.002	0	0	0	0	0	0.009	0	0.022
MMRF_1037_1_BM_CD138pos_pair	0	0	0.96	0.944	0.748	0.734	0.022	0.631	0.971	0.967	0	0	0.023	0.017	0	0	0	0.974	1	0.003	0	1	1	0	0	0.026	0	1	0.022	0	0.018	0	0.002	0.002	1	1	0.039	0.039	0.069	0.001	0.012	0.012	0.012	0.009	0	0	0	0	0	0	0	0	0.016	0.016	0	0	0.003	0.003	0	0	0	0.006	0	0	0.017	0.018	0	0.007	0.007	0	0	0	0	0.007	0	0	0	0	0	0	0	0
MMRF_1038_1_BM_CD138pos_pair	0.004	0	0	0	1	1	0.004	0	1	1	0	0	0	0	0.016	0	0.48	1	1	0	0.012	0.016	0.023	0	0	0	0	1	0.014	0.05	0.006	0	0.022	0.022	1	1	0.01	0	0	0	0	0	0.909	0.017	0.004	0.006	0	0	0	0.007	0	0	0.012	0.016	0.011	0.018	0	0.002	0	0	0.022	0	0	0	0.022	0.02	0.011	0.001	0.008	0	0	0	0	0.016	0	0	0	0	0	0.011	0.004	0.022
MMRF_1045_1_BM_CD138pos_pair	0.016	0.995	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.972	0	0	0	0.014	0	0.045	0.06	0.021	0	0	0	0.017	0.017	0.011	0	0	0.055	0	0	0	0	0.03	0.03	0	0	0	0	0.034	0.037	0.014	0.014	0.071	0.045	0.02	0.051	0.035	0.035	0.012	0	0	0	0.008	0.008	0	0	0	0.037	0	0	0	0.008	0.035	0.035	0	0	0	1	0.03	0
