sample	KRAS	NRAS	IGLL5	TENT5C	DIS3	TRAF3	BRAF	DUSP2	TP53	FGFR3	ATM	DNAH5	EGR1	HIST1H1E	CYLD	MAX
MMRF_1016_1_BM_CD138pos	0	0	0	0	0	0	0	0	0	0.146|0.06|0.352	0	0	0	0	0	0
MMRF_1021_1_BM_CD138pos	0.536|0.328|0.815	0	0.761|0.475|1	0	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_1030_1_BM_CD138pos	1|0.852|1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.883|0.507|1	0
MMRF_1031_1_BM_CD138pos	0	0	0	0	0	0	0.785|0.552|1	0	0	0	0	0	0	0	0	0
MMRF_1032_1_BM_CD138pos	0.659|0.51|0.83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_1033_1_BM_CD138pos	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_1037_1_BM_CD138pos	0	0.893|0.633|1	0	0.277|0.177|0.422	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_1038_1_BM_CD138pos	0.904|0.685|1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_1045_1_BM_CD138pos	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_1049_1_BM_CD138pos	0	0	0	1|0.928|1	0	0	0	0	0	0	0	0	1|0.874|1	0	0	0
MMRF_1054_1_BM_CD138pos	0	0.775|0.597|0.971	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_1055_1_BM_CD138pos	0	0.971|0.722|1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_1061_1_BM_CD138pos	0	1|0.961|1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_1068_1_BM_CD138pos	0	0.386|0.233|0.606	0	0.271|0.168|0.42	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_1073_1_BM_CD138pos	0	0.386|0.328|0.453	0	0.6|0.455|0.77	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_1077_1_BM_CD138pos	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_1078_1_BM_CD138pos	0.27|0.135|0.525	0	0	0	0	0.446|0.162|1	0.49|0.245|0.949	0	0	0	1|1|1	0	0	0	0	0
MMRF_1079_1_BM_CD138pos	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.227|0.109|0.425	0
MMRF_1082_1_BM_CD138pos	1|0.879|1	0	0	1|0.96|1	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_1086_1_BM_CD138pos	0	0.147|0.076|0.278	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_1089_1_BM_CD138pos	1|1|1	0.219|0.109|0.425	1|1|1	0	0	0	0.944|0.607|1	1|1|1	0	0	0	0	0	0	0	0
MMRF_1090_1_BM_CD138pos	1|0.95|1	0	0	0	1|0.833|1	0	0	0	0	0	0	0	0	0	0	0
MMRF_1092_1_BM_CD138pos	0	1|0.892|1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_1098_1_BM_CD138pos	0	0	0	0	0	0.13|0.068|0.24	0	0	0	0	0	0	0	0	0	0.072|0.038|0.131
MMRF_1100_1_BM_CD138pos	0	0.908|0.619|1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_1107_1_BM_CD138pos	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_1108_1_BM_CD138pos	0.704|0.427|1	0	0.722|0.354|1	0	0.913|0.613|1	0	0	0	0	0	0	0	0	0	0	0
MMRF_1129_1_BM_CD138pos	0.534|0.348|0.776	0.286|0.136|0.56	0	0	0.225|0.082|0.506	0.212|0.095|0.418	0	0	0	0	0	0	0	0	0	0
MMRF_1148_1_BM_CD138pos	0	0	1|0.927|1	1|0.945|1	0	0	0.582|0.294|1	0	0	0	0	0	0	0	0	0
MMRF_1151_1_BM_CD138pos	0	0	0	1|0.699|1	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_1153_1_BM_CD138pos	0	0.163|0.12|0.221	0	0	1|0.973|1	0	0.753|0.576|0.964	0	0	0	0	0	0	0	0	0
MMRF_1157_1_BM_CD138pos	0	0	1|1|1	0	0	0	0.648|0.44|0.899	0	0	0	0	0	0	0	0	0
MMRF_1167_1_BM_CD138pos	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_1171_1_BM_CD138pos	0	0	1|0.82|1	0	0	0	0	0	0	0	0	1|1|1	0	0	0	0
MMRF_1178_1_BM_CD138pos	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_1180_1_BM_CD138pos	0	0	0	0	1|0.93|1	0	0.866|0.594|1	0	0	0	0	0	0	0	0	0
MMRF_1185_1_BM_CD138pos	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.421|0.262|0.633
MMRF_1188_1_BM_CD138pos	0.579|0.411|0.783	0.13|0.07|0.238	0	0	0	0	0	0	0	0	0	0	1|1|1	0	0	0
MMRF_1195_1_BM_CD138pos	0	0.879|0.563|1	0	0.926|0.755|1	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_1202_1_BM_CD138pos	0	0	0	0	0.172|0.099|0.286	0	0	0	0	0.839|0.632|1	0	0	0	0	0	0
MMRF_1210_1_BM_CD138pos	0	0	0	0.167|0.098|0.282	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_1216_1_BM_CD138pos	0	0.407|0.296|0.548	0	0	0	0	1|1|1	0	0	0.607|0.426|0.832	0	0	0	0	0	0
MMRF_1231_1_BM_CD138pos	0.609|0.46|0.784	0.394|0.286|0.531	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_1235_1_BM_CD138pos	0	0	0	0	0	0	1|0.953|1	0	0	0.784|0.455|1	0	0	0	0	0	0
MMRF_1250_1_BM_CD138pos	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_1251_1_BM_CD138pos	0	0	0	0	0.934|0.754|1	0	0	0	0	0	0	0	0	0	0	0
MMRF_1252_1_BM_CD138pos	1|0.823|1	0	0	0	0	1|0.892|1	0	0	0	0	0	0	0	0	0	0
MMRF_1260_1_BM_CD138pos	0	0	0.717|0.346|1	0	0	0	0	0	0	0.532|0.348|0.791	0	0	0	0	0	0
MMRF_1261_1_BM_CD138pos	0.907|0.609|1	0	0	0	0	1|1|1	0	0	0	0	0	0	0	0	0	0
MMRF_1266_1_BM_CD138pos	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_1267_1_BM_CD138pos	0.863|0.681|1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_1269_1_BM_CD138pos	0	1|1|1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_1274_1_BM_CD138pos	0	0	0	0	0	0	0	0.884|0.605|1	0	0	0	0	0	0	0	0
MMRF_1277_1_BM_CD138pos	1|1|1	0.121|0.083|0.174	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_1284_1_BM_CD138pos	1|0.91|1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_1285_1_BM_CD138pos	0	0	0	0	0	0.083|0.03|0.221	0	0	0	0	0	0	0	0	0	0
MMRF_1290_1_BM_CD138pos	0	0.888|0.801|0.977	0	0	0	0	0	0	0	0	0.883|0.684|1	1|0.839|1	0	0	0	0
MMRF_1293_1_BM_CD138pos	0	0	0	0	0	0	0	0	0	0	0	0	0	0.979|0.744|1	0	0
MMRF_1300_1_BM_CD138pos	0	0	0	0	1|1|1	0	0	0	0	0.615|0.397|0.91	0	0	0	0	0	0
MMRF_1304_1_BM_CD138pos	0	0	1|1|1	0	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_1307_1_BM_CD138pos	0	0	0	1|0.84|1	0.201|0.09|0.407	0	0	0	0	0	0	0	0	0	0	0
MMRF_1308_1_BM_CD138pos	0	0.239|0.137|0.401	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_1309_1_BM_CD138pos	0	0.228|0.174|0.297	1|0.78|1	0	0	0	0	0	0	0	0	0.274|0.182|0.408	0	0	0	0
MMRF_1311_1_BM_CD138pos	0	0	0	0	0	0	0.722|0.449|1	0	0	0	0.952|0.703|1	0	0	0	0	0
MMRF_1312_1_BM_CD138pos	0.271|0.111|0.622	0.434|0.275|0.658	0	0	0	0	0	0	0	0	0	0	0	0	0	0.178|0.089|0.337
MMRF_1318_1_BM_CD138pos	0.948|0.814|1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_1320_1_BM_CD138pos	0.584|0.46|0.729	0	1|0.572|1	0	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_1323_1_BM_CD138pos	0	0	1|0.802|1	0	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_1324_1_BM_CD138pos	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_1327_1_BM_CD138pos	0	0	0	0	0	1|0.921|1	0	0	0	0	0	0	0	0	0	0
MMRF_1328_1_BM_CD138pos	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MMRF_1331_1_BM_CD138pos	0	0	0	0	0	0	0	0	0	0	0	0	1|1|1	0	0	0
MMRF_1332_1_BM_CD138pos	0	0	0.749|0.552|0.97	0	0	0	0	0	0	0	0	0	0	0.96|0.839|1	0	0
