ID	chr_10p	chr_10q	chr_11p	chr_11q	chr_12p	chr_12q	chr_13q	chr_14q	chr_15q	chr_16p	chr_16q	chr_17p	chr_17q	chr_18p	chr_18q	chr_19p	chr_19q	chr_1p	chr_1q	chr_20p	chr_20q	chr_21q	chr_22q	chr_2p	chr_2q	chr_3p	chr_3q	chr_4p	chr_4q	chr_5p	chr_5q	chr_6p	chr_6q	chr_7p	chr_7q	chr_8p	chr_8q	chr_9p	chr_9q	chr_3q_BCL6	chr_11q_BIRC2	chr_1p_CDKN2C	chr_16q_CYLD	chr_1p_EVI5	chr_14q_MAX	chr_1q_MCL1	chr_8q_MYC_amp	chr_8q_MYC_del	chr_4p_NSD2	chr_2q_SP140	chr_1p_TENT5C	chr_3q_TERC	chr_16p_BCMA	chr_22q_XBP1
SCI001	2.0245|0.0035	2.0118|0.0025	1.9488|0.0017	1.9488|0.0017	1.9507|0.0024	1.9497|0.0024	1.0204|0.0021	2.039|0.0028	3.8585|0.0022	1.995|0.0033	2.0607|0.004	1.9867|0.0031	1.939|0.0034	1.9642|0.0028	1.9624|0.0032	2.738|0.0075	2.7178|0.0054	1.0177|0.004	2.0121|0.0027	1.0006|0.0057	1.9848|0.0048	1.9672|0.0035	1.985|0.0031	2.0203|0.0028	2.0208|0.0016	1.9774|0.0014	1.9775|0.0019	2.0334|0.0025	1.9293|0.0062	2.9575|0.0033	3.0099|0.0027	2.5212|0.0026	2.0563|0.0017	2.9296|0.0025	2.9431|0.0028	2.0342|0.0041	2.0271|0.0017	2.0054|0.0018	2.0054|0.0018	1.9774|0.0014	1.9488|0.0017	1.0106|0.0054	2.0663|0.0039	1.0203|0.0035	2.0211|0.0021	2.0132|0.0027	2.0271|0.0017	2.0271|0.0017	1.9902|0.0061	2.0208|0.0016	2.0234|0.0038	1.9774|0.0014	1.995|0.0033	1.985|0.0031
SCI002	2.0198|0.0023	2.0198|0.0023	2.0144|0.0041	2.0162|0.0027	1.9876|0.0023	1.9876|0.0023	2.0099|0.0029	2.003|0.004	2.0203|0.0029	2.0287|0.0072	2.0011|0.0065	2.03|0.0038	2.0275|0.0046	1.9841|0.0031	1.9841|0.0031	2.0133|0.0054	2.0193|0.0042	2.0194|0.0018	2.0194|0.0018	2.0086|0.005	2.0194|0.005	2.025|0.0047	2.0273|0.0043	2.015|0.0028	2.0185|0.0022	2.0203|0.004	2.0191|0.0027	2.0184|0.0039	2.0186|0.0024	2.0133|0.0047	2.0138|0.0024	2.0131|0.0021	2.0131|0.0021	2.0195|0.0032	2.0182|0.0031	2.0074|0.0023	2.0074|0.0023	2.0174|0.0052	2.0248|0.0046	2.0191|0.0027	2.0162|0.0027	2.0194|0.0018	2.0001|0.0054	2.0194|0.0018	2.0184|0.0029	2.0194|0.0018	2.0074|0.0023	2.0074|0.0023	2.0184|0.0039	2.0185|0.0022	2.0194|0.0018	2.0191|0.0027	2.0252|0.0057	2.0273|0.0043
SCI003	2.036|0.0038	2.036|0.0038	1.9994|0.005	2.5511|0.0059	1.9175|0.0084	1.9163|0.0062	0.9301|0.0048	2.0052|0.0059	1.2116|0.0125	2.0263|0.0106	1.9964|0.0092	2.0227|0.0075	2.0135|0.0067	1.9616|0.0051	1.9616|0.0051	3.7042|0.0091	1.9153|0.0101	2.0211|0.005	2.0787|0.0045	2.027|0.0082	2.0181|0.0082	1.9978|0.0078	2.0098|0.0071	2.0141|0.0057	2.0002|0.0039	1.9962|0.0032	1.9962|0.0032	2.0121|0.0042	2.0126|0.0034	2.0112|0.0066	1.9955|0.0039	2.001|0.0035	2.001|0.0035	1.9642|0.0053	1.9801|0.0053	2.006|0.0037	2.006|0.0037	1.9978|0.0107	2.2389|0.005	1.9962|0.0032	2.5511|0.0059	2.0235|0.0042	1.9972|0.0082	2.0235|0.0042	2.0116|0.0048	2.0924|0.0044	2.006|0.0037	2.006|0.0037	2.0126|0.0034	1.9996|0.0037	2.0235|0.0042	1.9962|0.0032	2.0214|0.0092	2.0098|0.0071
SCI004	1.9986|0.0035	1.9866|0.0023	2.8766|0.0021	3.0262|0.0027	1.9826|0.0019	1.9826|0.0019	1.9934|0.0024	2.0109|0.0028	3.9965|0.0032	2.0046|0.0092	2.0864|0.0046	1.95|0.0024	1.95|0.0024	2.0083|0.0028	2.0053|0.0035	2.9621|0.0046	2.9465|0.0039	1.9408|0.0021	1.9508|0.0022	1.9579|0.004	1.9589|0.004	1.9452|0.004	1.9866|0.0036	1.9687|0.0023	1.986|0.0019	2.9583|0.0016	2.9583|0.0016	1.9801|0.0033	1.995|0.0046	2.9292|0.0034	3.0623|0.002	3.0785|0.0036	2.1372|0.0041	2.01|0.0027	2.0079|0.0019	1.985|0.0038	2.0097|0.003	4.125|0.0037	3.2567|0.0073	2.9583|0.0016	2.8766|0.0021	1.9408|0.0021	2.0698|0.0045	1.9408|0.0021	2.0085|0.0024	1.9508|0.0022	2.0147|0.0039	2.0147|0.0039	1.9801|0.0033	1.986|0.0019	1.9408|0.0021	2.9583|0.0016	2.0128|0.0053	1.9866|0.0036
SCI005	2.0062|0.003	2.0006|0.0029	2.0006|0.0032	1.9969|0.0036	1.9636|0.0025	1.9629|0.0017	1.9802|0.0021	1.9906|0.0029	2.0103|0.0021	2.0026|0.0041	1.9912|0.0028	2.0094|0.0036	2.0099|0.0027	1.9531|0.0022	1.9531|0.0022	1.968|0.0043	1.9965|0.0058	2.0077|0.0018	1.9963|0.0019	1.98|0.0035	2.0015|0.0044	2.0002|0.005	1.5769|0.0043	1.9874|0.0012	1.9882|0.0013	1.9896|0.002	1.993|0.003	1.9967|0.0029	1.9995|0.0025	1.9807|0.0029	1.9914|0.0021	1.9967|0.0049	1.9719|0.0025	1.9854|0.0018	1.9896|0.0023	1.9753|0.0033	1.987|0.0022	1.9806|0.0049	2.0212|0.0022	1.9945|0.002	1.9913|0.0024	2.0077|0.0017	1.9912|0.0028	2.0077|0.0017	1.9951|0.0021	1.9962|0.0019	1.9839|0.0017	1.9839|0.0017	1.9937|0.0028	1.9874|0.0012	2.0077|0.0017	1.9945|0.002	2.0018|0.0034	1.5616|0.0035
SCI006	2.0214|0.0044	2.0015|0.003	2.0047|0.0024	2.0047|0.0024	1.9692|0.0025	1.9692|0.0025	2.0061|0.0031	2.0281|0.0046	2.021|0.0031	2.0114|0.0036	2.0061|0.0055	2.0217|0.007	2.0146|0.0063	1.963|0.0033	1.963|0.0033	2.0058|0.006	2.0166|0.0061	2.0119|0.0021	2.0125|0.0021	2.0086|0.0034	2.0086|0.0034	2.0187|0.0077	2.0201|0.0064	1.9964|0.003	2.0037|0.0025	2.0071|0.0021	2.0089|0.0025	2.0052|0.0025	2.0044|0.0022	2.008|0.0022	2.008|0.0022	2.0085|0.0039	1.9991|0.0025	2.009|0.0025	2.0118|0.0034	2.0154|0.0057	1.9981|0.0024	1.9941|0.0084	2.01|0.006	2.0071|0.0021	2.0047|0.0024	2.0121|0.0019	2.0114|0.0036	2.0121|0.0019	2.0086|0.0032	2.0121|0.0019	1.9981|0.0024	1.9981|0.0024	2.0044|0.0022	2.0028|0.0024	2.0121|0.0019	2.0071|0.0021	2.0114|0.0036	2.0185|0.0053
SCI007	2.0101|0.0054	2.0091|0.0038	2.9131|0.0051	2.9154|0.0028	2.0342|0.0025	2.0342|0.0025	1.982|0.0031	2.0093|0.0043	2.992|0.0055	2.8103|0.0069	2.7775|0.006	3.0967|0.0032	3.0967|0.0032	3.137|0.0076	3.0993|0.0038	3.1681|0.0061	2.1039|0.0055	2.1028|0.008	2.9893|0.0043	1.9759|0.0054	2.0313|0.0048	1.9736|0.0052	2.0808|0.0095	1.9859|0.0032	1.9855|0.0021	2.9542|0.0043	2.9384|0.0029	2.987|0.0065	2.9888|0.0032	2.9837|0.0022	2.9837|0.0022	3.011|0.0044	3.0507|0.0033	3.0033|0.0038	3.0144|0.005	1.9827|0.0025	1.9827|0.0025	2.9539|0.0064	3.0021|0.0049	2.9384|0.0029	2.9154|0.0028	1.995|0.0028	2.7637|0.0053	1.995|0.0028	2.0063|0.0032	3.0162|0.0066	1.9827|0.0025	1.9827|0.0025	3.0949|0.0091	1.9855|0.0021	1.995|0.0028	2.9384|0.0029	2.8111|0.0057	2.0512|0.0054
SCI009	2.0064|0.0084	1.989|0.0039	2.0342|0.0032	2.0342|0.0032	1.9649|0.0035	1.9653|0.0033	0.9023|0.0068	2.0149|0.0045	2.0151|0.0049	2.0124|0.0133	0.902|0.0065	1.9872|0.0111	1.9988|0.0098	2.0173|0.0094	2.0237|0.0049	2.008|0.0104	1.9943|0.0067	1.9542|0.0093	2.041|0.0054	1.9969|0.0048	1.9969|0.0048	2.0184|0.0065	1.8892|0.0106	2.0225|0.0024	2.0225|0.0024	2.0211|0.0027	2.0211|0.0027	2.0042|0.004	2.0091|0.0027	2.011|0.0062	2.0199|0.0029	2.0234|0.0078	0.9899|0.01	2.0343|0.0055	2.0258|0.0038	2.0224|0.0059	2.0173|0.0032	2.0809|0.0048	3.0927|0.0064	2.0211|0.0027	2.0342|0.0032	0.9316|0.0389	0.902|0.0065	2.0079|0.0064	1.9977|0.004	2.0407|0.0038	2.0173|0.0032	2.0173|0.0032	1.9381|0.0201	2.0225|0.0024	2.0079|0.0064	2.0211|0.0027	2.7813|0.0207	1.9705|0.008
SCI010	2.018|0.0031	2.0204|0.0026	2.7725|0.0018	2.7725|0.0018	1.8466|0.0018	1.8466|0.0018	2.0137|0.0022	2.0309|0.0031	3.6335|0.0037	1.9651|0.0086	1.7203|0.0049	1.9694|0.0024	2.1022|0.0056	2.9691|0.0024	2.9691|0.0024	2.8345|0.0055	3.5831|0.005	2.0058|0.0018	2.0932|0.002	2.2804|0.0033	1.7205|0.005	1.9762|0.0036	1.131|0.0068	2.0102|0.0013	2.0102|0.0013	1.9667|0.0023	1.9698|0.002	2.0255|0.0016	2.0255|0.0016	2.9144|0.003	3.0167|0.0024	2.0334|0.0016	2.0334|0.0016	2.9582|0.0032	2.9571|0.0031	1.1319|0.0069	2.3529|0.0033	2.9733|0.0033	2.9968|0.0067	1.97|0.0019	2.7725|0.0018	2.0058|0.0018	1.0238|0.0072	2.0058|0.0018	2.0267|0.0022	2.0932|0.002	2.3531|0.0025	2.3531|0.0025	2.0255|0.0016	2.0102|0.0013	2.0058|0.0018	1.97|0.0019	2.0474|0.0055	1.1256|0.0069
SCI011	2.0195|0.0036	2.0147|0.0024	2.0087|0.002	2.0087|0.002	2.0044|0.002	2.0044|0.002	2.0194|0.0023	2.01|0.0024	2.0082|0.0026	1.9993|0.0065	2.0111|0.0049	1.9944|0.0057	1.9941|0.0067	3.0335|0.0058	3.0354|0.003	2.9585|0.0046	2.9737|0.0041	2.0058|0.0021	2.0071|0.0016	2.0119|0.0029	2.0119|0.0029	2.0183|0.0039	1.9979|0.004	2.016|0.0025	2.0119|0.0026	2.0123|0.0016	2.0123|0.0016	2.0143|0.0016	2.0143|0.0016	2.0093|0.0017	2.0093|0.0017	2.0088|0.0045	2.0085|0.002	3.0098|0.0018	3.0098|0.0018	2.027|0.0044	2.0136|0.002	3.0197|0.0022	3.017|0.0027	2.0123|0.0016	2.0087|0.002	2.0071|0.0016	2.0103|0.0046	2.0071|0.0016	2.01|0.0024	2.0071|0.0016	2.0136|0.002	2.0136|0.002	2.0143|0.0016	2.0085|0.003	2.0071|0.0016	2.0123|0.0016	2.0035|0.0059	1.9979|0.004
