cohort	event	n_occur	n_samp
AllCoMMpass	gain_8q	108	802
AllCoMMpass	gain_8p	60	802
AllCoMMpass	DNAH12	6	802
AllCoMMpass	gain_15q	424	802
AllCoMMpass	gain_22q	45	802
AllCoMMpass	loss_12q	44	802
AllCoMMpass	loss_12p	82	802
AllCoMMpass	loss_2q	27	802
AllCoMMpass	loss_2p	14	802
AllCoMMpass	RB1	5	802
AllCoMMpass	TRAF3	18	802
AllCoMMpass	TPX2	1	802
AllCoMMpass	ZRANB3	2	802
AllCoMMpass	PIK3CA	2	802
AllCoMMpass	MAP3K1	1	802
AllCoMMpass	ZNF471	3	802
AllCoMMpass	RSBN1L	1	802
AllCoMMpass	BRCA1	2	802
AllCoMMpass	ERBB3	1	802
AllCoMMpass	gain_16q	90	802
AllCoMMpass	gain_16p	61	802
AllCoMMpass	loss_19p	7	802
AllCoMMpass	loss_13q	394	802
AllCoMMpass	IDH1	1	802
AllCoMMpass	loss_9p	30	802
AllCoMMpass	loss_9q	20	802
AllCoMMpass	C3orf70	1	802
AllCoMMpass	loss_1p	84	802
AllCoMMpass	loss_1q	39	802
AllCoMMpass	SETD2	9	802
AllCoMMpass	FGFR2	1	802
AllCoMMpass	FGFR3	2	802
AllCoMMpass	KRAS	30	802
AllCoMMpass	SMO	1	802
AllCoMMpass	SOCS1	2	802
AllCoMMpass	SGK1	2	802
AllCoMMpass	TXNDC8	1	802
AllCoMMpass	CCND1	1	802
AllCoMMpass	PTPN11	2	802
AllCoMMpass	gain_7p	288	802
AllCoMMpass	gain_7q	297	802
AllCoMMpass	SPEN	1	802
AllCoMMpass	DDX5	2	802
AllCoMMpass	FAT1	6	802
AllCoMMpass	RUNX1	1	802
AllCoMMpass	CYLD	5	802
AllCoMMpass	APC	1	802
AllCoMMpass	loss_14q	142	802
AllCoMMpass	ARID1A	1	802
AllCoMMpass	loss_10q	35	802
AllCoMMpass	loss_10p	37	802
AllCoMMpass	BRCA2	2	802
AllCoMMpass	ADNP	3	802
AllCoMMpass	gain_9q	480	802
AllCoMMpass	CDKN1B	1	802
AllCoMMpass	MED23	5	802
AllCoMMpass	RPL5	4	802
AllCoMMpass	gain_20p	70	802
AllCoMMpass	gain_20q	82	802
AllCoMMpass	SLC44A3	1	802
AllCoMMpass	gain_2q	79	802
AllCoMMpass	gain_2p	96	802
AllCoMMpass	loss_4q	43	802
AllCoMMpass	loss_4p	67	802
AllCoMMpass	XPO1	1	802
AllCoMMpass	DAXX	2	802
AllCoMMpass	PPM1D	1	802
AllCoMMpass	CHD4	2	802
AllCoMMpass	CHD8	1	802
AllCoMMpass	TCP11L2	1	802
AllCoMMpass	ASXL2	1	802
AllCoMMpass	CAP2	1	802
AllCoMMpass	FLT3	1	802
AllCoMMpass	ITPKB	1	802
AllCoMMpass	PPP6C	1	802
AllCoMMpass	NF1	2	802
AllCoMMpass	loss_19q	12	802
AllCoMMpass	gain_14q	55	802
AllCoMMpass	loss_21q	22	802
AllCoMMpass	loss_21p	97	802
AllCoMMpass	gain_9p	459	802
AllCoMMpass	WGD	455	802
AllCoMMpass	ZNF180	2	802
AllCoMMpass	SIRT4	1	802
AllCoMMpass	ARID2	2	802
AllCoMMpass	SERPINB13	1	802
AllCoMMpass	PBRM1	2	802
AllCoMMpass	loss_11p	16	802
AllCoMMpass	loss_11q	12	802
AllCoMMpass	CUX1	1	802
AllCoMMpass	ACO1	3	802
AllCoMMpass	ING1	1	802
AllCoMMpass	loss_3p	20	802
AllCoMMpass	loss_3q	13	802
AllCoMMpass	MGA	1	802
AllCoMMpass	TP53	3	802
AllCoMMpass	IRF6	3	802
AllCoMMpass	IRF4	2	802
AllCoMMpass	gain_1p	57	802
AllCoMMpass	gain_1q	328	802
AllCoMMpass	MPL	1	802
AllCoMMpass	TNFAIP3	1	802
AllCoMMpass	PRDM1	1	802
AllCoMMpass	NFE2L2	1	802
AllCoMMpass	NSD1	1	802
AllCoMMpass	MYCN	1	802
AllCoMMpass	loss_20p	85	802
AllCoMMpass	loss_20q	39	802
AllCoMMpass	CREBBP	2	802
AllCoMMpass	SNX25	1	802
AllCoMMpass	gain_17p	97	802
AllCoMMpass	PDGFRA	6	802
AllCoMMpass	loss_6q	119	802
AllCoMMpass	loss_6p	13	802
AllCoMMpass	loss_16q	219	802
AllCoMMpass	loss_16p	38	802
AllCoMMpass	gain_19p	485	802
AllCoMMpass	gain_19q	419	802
AllCoMMpass	ZFHX3	5	802
AllCoMMpass	SLC4A5	1	802
AllCoMMpass	TBX3	2	802
AllCoMMpass	POLE	1	802
AllCoMMpass	SACS	4	802
AllCoMMpass	ABL1	1	802
AllCoMMpass	gain_18p	140	802
AllCoMMpass	TSC2	2	802
AllCoMMpass	BCAS3	1	802
AllCoMMpass	NCOR1	6	802
AllCoMMpass	gain_4q	106	802
AllCoMMpass	gain_4p	105	802
AllCoMMpass	SMC3	1	802
AllCoMMpass	ZNF620	2	802
AllCoMMpass	ECT2L	2	802
AllCoMMpass	CDKN1A	1	802
AllCoMMpass	gain_12q	49	802
AllCoMMpass	gain_12p	45	802
AllCoMMpass	gain_21q	226	802
AllCoMMpass	TGFBR2	1	802
AllCoMMpass	loss_17p	74	802
AllCoMMpass	loss_17q	29	802
AllCoMMpass	SF3B1	2	802
AllCoMMpass	TET2	2	802
AllCoMMpass	PDSS2	1	802
AllCoMMpass	gain_3p	331	802
AllCoMMpass	COL5A1	1	802
AllCoMMpass	MTOR	3	802
AllCoMMpass	RIT1	1	802
AllCoMMpass	loss_5p	9	802
AllCoMMpass	loss_5q	24	802
AllCoMMpass	EP300	2	802
AllCoMMpass	DNMT3A	1	802
AllCoMMpass	KEL	1	802
AllCoMMpass	DICER1	2	802
AllCoMMpass	TBL1XR1	1	802
AllCoMMpass	SOS1	1	802
AllCoMMpass	loss_18q	24	802
AllCoMMpass	loss_18p	47	802
AllCoMMpass	STX2	1	802
AllCoMMpass	NTN4	2	802
AllCoMMpass	CDC27	1	802
AllCoMMpass	KDR	1	802
AllCoMMpass	LRRC17	2	802
AllCoMMpass	TBC1D12	1	802
AllCoMMpass	FBXW7	1	802
AllCoMMpass	gain_13q	43	802
AllCoMMpass	CIC	2	802
AllCoMMpass	gain_17q	108	802
AllCoMMpass	MAP4K3	1	802
AllCoMMpass	loss_22q	98	802
AllCoMMpass	gain_21p	119	802
AllCoMMpass	MSH2	1	802
AllCoMMpass	EGFR	1	802
AllCoMMpass	TCF7L2	1	802
AllCoMMpass	loss_8q	59	802
AllCoMMpass	loss_8p	195	802
AllCoMMpass	PLCG2	2	802
AllCoMMpass	MAP2K1	1	802
AllCoMMpass	EZH2	1	802
AllCoMMpass	MYOCD	2	802
AllCoMMpass	gain_6p	194	802
AllCoMMpass	ELF3	1	802
AllCoMMpass	SMARCA4	2	802
AllCoMMpass	gain_6q	120	802
AllCoMMpass	PDCD2L	1	802
AllCoMMpass	CEBPA	1	802
AllCoMMpass	TDRD10	1	802
AllCoMMpass	AXIN2	1	802
AllCoMMpass	ALK	1	802
AllCoMMpass	ATM	7	802
AllCoMMpass	NRAS	28	802
AllCoMMpass	MLH1	1	802
AllCoMMpass	FBXO11	1	802
AllCoMMpass	gain_11q	357	802
AllCoMMpass	gain_10q	75	802
AllCoMMpass	gain_10p	66	802
AllCoMMpass	IDH2	1	802
AllCoMMpass	loss_15q	9	802
AllCoMMpass	APOL2	1	802
AllCoMMpass	KMT2C	2	802
AllCoMMpass	loss_7p	17	802
AllCoMMpass	loss_7q	6	802
AllCoMMpass	SMARCB1	1	802
AllCoMMpass	RAD21	2	802
AllCoMMpass	SPOP	1	802
AllCoMMpass	CARD11	2	802
AllCoMMpass	gain_18q	150	802
AllCoMMpass	QKI	2	802
AllCoMMpass	ZNF750	1	802
AllCoMMpass	TIMM17A	2	802
AllCoMMpass	TP53BP1	1	802
AllCoMMpass	NPM1	1	802
AllCoMMpass	RASA1	1	802
AllCoMMpass	DIS3	24	802
AllCoMMpass	gain_5p	387	802
AllCoMMpass	gain_5q	374	802
AllCoMMpass	NOTCH1	1	802
AllCoMMpass	NOTCH2	1	802
AllCoMMpass	CDK12	2	802
AllCoMMpass	gain_11p	312	802
AllCoMMpass	gain_3q	368	802
AllCoMMpass	MBD1	2	802
AllCoMMpass	BRAF	11	802
AllCoMMpass	POU2F2	1	802
AllCoMMpass	PPP2R1A	1	802
