event_v_event	WGD	gain_11p	gain_11q	gain_15q	gain_19p	gain_19q	gain_1q	gain_21q	gain_3p	gain_3q	gain_5p	gain_5q	gain_7p	gain_7q	gain_9p	gain_9q	loss_12p	loss_12q	loss_13q	loss_14q	loss_16q	loss_17p	loss_18p	loss_1p	loss_20p	loss_21p	loss_22q	loss_4p	loss_6q	loss_8p	loss_8q
loss_8q	16.5137920189,5.90327486006,10.582933121	4.34265830665,1.78219845076,17.8751432426	5.01497193911,1.64186323505,19.3431648258	8.06612063746,2.88456437736,22.0493149852	2.83861675489,2.34664141592,24.8147418292	3.53228788966,1.75694057505,19.7107715353	5.33775605447,1.11645751233,11.5457864332	3.13059064909,2.24278508391,8.626624267	5.15784239712,1.37518157811,16.4669760248	6.45112915855,1.69421350642,18.854657335	6.9829659683,2.21418813174,16.8028459	7.18914955213,2.43110448414,14.3797459637	4.3628601725,1.72580086204,15.9113389655	6.9917599478,1.69132866154,14.3169113907	5.62612863005,1.65642910015,23.7174422698	7.1929643065,1.79638318794,22.0106525056	1.9801980198,0.0,10.0198019802	0.990099009901,0.0,9.0099009901	0.0,0.990099009901,46.0099009901	0.0,0.990099009901,26.0099009901	0.990099009901,0.0,22.0099009901	0.0,0.990099009901,7.0099009901	0.0,0.0,7.0	0.0,0.0,10.0	0.0,0.0,15.0	2.9702970297,0.0,7.0297029703	0.990099009901,0.0,20.0099009901	1.9801980198,0.0,7.0198019802	1.9801980198,0.0,10.0198019802	0.990099009901,0.0,55.0099009901	na
loss_8p	56.3229920952,27.502284464,32.1747234408	17.2697093971,8.11141280435,53.6188777986	17.9611539382,8.10468894427,57.9341571176	22.8130651921,14.5424309691,74.6445038388	10.9178470906,17.356942486,88.7252104234	14.0158256804,12.7520111226,72.2321631969	14.3885851801,10.2569787723,52.3544360476	12.0360360853,10.7401262849,41.2238376298	19.615952087,6.73707454385,54.6469733692	25.3879087063,10.4386554254,66.1734358683	23.2810023977,12.8794017726,60.8395958297	23.3158751232,14.7158955057,54.9682293711	13.872272351,10.9880542806,60.1396733684	21.4460401616,10.4688290381,53.0851308003	28.3955643769,13.154551098,74.4498845251	25.6875098287,14.3314845593,74.981005612	2.9702970297,0.990099009901,19.0396039604	1.9801980198,0.990099009901,13.0297029703	0.990099009901,9.90099009901,106.108910891	0.990099009901,2.9702970297,39.0396039604	0.0,1.9801980198,73.0198019802	0.0,2.9702970297,27.0297029703	0.0,1.9801980198,20.0198019802	0.0,0.990099009901,17.0099009901	0.0,0.990099009901,36.0099009901	5.94059405941,1.9801980198,19.0792079208	0.0,1.9801980198,30.0198019802	1.9801980198,0.990099009901,15.0297029703	0.990099009901,0.0,45.0099009901	na	0.990099009901,0.0,55.0099009901
loss_6q	30.4560552161,13.7633440129,17.780600771	8.60417762031,5.48727152148,29.9085508582	9.09982434024,6.32783457815,35.5723410816	14.8962931163,7.39887113474,38.7048357489	5.63944468907,10.799474552,54.5610807589	7.73821801754,8.19463929932,48.0671426831	13.6946838795,6.2887581932,28.0165579273	5.19913525263,4.08130492931,21.7195598181	13.8598233897,8.69682523485,29.4433513755	14.7772070172,9.09912549338,33.1236674894	11.4822997879,8.05253629222,38.4651639199	14.8822075123,9.01175642282,30.1060360649	6.98410686453,5.48150446122,30.5343886743	12.5680453466,6.13581582298,28.2961388305	11.8688839724,8.19453935776,42.9365766698	15.5095375149,7.63225954687,43.8582029382	0.990099009901,0.990099009901,18.0198019802	0.0,2.9702970297,9.0297029703	0.0,3.9603960396,60.0396039604	0.0,1.9801980198,22.0198019802	0.0,0.0,36.0	0.0,1.9801980198,14.0198019802	0.0,0.0,10.0	0.990099009901,0.990099009901,12.0198019802	0.0,0.990099009901,16.0099009901	0.0,0.990099009901,11.0099009901	0.990099009901,0.990099009901,11.0198019802	1.9801980198,1.9801980198,15.0396039604	na	0.990099009901,0.0,45.0099009901	1.9801980198,0.0,10.0198019802
loss_4p	14.5664331969,9.15205752316,10.2815092799	3.57296387363,5.04664957348,19.3803865529	4.1048499192,5.0760118231,20.8191382577	3.29853824923,3.84111522109,27.8603465297	4.76489986148,6.77407084584,32.4610292927	2.54045551062,3.77904055912,27.6805039303	5.01969438497,4.86894360443,24.1113620106	3.27461333064,1.50337510271,9.22201156665	7.26786801768,3.61682081731,23.115311165	8.0701143219,3.79394186189,25.1359438162	5.83331575404,5.09325059849,19.0734336475	6.09429488386,6.38717217744,18.5185329387	4.52269257893,1.75520941845,20.7220980026	7.42122652377,4.11515011362,21.4636233626	5.29455475198,4.20107369077,25.5043715573	4.97122424109,5.03826876372,22.9905069952	0.0,0.0,4.0	0.0,0.990099009901,4.0099009901	0.0,3.9603960396,29.0396039604	0.0,3.9603960396,12.0396039604	0.0,2.9702970297,22.0297029703	0.0,0.990099009901,13.0099009901	0.990099009901,0.0,6.0099009901	0.0,2.9702970297,22.0297029703	0.0,0.0,8.0	0.0,0.0,7.0	0.0,0.0,12.0	na	1.9801980198,1.9801980198,15.0396039604	1.9801980198,0.990099009901,15.0297029703	1.9801980198,0.0,7.0198019802
loss_22q	26.0986913297,8.37308588461,13.5282227857	8.15241022215,3.43800562122,24.4095841566	10.4552653893,2.58480308091,25.9599315298	11.9022982644,3.49286157859,33.604840157	4.07676055905,3.11839528917,40.8048441518	5.15316832729,2.92648736824,34.9203443045	11.4231089754,1.85047199343,31.7264190312	8.00894565026,2.26557817205,14.7254761777	10.41873314,2.75182540327,21.8294414567	9.20132466265,3.08478471944,24.7138906179	12.9676986228,4.58089792025,23.451403457	13.2075475909,5.62470313848,21.1677492706	4.83421668,1.61861491825,24.5471684018	7.36050949874,2.46974494262,22.1697455586	10.5617944483,3.49735970991,26.9408458418	14.1621742996,3.41444182535,27.423383875	0.990099009901,0.0,20.0099009901	0.0,0.0,14.0	0.0,1.9801980198,73.0198019802	1.9801980198,0.990099009901,26.0297029703	0.990099009901,0.990099009901,40.0198019802	1.9801980198,0.990099009901,12.0297029703	0.0,0.0,8.0	1.9801980198,0.0,22.0198019802	1.9801980198,0.0,19.0198019802	4.9504950495,0.0,14.0495049505	na	0.0,0.0,12.0	0.990099009901,0.990099009901,11.0198019802	0.0,1.9801980198,30.0198019802	0.990099009901,0.0,20.0099009901
loss_21p	20.5894375377,13.2445941829,10.1659682794	5.29355602692,7.5595915229,15.1468524502	7.55146639482,7.51854490144,20.9299887037	10.5390495227,8.91778774505,23.5431627323	5.66829395309,9.64955054658,33.6821555003	3.07274882583,6.00731207941,31.9199390948	4.42238411267,5.37770530999,30.1999105773	5.20180079652,10.7490654571,22.0491337464	8.56066799589,6.08300775491,18.3563242492	10.0095545323,8.57566275463,19.414782713	9.22890422327,6.29526883872,19.475826938	7.27575700949,6.63281669284,20.0914262977	5.22475270282,5.66325853467,17.1119887625	6.54125609254,6.80007389799,18.6586700095	9.34794226233,6.68754765864,25.964510079	7.92793762936,7.13851193298,32.9335504377	0.990099009901,7.92079207921,5.08910891089	0.0,5.94059405941,4.05940594059	0.990099009901,15.8415841584,49.1683168317	0.0,10.8910891089,23.1089108911	0.0,4.9504950495,26.0495049505	0.990099009901,6.93069306931,5.07920792079	0.0,0.0,5.0	0.0,3.9603960396,10.0396039604	0.0,0.990099009901,10.0099009901	na	4.9504950495,0.0,14.0495049505	0.0,0.0,7.0	0.0,0.990099009901,11.0099009901	5.94059405941,1.9801980198,19.0792079208	2.9702970297,0.0,7.0297029703
loss_20p	18.7140135146,8.54131179016,12.7446746952	5.32107478468,2.30651628261,15.3724089327	5.24140712533,2.24667229434,17.5119205803	10.1437256209,3.38641133752,25.4698630415	2.75684119253,3.89133156509,37.3518272424	2.51006079823,3.77467206638,29.7152671354	8.27961421981,4.7809404822,27.939445298	4.71097776412,2.12084668755,16.1681755483	6.58235082932,2.9076212904,20.5100278803	7.87450621569,4.05337691771,26.0721168666	8.28906951374,2.32191149324,20.389018993	7.84591720943,3.3700345742,16.7840482164	6.51428042282,2.66428216361,27.8214374136	10.5333811397,2.93933996505,23.5272788952	8.47533863299,3.35118960324,30.1734717638	7.33178930816,3.57398205697,31.0942286349	0.990099009901,0.0,15.0099009901	0.0,0.0,7.0	0.0,4.9504950495,56.0495049505	0.0,2.9702970297,22.0297029703	0.990099009901,0.0,31.0099009901	0.0,0.990099009901,10.0099009901	0.0,0.990099009901,12.0099009901	0.0,0.0,13.0	na	0.0,0.990099009901,10.0099009901	1.9801980198,0.0,19.0198019802	0.0,0.0,8.0	0.0,0.990099009901,16.0099009901	0.0,0.990099009901,36.0099009901	0.0,0.0,15.0
loss_1p	20.2367915267,9.98297608103,14.7802323922	4.77560243665,4.85976372319,23.3646338402	6.79618334609,5.48663168961,25.7171849643	9.59525674648,3.30055999261,29.1041832609	3.53730133513,5.91215443172,47.5505442331	4.99830153599,4.30285964084,35.6988388232	7.60707525194,4.90939811599,36.4835266321	3.92153529912,2.22352633986,19.854938361	6.4162014937,3.8916770374,22.6921214689	5.73452766822,3.9369402051,25.3285321267	10.7909204722,4.3940092887,26.8150702391	10.2154145983,5.67939916868,25.105186233	3.68410548527,2.63480161953,20.6810928952	7.96381213018,3.27721849873,18.7589693711	9.22986084602,4.57463933735,30.1954998166	10.7793009204,5.64496958345,33.5757294962	0.0,0.990099009901,9.0099009901	0.0,0.0,10.0	0.0,3.9603960396,40.0396039604	0.0,2.9702970297,21.0297029703	1.9801980198,0.990099009901,37.0297029703	0.0,1.9801980198,10.0198019802	0.990099009901,0.0,8.0099009901	na	0.0,0.0,13.0	0.0,3.9603960396,10.0396039604	1.9801980198,0.0,22.0198019802	0.0,2.9702970297,22.0297029703	0.990099009901,0.990099009901,12.0198019802	0.0,0.990099009901,17.0099009901	0.0,0.0,10.0
loss_18p	13.6327247267,6.74937572616,8.61789954713	4.54623439045,2.57250491171,16.8812606978	5.43698067986,2.60591106076,14.9571082594	6.22132583233,3.14491420385,18.6337599638	3.19366947746,5.51908049399,20.2872500286	3.14321360165,3.17314974865,17.6836366497	3.1313131165,0.982327090466,15.886359793	2.3374624541,3.26831162597,10.3942259199	3.67803289571,2.97354633295,18.3484207713	5.68388906558,3.48693362188,17.8291773125	6.2211401997,2.29285648855,15.4860033118	6.48470928525,2.32758597229,14.1877047425	2.23309854973,2.41594898521,15.3509524651	4.00843713559,2.95719171708,13.0343711473	5.84368570491,2.65443416262,18.5018801325	7.10300691387,2.39072446471,17.5062686214	0.990099009901,0.0,7.0099009901	0.990099009901,0.0,5.0099009901	0.0,0.990099009901,26.0099009901	0.0,0.990099009901,5.0099009901	0.0,0.0,15.0	0.0,0.990099009901,9.0099009901	na	0.990099009901,0.0,8.0099009901	0.0,0.990099009901,12.0099009901	0.0,0.0,5.0	0.0,0.0,8.0	0.990099009901,0.0,6.0099009901	0.0,0.0,10.0	0.0,1.9801980198,20.0198019802	0.0,0.0,7.0
loss_17p	23.1606448325,5.62913136565,14.2102238019	5.95659158226,1.86365948172,25.179748936	7.55987317033,2.46607237312,28.9740544565	9.02503997795,3.7556945471,31.2192654749	3.34075646877,3.90498474908,35.7542587821	5.4627201578,1.59668315217,24.94059669	7.85752534996,1.49043662495,19.6520380251	6.86779217185,2.11762467335,20.0145831548	11.7798451168,2.46030308976,23.7598517934	12.900605132,2.73920956643,28.3601853015	10.4819051849,1.9335629527,25.5845318624	11.2796131101,3.48642879838,21.2339580916	5.25400914889,2.06212489324,22.6838659579	9.18988263003,1.95794883039,20.8521685396	9.64146233236,2.13839172026,29.2201459474	10.0102666393,2.15296031493,30.8367730458	1.9801980198,0.990099009901,16.0297029703	1.9801980198,0.990099009901,8.0297029703	0.0,2.9702970297,40.0297029703	0.990099009901,1.9801980198,22.0297029703	2.9702970297,0.990099009901,28.0396039604	na	0.0,0.990099009901,9.0099009901	0.0,1.9801980198,10.0198019802	0.0,0.990099009901,10.0099009901	0.990099009901,6.93069306931,5.07920792079	1.9801980198,0.990099009901,12.0297029703	0.0,0.990099009901,13.0099009901	0.0,1.9801980198,14.0198019802	0.0,2.9702970297,27.0297029703	0.0,0.990099009901,7.0099009901
