ID	TP53_CN	dataset
SCI001	1.9867	SU2C
SCI002	2.03	SU2C
SCI003	2.0227	SU2C
SCI004	1.95	SU2C
SCI005	2.0094	SU2C
SCI006	2.0272	SU2C
SCI007	3.0967	SU2C
SCI009	1.9951	SU2C
SCI010	1.9694	SU2C
SCI011	1.9953	SU2C
SCI012	1.9752	SU2C
SCI013	3.0103	SU2C
SCI014	1.9745	SU2C
SCI015	2.0029	SU2C
SCI016	2.2728	SU2C
SCI017	2.0349	SU2C
CSL193	2.0209	SU2C
SCI018	2.0085	SU2C
SCI019	2.8251	SU2C
SCI020	2.047	SU2C
SCI021	1.9759	SU2C
SCI023	2.0222	SU2C
SCI025	2.015	SU2C
SCI027	3.042	SU2C
SCI028	1.9989	SU2C
SCI029	2.0212	SU2C
CTF001	1.7154	SU2C
CTF002	1.9962	SU2C
CTF003	2.0109	SU2C
CTF004	2.001	SU2C
CTF005	2.0196	SU2C
CTF010	1.9771	SU2C
CTF011	2.0354	SU2C
CTF023	1.9999	SU2C
CTF024	2.0107	SU2C
CTF025	2.0128	SU2C
CTF026	2.0206	SU2C
CTF028	2.0498	SU2C
CTF029	1.9924	SU2C
CTF030	1.9935	SU2C
CTF031	1.2803	SU2C
CTF032	2.0143	SU2C
CTF033	1.9887	SU2C
CTF035	1.987	SU2C
CTF036	2.0094	SU2C
CTF038	2.9767	SU2C
CTF039	2.0398	SU2C
CTF040	2.0079	SU2C
CTF041	1.9878	SU2C
CTF042	2.0072	SU2C
CTF043	1.9765	SU2C
CTF044	2.0341	SU2C
CTF045	1.9973	SU2C
CTF048	2.0057	SU2C
CTF051	1.9759	SU2C
CTF052	2.0895	SU2C
CTF056	2.0047	SU2C
CTF059	1.6178	SU2C
CTF061	1.9959	SU2C
CTF062	1.9998	SU2C
SCI030	1.9944	SU2C
SCI031	2.9579	SU2C
SCI032	2.0698	SU2C
SCI033	2.0308	SU2C
SCI034	1.9982	SU2C
SCI035	2.0191	SU2C
SCI036	1.7852	SU2C
SCI037	2.9681	SU2C
SCI038	2.0168	SU2C
IID_H196061_T01	2.68	SU2C
IID_H196062_T01	1.9879	SU2C
IID_H196063_T01	2.0089	SU2C
IID_H196064_T01	1.5978	SU2C
SCI039	1.9387	SU2C
SCI040	1.9928	SU2C
SCI042	1.0248	SU2C
SCI043	1.9956	SU2C
SCI044	1.9849	SU2C
SCI045	1.9963	SU2C
SCI046	2.0565	SU2C
SCI047	1.9779	SU2C
SCI048	1.9612	SU2C
SCI049	2.1173	SU2C
SCI050	2.0255	SU2C
SCI051	2.0703	SU2C
SCI052	2.059	SU2C
SCI053	2.0025	SU2C
SCI054	1.048	SU2C
PD47561a	1.9564	SU2C
PD47563a	2.0243	SU2C
PD47567a	2.0025	SU2C
PD47570a	1.9436	SU2C
PD47572a	2.0578	SU2C
PD47573a	2.0119	SU2C
PD47574a	2.0281	SU2C
