cna	estimate	SE	quasiSE	quasiVar	CNA_type	timing	boot
amp_chr_10p	-2.523813897782927	0.10166590808849903	0.08620167499862676	0.007430728772568874	Amp	2.523813897782927	1
amp_chr_10q	-2.22189310965793	0.09415107604893719	0.07716570208771548	0.005954545578690057	Amp	2.22189310965793	1
amp_chr_11p	-3.0103786160847124	0.41337195019665535	0.4095695179378533	0.16774719002384553	Amp	3.0103786160847124	1
amp_chr_11q	-1.5617504291064361	0.1863852947065155	0.17802738151767933	0.03169374857004135	Amp	1.5617504291064361	1
amp_chr_12p	-2.7200930406044748	0.09460246316231842	0.07737469941282425	0.005986844109224905	Amp	2.7200930406044748	1
amp_chr_12q	-2.877926305552189	0.09738848739867713	0.08073534344649172	0.0065181956814229745	Amp	2.877926305552189	1
amp_chr_13q	-4.108073991537194	0.14459807871349367	0.13369329524629162	0.017873897193812098	Amp	4.108073991537194	1
amp_chr_14q	-2.490024543439249	0.08767750259220537	0.06861276721708262	0.004707711825185568	Amp	2.490024543439249	1
amp_chr_15q	-3.686507138816012	0.42661121278565167	0.42269324130144537	0.1786695762419219	Amp	3.686507138816012	1
amp_chr_16p_BCMA	-2.2858936261843614	0.0814334102818207	0.06128875677578507	0.00375631170712134	Amp	2.2858936261843614	1
amp_chr_16q	-2.7837091834300094	0.08375277235480016	0.06420574067930981	0.004122377136178779	Amp	2.7837091834300094	1
amp_chr_17p	-1.3335855134683392	0.08984419777127706	0.0728889000403457	0.005312791749091508	Amp	1.3335855134683392	1
amp_chr_17q	-1.5595260245710232	0.0824705857065044	0.06268970005960955	0.00392999849356381	Amp	1.5595260245710232	1
amp_chr_18p	-2.1494317002697683	0.0817925043940378	0.06207050164795221	0.0038527471748284383	Amp	2.1494317002697683	1
amp_chr_18q	-2.158698079412816	0.08140506015412728	0.0617044063609231	0.0038074337643539268	Amp	2.158698079412816	1
amp_chr_19p	-2.8244454298082933	0.15384932003397456	0.14319762989334434	0.020505561207071227	Amp	2.8244454298082933	1
amp_chr_19q	-3.6219899196614556	0.2326454645279151	0.22550274801769862	0.05085148936353368	Amp	3.6219899196614556	1
amp_chr_1p	-3.0783047350291595	0.09234611852046819	0.07486225018682666	0.005604356503035027	Amp	3.0783047350291595	1
amp_chr_1q_MCL1	-1.359731247450992	0.07064520651260618	0.04738188452974516	0.002245042981590103	Amp	1.359731247450992	1
amp_chr_20p	-2.3116945629087864	0.0908305493507608	0.0731691201590706	0.00535372014485251	Amp	2.3116945629087864	1
amp_chr_20q	-2.4989269626138992	0.08476314700187162	0.06547339013541494	0.0042867648158242495	Amp	2.4989269626138992	1
amp_chr_21q	-4.203288151704438	0.3105156024722048	0.3052103760932842	0.093153373675004	Amp	4.203288151704438	1
amp_chr_22q	-2.3116565173286134	0.08220045045615255	0.06240735692105079	0.003894678197871426	Amp	2.3116565173286134	1
amp_chr_2p	-2.0414635789052995	0.09349649890709806	0.07647005365381392	0.0058476691058171795	Amp	2.0414635789052995	1
amp_chr_2q	-2.176060640087672	0.09646627321459325	0.08026625187530036	0.006442671190109158	Amp	2.176060640087672	1
amp_chr_3q_TERC	-1.240502140743235	0.34512353425337255	0.3404438425911755	0.1159020099582451	Amp	1.240502140743235	1
amp_chr_4p	-1.214885409908495	0.08821239122825507	0.07102562153334246	0.005044638914197601	Amp	1.214885409908495	1
amp_chr_4q	-1.3726110640315417	0.08133543569308811	0.06209199631648278	0.003855416006566111	Amp	1.3726110640315417	1
amp_chr_5p	-2.119659727252639	0.24502334045163257	0.23852031314536454	0.05689193978296276	Amp	2.119659727252639	1
amp_chr_5q	-2.0236792892580042	0.26026847613614906	0.2542648724702357	0.06465062537230525	Amp	2.0236792892580042	1
amp_chr_6p	-1.0987383129913244	0.079836914910734	0.06001769419653869	0.003602123616669234	Amp	1.0987383129913244	1
amp_chr_6q	-1.9912035314250145	0.09077119208358365	0.07399634095381499	0.005475458474553239	Amp	1.9912035314250145	1
amp_chr_7q	-2.5756364553573197	0.40974892539216773	0.4059047434944372	0.1647586607912849	Amp	2.5756364553573197	1
amp_chr_8p	-3.966351580998202	0.1471671402077352	0.1365411327365254	0.01864348092897345	Amp	3.966351580998202	1
amp_chr_8q_MYC_amp	-3.5421205754948586	0.13518794332074005	0.12378575332334257	0.015322912725827417	Amp	3.5421205754948586	1
amp_chr_9p	-1.674198120984061	0.2431306389861625	0.23684350999191855	0.05609484822529203	Amp	1.674198120984061	1
amp_chr_9q	-2.4191321797770016	0.15266999786347535	0.14229301617544488	0.02024730245230542	Amp	2.4191321797770016	1
del_chr_10p	-2.3713745323282143	0.10015364421882904	0.08448957325301004	0.00713848798847575	Del	2.3713745323282143	1
del_chr_10q	-3.506840671392116	0.12207319101388835	0.10907381847298517	0.011897097876277721	Del	3.506840671392116	1
del_chr_11p	-3.6564127748775013	0.13290769748443135	0.12046114167372983	0.014510886653338408	Del	3.6564127748775013	1
del_chr_11q_BIRC2	-2.7566778528630635	0.11482324380137804	0.1003751064974126	0.010075162004366922	Del	2.7566778528630635	1
del_chr_12p	-3.5232414516893114	0.10858569925212899	0.09342599529642484	0.008728416597127597	Del	3.5232414516893114	1
del_chr_12q	-3.5728325389985556	0.11979826007568864	0.1062699227093001	0.011293296472640617	Del	3.5728325389985556	1
del_chr_13q	-1.1219058262083397	0.06696241318707752	0.04227888372541435	0.001787504009067106	Del	1.1219058262083397	1
del_chr_14q_MAX	-0.9958414574446163	0.09554524183495419	0.07970523554220256	0.006352924572837991	Del	0.9958414574446163	1
del_chr_15q	-5.542191056089496	0.30488579782145303	0.2995368211033669	0.08972230719671043	Del	5.542191056089496	1
del_chr_16p	-2.9220612949789997	0.08664403488451544	0.06742377191074947	0.00454596501867277	Del	2.9220612949789997	1
del_chr_16q_CYLD	-1.9485942628788178	0.07410245889810002	0.050963173863216055	0.002597245090212388	Del	1.9485942628788178	1
del_chr_17p	-2.2175398792857375	0.09512949469503891	0.07833892766251305	0.006136987587312452	Del	2.2175398792857375	1
del_chr_17q	-2.3539438823573815	0.10466741384514568	0.08957892372321356	0.008024383575409313	Del	2.3539438823573815	1
del_chr_18p	-3.264556683693287	0.12415543057529588	0.11112132669442656	0.012347949246329478	Del	3.264556683693287	1
del_chr_18q	-3.3411707079299453	0.12081757142719719	0.10736275584221447	0.011526761342034956	Del	3.3411707079299453	1
del_chr_19p	-1.275885073165654	0.11960145065987407	0.10702545441846173	0.011454447893478228	Del	1.275885073165654	1
del_chr_19q	-1.9187845834938024	0.10294598671122177	0.08771468039654684	0.007693865157068359	Del	1.9187845834938024	1
del_chr_1p_CDKN2C	-2.4597171566445417	0.1398839440888825	0.12911563009481652	0.01667084593478149	Del	2.4597171566445417	1
del_chr_1p_EVI5	-2.1445757094420537	0.10906936188530544	0.094375103236811	0.008906660110958736	Del	2.1445757094420537	1
del_chr_1p_TENT5C	-2.501915588229483	0.11255597656292285	0.09829803941358138	0.009662504552554	Del	2.501915588229483	1
del_chr_1q	-5.271695901883706	0.3257357320135552	0.32068109932296573	0.1028363674629858	Del	5.271695901883706	1
del_chr_20p	-2.801547602218844	0.10259022689300372	0.08675573260327411	0.007526557139530799	Del	2.801547602218844	1
del_chr_20q	-2.774773886791574	0.13405228902696834	0.12231632003080957	0.014961282145879426	Del	2.774773886791574	1
del_chr_21q	-2.4624714546373854	0.12254548672025341	0.10939961025752284	0.011968274724497898	Del	2.4624714546373854	1
del_chr_22q_XBP1	-1.6750384577113986	0.08576329918128865	0.06782339810777656	0.00460001333088595	Del	1.6750384577113986	1
del_chr_2p	-4.565991571834442	0.15025338234967728	0.13942203882199747	0.019438504909282568	Del	4.565991571834442	1
del_chr_2q_SP140	-3.582022376385982	0.11859247368304542	0.10467595938124087	0.010957056472383188	Del	3.582022376385982	1
del_chr_3p	-4.763024212966432	0.40378434897482174	0.3997737992668369	0.1598190905802412	Del	4.763024212966432	1
del_chr_3q_BCL6	-2.573748424257947	0.15795207734548478	0.14822188334257058	0.021969726701618602	Del	2.573748424257947	1
del_chr_4p_NSD2	-1.8840898714475602	0.08604468905873497	0.06786692739478718	0.004605919834009316	Del	1.8840898714475602	1
del_chr_4q	-2.586518699724829	0.10369893877573683	0.08825875660816998	0.007789608118020187	Del	2.586518699724829	1
del_chr_5p	-3.71188250676058	0.13406374558182954	0.12225039018130159	0.014945157899480479	Del	3.71188250676058	1
del_chr_5q	-4.145625965260768	0.16695538422760456	0.15738996414596984	0.02477160081386967	Del	4.145625965260768	1
del_chr_6p	-4.283923806114715	0.15892025305696444	0.1484003868309373	0.022022674811571826	Del	4.283923806114715	1
del_chr_6q	-1.751680613620832	0.08121827513489974	0.061029681390835144	0.0037246220106668493	Del	1.751680613620832	1
del_chr_7p	-2.4636515454260004	0.10569379091597507	0.09013526733497966	0.008124366417548252	Del	2.4636515454260004	1
del_chr_7q	-2.002185667810723	0.1319665897613165	0.11995049357673748	0.014388120909302941	Del	2.002185667810723	1
del_chr_8p	-2.3283421462934673	0.08259793571102957	0.06258185179795862	0.003916488174461656	Del	2.3283421462934673	1
del_chr_8q_MYC_del	-2.277824036372067	0.09839646145440223	0.08187564934261785	0.006703621955275319	Del	2.277824036372067	1
del_chr_9p	-3.150406684756497	0.16829302589884063	0.1585752823184645	0.025146120162380717	Del	3.150406684756497	1
del_chr_9q	-3.051136418211423	0.1668979982769966	0.1571151383239281	0.024685166690547055	Del	3.051136418211423	1
HyperDiploidy	0	0	0.05362742300967002	0.002875900498658086	Amp	0	1
amp_chr_10p	-3.186078981370752	0.12195279908325439	0.10743968236875782	0.011543285347499571	Amp	3.186078981370752	10
amp_chr_10q	-2.3380563264204697	0.10206730242518988	0.08434270491930156	0.0071136918731043745	Amp	2.3380563264204697	10
amp_chr_11p	-3.6877843916421043	0.8939322515641711	0.891965149297147	0.7956018275606818	Amp	3.6877843916421043	10
amp_chr_11q	-0.4795846115435714	0.2333200765611565	0.22622387010675396	0.05117723940607749	Amp	0.4795846115435714	10
amp_chr_12p	-2.3570030724430606	0.10863576517633713	0.09198610863731127	0.00846144418223523	Amp	2.3570030724430606	10
amp_chr_12q	-2.462123781463513	0.11694354056271647	0.1017406638153569	0.010351162673589473	Amp	2.462123781463513	10
amp_chr_13q	-2.991041238641898	0.11499270940794327	0.09902040068347284	0.009805039751515508	Amp	2.991041238641898	10
amp_chr_14q	-2.349999656742338	0.10939769883203382	0.09334004871466056	0.008712364694055208	Amp	2.349999656742338	10
amp_chr_15q	-6.016115041166153	0.8985150750980303	0.8959819483172009	0.8027836517102873	Amp	6.016115041166153	10
amp_chr_16p_BCMA	-2.4026069531309537	0.09135634403683698	0.0710252081626992	0.005044580194554752	Amp	2.4026069531309537	10
amp_chr_16q	-2.8824456563645553	0.0890592515720554	0.06821448947268098	0.0046532165740185046	Amp	2.8824456563645553	10
amp_chr_17p	-1.4469476286633927	0.09284682408987603	0.07350090441395553	0.005402382949669427	Amp	1.4469476286633927	10
amp_chr_17q	-1.7041683509525525	0.0849627009018358	0.06279049026272486	0.003942645667433345	Amp	1.7041683509525525	10
amp_chr_18p	-2.063370220694111	0.0816150376148962	0.05860007953072943	0.0034339693210078143	Amp	2.063370220694111	10
amp_chr_18q	-1.951364785044989	0.08071199117294557	0.05728715389460369	0.0032818180013440067	Amp	1.951364785044989	10
