alteration	stability_cutoff	freq
amp_chr_10p	425	0.04132231404958678
amp_chr_10q	275	0.06493506493506493
amp_chr_11q	375	0.08641975308641975
amp_chr_12p	550	0.043683589138134596
amp_chr_12q	500	0.06257378984651712
amp_chr_13q	700	0.05667060212514758
amp_chr_14q	475	0.10979929161747344
amp_chr_15q	400	0.0773067331670823
amp_chr_16p_BCMA	275	0.05667060212514758
amp_chr_16q	475	0.053128689492325853
amp_chr_17p	325	0.10153482880755609
amp_chr_17q	350	0.1357733175914994
amp_chr_18p	150	0.16765053128689492
amp_chr_18q	225	0.18181818181818182
amp_chr_19p	350	0.13559322033898305
amp_chr_1p	575	0.047225501770956316
amp_chr_1q_MCL1	275	0.41912632821723733
amp_chr_20p	325	0.09917355371900827
amp_chr_20q	250	0.11452184179456906
amp_chr_21q	500	0.02922077922077922
amp_chr_22q	425	0.06847697756788666
amp_chr_2p	325	0.1180637544273908
amp_chr_2q	375	0.07792207792207792
amp_chr_3p	525	0.033126293995859216
amp_chr_3q_TERC	375	0.07592190889370933
amp_chr_4p	375	0.09327036599763873
amp_chr_4q	300	0.10625737898465171
amp_chr_5p	500	0.029345372460496615
amp_chr_6p	125	0.27508854781582054
amp_chr_6q	125	0.17591499409681227
amp_chr_7q	500	0.02071563088512241
amp_chr_8p	475	0.048406139315230225
amp_chr_8q_MYC_amp	175	0.17237308146399055
amp_chr_9p	500	0.07751937984496124
amp_chr_9q	275	0.15902964959568733
del_chr_10p	325	0.053128689492325853
del_chr_10q	450	0.05430932703659976
del_chr_11p	375	0.03778040141676505
del_chr_11q_BIRC2	400	0.043683589138134596
del_chr_12p	200	0.1511216056670602
del_chr_12q	425	0.09917355371900827
del_chr_13q	225	0.5525383707201889
del_chr_14q_MAX	125	0.26092089728453366
del_chr_15q	550	0.0295159386068477
del_chr_16p	325	0.12987012987012986
del_chr_16q_CYLD	250	0.27036599763872493
del_chr_17p	175	0.24203069657615112
del_chr_17q	400	0.2101534828807556
del_chr_18p	350	0.06965761511216056
del_chr_18q	500	0.0448642266824085
del_chr_19p	200	0.05785123966942149
del_chr_19q	600	0.08264462809917356
del_chr_1p_CDKN2C	275	0.13931523022432113
del_chr_1p_EVI5	250	0.26564344746162927
del_chr_1p_TENT5C	250	0.23140495867768596
del_chr_1q	350	0.05548996458087367
del_chr_20p	325	0.12278630460448642
del_chr_20q	425	0.07792207792207792
del_chr_22q_XBP1	175	0.1912632821723731
del_chr_2p	575	0.021251475796930343
del_chr_2q_SP140	525	0.043683589138134596
del_chr_3q_BCL6	550	0.03541912632821724
del_chr_4p_NSD2	250	0.089728453364817
del_chr_4q	275	0.08028335301062574
del_chr_5p	725	0.010625737898465172
del_chr_5q	575	0.04132231404958678
del_chr_6p	625	0.025974025974025976
del_chr_6q	150	0.2243211334120425
del_chr_7p	500	0.06493506493506493
del_chr_7q	425	0.049586776859504134
del_chr_8p	200	0.29043683589138136
del_chr_8q_MYC_del	475	0.04014167650531287
del_chr_9p	500	0.03778040141676505
del_chr_9q	775	0.05076741440377804
HyperDiploidy	25	0.6174734356552538
amp_chr_19q	725	0.03412073490813648
del_chr_21q	475	0.02715466351829988
del_chr_3p	500	0.01770956316410862
amp_chr_11p	525	0.02330097087378641
