idx	boot_n	sample
333	1	MMRF_1698_1_BM_CD138pos_pair
1017	1	SMM-089_pair
976	1	SMM-032_pair
570	1	MMRF_2185_1_BM_CD138pos_pair
864	1	MMRF_2743_1_BM_CD138pos_pair
785	1	MMRF_2602_1_BM_CD138pos_pair
1071	1	Tumor_Only_056_pair
907	1	MMRF_2815_1_BM_CD138pos_pair
927	1	MMRF_2838_1_BM_CD138pos_pair
508	1	MMRF_2055_1_BM_CD138pos_pair
607	1	MMRF_2251_1_BM_CD138pos_pair
1014	1	SMM-086_pair
719	1	MMRF_2477_1_BM_CD138pos_pair
1099	1	Tumor_Only_086_pair
799	1	MMRF_2638_1_BM_CD138pos_pair
82	1	SCI050
34	1	CTF023
435	1	MMRF_1871_1_BM_CD138pos_pair
80	1	SCI048
1054	1	Tumor_Only_037_pair
636	1	MMRF_2307_1_BM_CD138pos_pair
525	1	MMRF_2090_1_BM_CD138pos_pair
1102	1	Tumor_Only_089_pair
359	1	MMRF_1746_1_BM_CD138pos_pair
433	1	MMRF_1866_1_BM_CD138pos_pair
648	1	MMRF_2329_1_BM_CD138pos_pair
201	1	MMRF_1424_1_BM_CD138pos_pair
367	1	MMRF_1763_1_BM_CD138pos_pair
413	1	MMRF_1835_1_BM_CD138pos_pair
835	1	MMRF_2702_1_BM_CD138pos_pair
329	1	MMRF_1687_1_BM_CD138pos_pair
30	1	CTF004
128	1	MMRF_1185_1_BM_CD138pos_pair
324	1	MMRF_1678_1_BM_CD138pos_pair
720	1	MMRF_2478_1_BM_CD138pos_pair
833	1	MMRF_2699_1_BM_CD138pos_pair
1037	1	Tumor_Only_018_pair
975	1	SMM-031_pair
71	1	IID_H196064_T01
99	1	MMRF_1054_1_BM_CD138pos_pair
941	1	PD47575a
852	1	MMRF_2728_1_BM_CD138pos_pair
758	1	MMRF_2549_1_BM_CD138pos_pair
256	1	MMRF_1564_1_BM_CD138pos_pair
739	1	MMRF_2514_1_BM_CD138pos_pair
649	1	MMRF_2330_1_BM_CD138pos_pair
513	1	MMRF_2062_1_BM_CD138pos_pair
643	1	MMRF_2324_1_BM_CD138pos_pair
335	1	MMRF_1705_1_BM_CD138pos_pair
175	1	MMRF_1349_1_BM_CD138pos_pair
693	1	MMRF_2433_1_BM_CD138pos_pair
447	1	MMRF_1900_1_BM_CD138pos_pair
564	1	MMRF_2173_1_BM_CD138pos_pair
596	1	MMRF_2230_1_BM_CD138pos_pair
546	1	MMRF_2129_1_BM_CD138pos_pair
1143	1	SCI085
493	1	MMRF_2007_1_BM_CD138pos_pair
409	1	MMRF_1831_1_BM_CD138pos_pair
526	1	MMRF_2091_1_BM_CD138pos_pair
55	1	CTF056
301	1	MMRF_1642_1_BM_CD138pos_pair
191	1	MMRF_1389_1_BM_CD138pos_pair
584	1	MMRF_2209_1_BM_CD138pos_pair
17	1	CSL193
894	1	MMRF_2787_1_BM_CD138pos_pair
559	1	MMRF_2159_1_BM_CD138pos_pair
469	1	MMRF_1965_1_BM_CD138pos_pair
942	1	PD47576a
659	1	MMRF_2362_1_BM_CD138pos_pair
324	1	MMRF_1678_1_BM_CD138pos_pair
1065	1	Tumor_Only_049_pair
1095	1	Tumor_Only_082_pair
189	1	MMRF_1386_1_BM_CD138pos_pair
301	1	MMRF_1642_1_BM_CD138pos_pair
275	1	MMRF_1598_1_BM_CD138pos_pair
159	1	MMRF_1311_1_BM_CD138pos_pair
411	1	MMRF_1833_1_BM_CD138pos_pair
1005	1	SMM-073_pair
220	1	MMRF_1466_1_BM_CD138pos_pair
478	1	MMRF_1985_1_BM_CD138pos_pair
1070	1	Tumor_Only_054_pair
707	1	MMRF_2458_1_BM_CD138pos_pair
653	1	MMRF_2336_1_BM_CD138pos_pair
277	1	MMRF_1602_1_BM_CD138pos_pair
733	1	MMRF_2503_1_BM_CD138pos_pair
259	1	MMRF_1570_1_BM_CD138pos_pair
741	1	MMRF_2517_1_BM_CD138pos_pair
131	1	MMRF_1195_1_BM_CD138pos_pair
55	1	CTF056
242	1	MMRF_1533_1_BM_CD138pos_pair
235	1	MMRF_1512_1_BM_CD138pos_pair
911	1	MMRF_2819_1_BM_CD138pos_pair
231	1	MMRF_1505_1_BM_CD138pos_pair
368	1	MMRF_1766_1_BM_CD138pos_pair
62	1	SCI033
1086	1	Tumor_Only_072_pair
397	1	MMRF_1810_1_BM_CD138pos_pair
736	1	MMRF_2506_1_BM_CD138pos_pair
99	1	MMRF_1054_1_BM_CD138pos_pair
901	1	MMRF_2799_1_BM_CD138pos_pair
964	1	SMM-019_pair
186	1	MMRF_1377_1_BM_CD138pos_pair
464	1	MMRF_1940_1_BM_CD138pos_pair
941	1	PD47575a
403	1	MMRF_1820_1_BM_CD138pos_pair
172	1	MMRF_1342_1_BM_CD138pos_pair
689	1	MMRF_2426_1_BM_CD138pos_pair
479	1	MMRF_1986_1_BM_CD138pos_pair
130	1	MMRF_1189_1_BM_CD138pos_pair
499	1	MMRF_2024_1_BM_CD138pos_pair
248	1	MMRF_1541_1_BM_CD138pos_pair
1148	1	SCI093
493	1	MMRF_2007_1_BM_CD138pos_pair
471	1	MMRF_1970_1_BM_CD138pos_pair
