matchID	player1	player2	win1	win2	total_matches_performed
1	amp_chr_1p	amp_chr_1q_MCL1	7	106	34
2	amp_chr_1p	amp_chr_2p	21	62	29
3	amp_chr_1p	amp_chr_2q	35	30	24
4	amp_chr_1p	amp_chr_3p	0	0	0
5	amp_chr_1p	amp_chr_3q_TERC	0	2	1
6	amp_chr_1p	amp_chr_4p	25	50	27
7	amp_chr_1p	amp_chr_4q	17	36	20
8	amp_chr_1p	amp_chr_5p	0	0	0
9	amp_chr_1p	amp_chr_5q	0	15	3
10	amp_chr_1p	amp_chr_6p	11	74	29
11	amp_chr_1p	amp_chr_6q	17	30	17
12	amp_chr_1p	amp_chr_7p	0	0	0
13	amp_chr_1p	amp_chr_7q	0	0	0
14	amp_chr_1p	amp_chr_8p	0	8	3
15	amp_chr_1p	amp_chr_8q_MYC_amp	0	63	18
16	amp_chr_1p	amp_chr_9p	0	1	1
17	amp_chr_1p	amp_chr_9q	0	2	1
18	amp_chr_1p	amp_chr_10p	17	12	10
19	amp_chr_1p	amp_chr_10q	17	13	13
20	amp_chr_1p	amp_chr_11p	0	0	0
21	amp_chr_1p	amp_chr_11q	0	0	0
22	amp_chr_1p	amp_chr_12p	2	29	9
23	amp_chr_1p	amp_chr_12q	4	5	3
24	amp_chr_1p	amp_chr_13q	18	0	8
25	amp_chr_1p	amp_chr_14q	25	7	12
26	amp_chr_1p	amp_chr_15q	0	0	0
27	amp_chr_1p	amp_chr_16p_BCMA	2	31	13
28	amp_chr_1p	amp_chr_16q	21	10	14
29	amp_chr_1p	amp_chr_17p	0	27	12
30	amp_chr_1p	amp_chr_17q	3	33	15
31	amp_chr_1p	amp_chr_18p	8	69	22
32	amp_chr_1p	amp_chr_18q	8	83	30
33	amp_chr_1p	amp_chr_19p	0	16	4
34	amp_chr_1p	amp_chr_19q	0	0	0
35	amp_chr_1p	amp_chr_20p	5	4	2
36	amp_chr_1p	amp_chr_20q	5	9	5
37	amp_chr_1p	amp_chr_21q	0	0	0
38	amp_chr_1p	amp_chr_22q	10	4	8
39	amp_chr_1p	del_chr_1q	0	0	0
40	amp_chr_1p	del_chr_2p	0	0	0
41	amp_chr_1p	del_chr_2q_SP140	0	0	0
42	amp_chr_1p	del_chr_3p	0	0	0
43	amp_chr_1p	del_chr_3q_BCL6	0	25	5
44	amp_chr_1p	del_chr_4p_NSD2	9	3	3
45	amp_chr_1p	del_chr_4q	4	0	1
46	amp_chr_1p	del_chr_5p	0	1	1
47	amp_chr_1p	del_chr_5q	0	0	0
48	amp_chr_1p	del_chr_6p	0	0	0
49	amp_chr_1p	del_chr_6q	25	43	24
50	amp_chr_1p	del_chr_7p	10	2	5
51	amp_chr_1p	del_chr_7q	10	0	4
52	amp_chr_1p	del_chr_8p	17	63	29
53	amp_chr_1p	del_chr_8q_MYC_del	19	3	7
54	amp_chr_1p	del_chr_9p	0	0	0
55	amp_chr_1p	del_chr_9q	0	0	0
56	amp_chr_1p	del_chr_10p	9	0	3
57	amp_chr_1p	del_chr_10q	1	0	1
58	amp_chr_1p	del_chr_11p	9	0	3
59	amp_chr_1p	del_chr_11q_BIRC2	6	0	2
60	amp_chr_1p	del_chr_12p	11	21	12
61	amp_chr_1p	del_chr_12q	11	0	5
62	amp_chr_1p	del_chr_13q	23	81	32
63	amp_chr_1p	del_chr_14q_MAX	0	28	7
64	amp_chr_1p	del_chr_15q	0	0	0
65	amp_chr_1p	del_chr_16p	15	6	10
66	amp_chr_1p	del_chr_16q_CYLD	3	69	23
67	amp_chr_1p	del_chr_17p	29	9	17
68	amp_chr_1p	del_chr_17q	25	7	13
69	amp_chr_1p	del_chr_18p	4	6	3
70	amp_chr_1p	del_chr_18q	4	0	1
71	amp_chr_1p	del_chr_19p	0	0	0
72	amp_chr_1p	del_chr_19q	0	0	0
73	amp_chr_1p	del_chr_20p	10	23	10
74	amp_chr_1p	del_chr_20q	0	10	4
75	amp_chr_1p	del_chr_21q	8	3	4
76	amp_chr_1p	del_chr_22q_XBP1	9	21	11
77	amp_chr_1p	HyperDiploidy	0	154	46
78	amp_chr_1q_MCL1	amp_chr_2p	128	26	50
79	amp_chr_1q_MCL1	amp_chr_2q	119	24	41
80	amp_chr_1q_MCL1	amp_chr_3p	18	1	7
81	amp_chr_1q_MCL1	amp_chr_3q_TERC	25	3	12
82	amp_chr_1q_MCL1	amp_chr_4p	78	28	40
83	amp_chr_1q_MCL1	amp_chr_4q	102	27	42
84	amp_chr_1q_MCL1	amp_chr_5p	26	0	8
85	amp_chr_1q_MCL1	amp_chr_5q	17	15	8
86	amp_chr_1q_MCL1	amp_chr_6p	191	105	94
87	amp_chr_1q_MCL1	amp_chr_6q	178	84	81
88	amp_chr_1q_MCL1	amp_chr_7p	5	0	2
89	amp_chr_1q_MCL1	amp_chr_7q	24	1	8
90	amp_chr_1q_MCL1	amp_chr_8p	64	9	23
91	amp_chr_1q_MCL1	amp_chr_8q_MYC_amp	121	35	60
92	amp_chr_1q_MCL1	amp_chr_9p	28	1	10
93	amp_chr_1q_MCL1	amp_chr_9q	63	15	30
94	amp_chr_1q_MCL1	amp_chr_10p	102	6	30
95	amp_chr_1q_MCL1	amp_chr_10q	63	7	23
96	amp_chr_1q_MCL1	amp_chr_11p	17	4	8
97	amp_chr_1q_MCL1	amp_chr_11q	16	9	8
98	amp_chr_1q_MCL1	amp_chr_12p	67	1	19
99	amp_chr_1q_MCL1	amp_chr_12q	115	1	32
100	amp_chr_1q_MCL1	amp_chr_13q	114	0	29
101	amp_chr_1q_MCL1	amp_chr_14q	289	11	68
102	amp_chr_1q_MCL1	amp_chr_15q	86	5	26
103	amp_chr_1q_MCL1	amp_chr_16p_BCMA	22	7	18
104	amp_chr_1q_MCL1	amp_chr_16q	99	3	33
105	amp_chr_1q_MCL1	amp_chr_17p	39	71	49
106	amp_chr_1q_MCL1	amp_chr_17q	112	75	64
107	amp_chr_1q_MCL1	amp_chr_18p	97	75	56
108	amp_chr_1q_MCL1	amp_chr_18q	108	75	63
109	amp_chr_1q_MCL1	amp_chr_19p	59	10	22
110	amp_chr_1q_MCL1	amp_chr_19q	5	0	1
111	amp_chr_1q_MCL1	amp_chr_20p	153	1	39
112	amp_chr_1q_MCL1	amp_chr_20q	112	12	32
113	amp_chr_1q_MCL1	amp_chr_21q	34	0	10
114	amp_chr_1q_MCL1	amp_chr_22q	185	4	50
115	amp_chr_1q_MCL1	del_chr_1p_CDKN2C	95	30	47
116	amp_chr_1q_MCL1	del_chr_1p_EVI5	117	60	69
117	amp_chr_1q_MCL1	del_chr_1p_TENT5C	152	41	74
118	amp_chr_1q_MCL1	del_chr_2p	10	27	12
119	amp_chr_1q_MCL1	del_chr_2q_SP140	26	1	9
120	amp_chr_1q_MCL1	del_chr_3p	21	0	7
121	amp_chr_1q_MCL1	del_chr_3q_BCL6	52	3	16
122	amp_chr_1q_MCL1	del_chr_4p_NSD2	139	12	49
123	amp_chr_1q_MCL1	del_chr_4q	84	13	33
124	amp_chr_1q_MCL1	del_chr_5p	11	1	4
125	amp_chr_1q_MCL1	del_chr_5q	24	1	8
126	amp_chr_1q_MCL1	del_chr_6p	39	0	11
127	amp_chr_1q_MCL1	del_chr_6q	182	54	84
128	amp_chr_1q_MCL1	del_chr_7p	94	34	35
129	amp_chr_1q_MCL1	del_chr_7q	69	0	18
130	amp_chr_1q_MCL1	del_chr_8p	203	63	103
131	amp_chr_1q_MCL1	del_chr_8q_MYC_del	59	4	17
132	amp_chr_1q_MCL1	del_chr_9p	78	0	21
133	amp_chr_1q_MCL1	del_chr_9q	105	0	27
134	amp_chr_1q_MCL1	del_chr_10p	71	13	24
135	amp_chr_1q_MCL1	del_chr_10q	89	16	31
136	amp_chr_1q_MCL1	del_chr_11p	76	14	23
137	amp_chr_1q_MCL1	del_chr_11q_BIRC2	59	1	15
138	amp_chr_1q_MCL1	del_chr_12p	157	28	64
139	amp_chr_1q_MCL1	del_chr_12q	102	10	36
140	amp_chr_1q_MCL1	del_chr_13q	141	200	128
141	amp_chr_1q_MCL1	del_chr_14q_MAX	102	54	61
142	amp_chr_1q_MCL1	del_chr_15q	34	0	10
143	amp_chr_1q_MCL1	del_chr_16p	234	35	74
144	amp_chr_1q_MCL1	del_chr_16q_CYLD	155	107	93
145	amp_chr_1q_MCL1	del_chr_17p	331	10	98
146	amp_chr_1q_MCL1	del_chr_17q	309	7	85
147	amp_chr_1q_MCL1	del_chr_18p	49	4	14
148	amp_chr_1q_MCL1	del_chr_18q	42	0	10
149	amp_chr_1q_MCL1	del_chr_19p	106	0	25
150	amp_chr_1q_MCL1	del_chr_19q	167	0	38
151	amp_chr_1q_MCL1	del_chr_20p	94	26	43
152	amp_chr_1q_MCL1	del_chr_20q	90	22	41
153	amp_chr_1q_MCL1	del_chr_21q	50	2	14
154	amp_chr_1q_MCL1	del_chr_22q_XBP1	193	46	73
155	amp_chr_1q_MCL1	HyperDiploidy	73	254	124
156	amp_chr_2p	amp_chr_2q	50	11	20
157	amp_chr_2p	amp_chr_3p	0	4	1
158	amp_chr_2p	amp_chr_3q_TERC	1	4	2
159	amp_chr_2p	amp_chr_4p	49	15	22
160	amp_chr_2p	amp_chr_4q	43	11	17
161	amp_chr_2p	amp_chr_5p	0	5	3
162	amp_chr_2p	amp_chr_5q	0	4	2
163	amp_chr_2p	amp_chr_6p	5	61	26
164	amp_chr_2p	amp_chr_6q	29	15	22
165	amp_chr_2p	amp_chr_7p	0	0	0
166	amp_chr_2p	amp_chr_7q	0	2	1
167	amp_chr_2p	amp_chr_8p	5	9	7
168	amp_chr_2p	amp_chr_8q_MYC_amp	29	57	30
169	amp_chr_2p	amp_chr_9p	0	0	0
170	amp_chr_2p	amp_chr_9q	0	10	3
171	amp_chr_2p	amp_chr_10p	41	20	19
172	amp_chr_2p	amp_chr_10q	32	34	22
173	amp_chr_2p	amp_chr_11p	0	3	3
174	amp_chr_2p	amp_chr_11q	0	8	2
175	amp_chr_2p	amp_chr_12p	8	21	12
176	amp_chr_2p	amp_chr_12q	37	20	20
177	amp_chr_2p	amp_chr_13q	79	6	22
178	amp_chr_2p	amp_chr_14q	123	31	42
179	amp_chr_2p	amp_chr_15q	3	0	3
180	amp_chr_2p	amp_chr_16p_BCMA	3	25	13
181	amp_chr_2p	amp_chr_16q	36	25	21
182	amp_chr_2p	amp_chr_17p	18	23	18
183	amp_chr_2p	amp_chr_17q	46	40	32
184	amp_chr_2p	amp_chr_18p	17	43	20
185	amp_chr_2p	amp_chr_18q	13	44	21
186	amp_chr_2p	amp_chr_19p	0	0	0
187	amp_chr_2p	amp_chr_19q	0	0	0
188	amp_chr_2p	amp_chr_20p	23	21	13
189	amp_chr_2p	amp_chr_20q	29	23	19
190	amp_chr_2p	amp_chr_21q	3	4	6
191	amp_chr_2p	amp_chr_22q	93	21	31
192	amp_chr_2p	del_chr_1p_CDKN2C	6	17	9
193	amp_chr_2p	del_chr_1p_EVI5	12	37	17
194	amp_chr_2p	del_chr_1p_TENT5C	6	28	13
195	amp_chr_2p	del_chr_1q	1	8	5
196	amp_chr_2p	del_chr_2q_SP140	3	5	3
197	amp_chr_2p	del_chr_3p	0	3	1
198	amp_chr_2p	del_chr_3q_BCL6	10	5	6
199	amp_chr_2p	del_chr_4p_NSD2	31	22	15
200	amp_chr_2p	del_chr_4q	18	27	12
