sample	amp_chr_1p	amp_chr_1q_MCL1	amp_chr_2p	amp_chr_2q	amp_chr_3p	amp_chr_3q_TERC	amp_chr_4p	amp_chr_4q	amp_chr_5p	amp_chr_5q	amp_chr_6p	amp_chr_6q	amp_chr_7p	amp_chr_7q	amp_chr_8p	amp_chr_8q_MYC_amp	amp_chr_9p	amp_chr_9q	amp_chr_10p	amp_chr_10q	amp_chr_11p	amp_chr_11q	amp_chr_12p	amp_chr_12q	amp_chr_13q	amp_chr_14q	amp_chr_15q	amp_chr_16p_BCMA	amp_chr_16q	amp_chr_17p	amp_chr_17q	amp_chr_18p	amp_chr_18q	amp_chr_19p	amp_chr_19q	amp_chr_20p	amp_chr_20q	amp_chr_21q	amp_chr_22q	del_chr_1p_CDKN2C	del_chr_1p_EVI5	del_chr_1p_TENT5C	del_chr_1q	del_chr_2p	del_chr_2q_SP140	del_chr_3p	del_chr_3q_BCL6	del_chr_4p_NSD2	del_chr_4q	del_chr_5p	del_chr_5q	del_chr_6p	del_chr_6q	del_chr_7p	del_chr_7q	del_chr_8p	del_chr_8q_MYC_del	del_chr_9p	del_chr_9q	del_chr_10p	del_chr_10q	del_chr_11p	del_chr_11q_BIRC2	del_chr_12p	del_chr_12q	del_chr_13q	del_chr_14q_MAX	del_chr_15q	del_chr_16p	del_chr_16q_CYLD	del_chr_17p	del_chr_17q	del_chr_18p	del_chr_18q	del_chr_19p	del_chr_19q	del_chr_20p	del_chr_20q	del_chr_21q	del_chr_22q_XBP1
MMRF_1016_1_BM_CD138pos_pair	0	0.532	0	0	1	1	0	0	1	1	1	0.894	0.006	0.021	0.015	0.015	0.52	0.939	0	0	0	0	0.033	0.033	0	0.041	1	0.012	0.012	0.795	0.609	0	0	0.99	0.99	0.068	0	0	0.003	0.525	0.77	0.11	0	0	0.006	0	0	0.001	0	0	0	0	0	0	0	0	0	0	0	0.009	0.009	0.044	0	0	0	0.289	0	0	0	0	0	0	0.002	0.007	0	0	0	0.042	0	0
MMRF_1021_1_BM_CD138pos_pair	0.13	0.78	0.004	0.003	0	0	0.005	0	0.011	0.011	0.097	0.097	0	0	0	0.017	0.023	0	0	0	0.56	0	0.02	0.02	0	0	0	0	0	0	0	0.006	0.006	0.743	0.809	0.018	0.018	0	0	0	0.484	0.484	0	0	0	0	0	0.599	0.527	0	0	0	0	0.022	0.012	0.058	0	0	0.051	0	0	0	0.006	0	0	0.892	0.482	0.033	0.033	0.033	0.024	0.071	0	0	0	0	0	0	0.008	0.008
MMRF_1029_1_BM_CD138pos_pair	0	0	0	0	0.807	0.755	0.004	0.001	0	0	0.377	0.377	0	0	0.036	0.006	0	0.588	0	0.01	0.899	0.82	0.038	0.038	0	0	0	0.001	0	0	0	0.338	0.338	1	1	0.019	0.019	0.31	0.023	0.01	0.01	0.01	0.01	0	0.402	0	0	0	0	0.002	0	0	0	0.057	0.058	0	0	0.293	0	0.002	0	0	0	0	0	0.807	0	0.022	0	0.966	0.086	0.086	0	0	0	0	0	0	0	0
MMRF_1030_1_BM_CD138pos_pair	0	0	0	0	0	0	0.005	0.005	1	1	0.005	0.007	0	0	0.01	0.005	1	1	0	0	1	1	0.003	0.003	0.03	0.004	1	0.201	0	0	0	0	0	1	1	0	0	1	0	0.024	0.577	0.577	0.405	0.012	0.01	0.039	0.039	0	0	0	0	0	0	0.069	0.078	0	0	0	0	0.005	0.005	0	0	0	0	0	0	0	0	0.576	0.095	0.095	0	0	0	0	0.004	0.03	0	0.019
MMRF_1031_1_BM_CD138pos_pair	0	1	0.01	0	0.989	0.949	0	0.831	0.97	0.964	0.974	0.098	0.979	0.969	0	0.093	1	1	0	0	0.998	0.993	0.97	0.002	0	0	1	0.017	0.007	0.013	0.003	0.984	0.984	1	1	0	0	0	0	0.025	0.025	0.025	0	0	0	0	0	0.026	0	0	0	0	0	0	0	0.703	0	0	0	0.027	0.009	0	0	0	0	0.913	0.007	0	0	0	0	0	0	0	0	0	0.009	0.009	0.033	1
MMRF_1032_1_BM_CD138pos_pair	0	0.012	0	0	0.003	0	0.934	0.935	1	0.988	0	0	0.009	0	0	0.01	0.981	1	0	0	0.018	1	0	0	0	0	0.866	0.029	0.029	0.025	0.024	0.01	0.01	1	1	0.021	0	0.004	0.026	0	0.018	0.018	0	0.034	0.008	0	0.012	0	0	0	0	0.004	0.997	0	0.027	0.51	0	0	0	0.024	0.289	0	0	0.988	0.607	0.006	0	0	0.017	0	0	0	0	0	0	0	0	0.001	0	0
MMRF_1033_1_BM_CD138pos_pair	0.012	0.012	0	0	0	0	0.002	0.002	1	1	0.018	0.009	0	0	0.001	0.001	1	1	0.006	0	1	1	0.016	0.002	0	0.003	0.933	0	0	0	0	0	0	1	1	0.022	0	1	0	0	0	0	0	0.002	0.001	0.006	0.005	0	0	0	0	0	0	0	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0	0.015	0.015	0.005	0.002	0.001	0.001	0	0	0	0.01	0	0.023
MMRF_1037_1_BM_CD138pos_pair	0	0	0.957	0.941	0.745	0.738	0.019	0.628	0.968	0.964	0	0	0.02	0.014	0	0	0.971	0.997	0	0	1	1	0	0	0.023	0	1	0.019	0	0.015	0	0	0	1	1	0.036	0.036	0.066	0	0.012	0.012	0.012	0.012	0	0	0	0	0	0	0	0	0.019	0.019	0	0	0.006	0.006	0	0	0	0.006	0	0	0.02	0.021	0	0.007	0	0	0	0	0.01	0	0	0	0	0	0	0	0.002
MMRF_1038_1_BM_CD138pos_pair	0	0	0.003	0.002	1	1	0.012	0	1	1	0	0	0	0	0.023	0	1	1	0	0.019	0.023	0.02	0	0	0	0	1	0.025	0.057	0.014	0	0.029	0.029	1	1	0.017	0	0.003	0	0	0	0.909	0.01	0	0	0	0	0	0	0	0	0.005	0.009	0.004	0.01	0	0.005	0	0	0.015	0	0	0	0.015	0.012	0.003	0.001	0	0	0	0	0.008	0	0	0	0	0	0.004	0	0
MMRF_1045_1_BM_CD138pos_pair	0.057	0.995	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0.001	0.001	1	0.972	0.005	0.005	0.002	0.027	0	0.058	0.072	0.034	0.005	0	0	0.029	0.029	0.023	0	0	0.068	0	0	0	0	0.018	0.018	0	0	0	0	0.021	0.024	0.001	0.001	0.058	0.032	0.007	0.029	0.022	0.022	0	0	0	0	0	0	0	0	0.024	0	0	0	0	0.022	0.022	0	0	0	1	0.017	0
