sample	purity
MMRF_1016_1_BM_CD138pos_pair	0.84
MMRF_1021_1_BM_CD138pos_pair	1
MMRF_1029_1_BM_CD138pos_pair	0.96
MMRF_1030_1_BM_CD138pos_pair	0.82
MMRF_1031_1_BM_CD138pos_pair	0.92
MMRF_1032_1_BM_CD138pos_pair	0.95
MMRF_1033_1_BM_CD138pos_pair	0.77
MMRF_1037_1_BM_CD138pos_pair	1
MMRF_1038_1_BM_CD138pos_pair	0.91
MMRF_1045_1_BM_CD138pos_pair	0.88
MMRF_1048_1_BM_CD138pos_pair	0.99
MMRF_1049_1_BM_CD138pos_pair	0.9
MMRF_1054_1_BM_CD138pos_pair	0.99
MMRF_1055_1_BM_CD138pos_pair	0.83
MMRF_1061_1_BM_CD138pos_pair	0.98
MMRF_1068_1_BM_CD138pos_pair	1
MMRF_1073_1_BM_CD138pos_pair	0.96
MMRF_1077_1_BM_CD138pos_pair	0.97
MMRF_1078_1_BM_CD138pos_pair	0.64
MMRF_1079_1_BM_CD138pos_pair	0.91
MMRF_1082_1_BM_CD138pos_pair	0.99
MMRF_1086_1_BM_CD138pos_pair	0.9
MMRF_1089_1_BM_CD138pos_pair	0.79
MMRF_1090_1_BM_CD138pos_pair	0.84
MMRF_1092_1_BM_CD138pos_pair	0.91
MMRF_1098_1_BM_CD138pos_pair	0.95
MMRF_1100_1_BM_CD138pos_pair	0.99
MMRF_1107_1_BM_CD138pos_pair	0.98
MMRF_1108_1_BM_CD138pos_pair	0.97
MMRF_1129_1_BM_CD138pos_pair	0.98
MMRF_1148_1_BM_CD138pos_pair	0.91
MMRF_1151_1_BM_CD138pos_pair	0.95
MMRF_1153_1_BM_CD138pos_pair	0.97
MMRF_1157_1_BM_CD138pos_pair	0.98
MMRF_1164_1_BM_CD138pos_pair	0.78
MMRF_1167_1_BM_CD138pos_pair	0.82
MMRF_1169_1_BM_CD138pos_pair	0.62
MMRF_1171_1_BM_CD138pos_pair	0.98
MMRF_1178_1_BM_CD138pos_pair	0.85
MMRF_1179_1_BM_CD138pos_pair	0.98
MMRF_1180_1_BM_CD138pos_pair	0.97
MMRF_1185_1_BM_CD138pos_pair	1
MMRF_1188_1_BM_CD138pos_pair	1
MMRF_1189_1_BM_CD138pos_pair	0.95
MMRF_1195_1_BM_CD138pos_pair	0.97
MMRF_1202_1_BM_CD138pos_pair	0.98
MMRF_1210_1_BM_CD138pos_pair	0.99
MMRF_1216_1_BM_CD138pos_pair	0.99
MMRF_1231_1_BM_CD138pos_pair	0.94
MMRF_1235_1_BM_CD138pos_pair	0.96
MMRF_1250_1_BM_CD138pos_pair	0.97
MMRF_1251_1_BM_CD138pos_pair	0.98
MMRF_1252_1_BM_CD138pos_pair	0.98
MMRF_1260_1_BM_CD138pos_pair	0.73
MMRF_1261_1_BM_CD138pos_pair	0.99
MMRF_1266_1_BM_CD138pos_pair	0.99
MMRF_1267_1_BM_CD138pos_pair	0.97
MMRF_1269_1_BM_CD138pos_pair	0.93
MMRF_1270_1_BM_CD138pos_pair	0.98
MMRF_1274_1_BM_CD138pos_pair	0.94
MMRF_1277_1_BM_CD138pos_pair	0.92
MMRF_1283_1_BM_CD138pos_pair	0.71
MMRF_1284_1_BM_CD138pos_pair	0.8
MMRF_1285_1_BM_CD138pos_pair	0.91
MMRF_1286_1_BM_CD138pos_pair	0.98
MMRF_1290_1_BM_CD138pos_pair	0.93
MMRF_1293_1_BM_CD138pos_pair	0.92
