sample	purity
SCI001	0.99
SCI002	0.71
SCI003	0.43
SCI004	0.85
SCI005	1
SCI006	0.67
SCI007	0.65
SCI009	0.47
SCI010	0.94
SCI011	0.77
SCI012	0.43
SCI013	0.76
SCI014	0.97
SCI015	0.52
SCI016	0.88
SCI017	0.91
CSL193	0.48
SCI018	0.86
SCI019	0.31
SCI020	1
SCI021	0.36
SCI023	0.62
SCI025	0.87
SCI027	0.58
SCI028	0.34
SCI029	0.98
CTF001	0.99
CTF002	0.89
CTF003	1
CTF004	0.82
CTF005	0.99
CTF010	0.98
CTF011	0.59
CTF023	1
CTF024	1
CTF025	1
CTF026	0.98
CTF028	1
CTF029	1
CTF030	0.97
CTF031	1
CTF032	1
CTF033	0.98
CTF035	0.93
CTF036	1
CTF038	0.99
CTF040	1
CTF041	0.95
CTF042	0.92
CTF044	1
CTF045	1
CTF048	0.97
CTF051	0.97
CTF052	1
CTF056	0.8
CTF059	0.5
CTF061	1
CTF062	0.97
SCI030	0.71
SCI031	0.52
SCI032	0.45
SCI033	0.16
SCI034	0.35
SCI035	0.12
SCI036	0.1
SCI037	0.64
SCI038	0.32
IID_H196061_T01	0.42
IID_H196062_T01	0.28
IID_H196063_T01	0.21
IID_H196064_T01	0.85
SCI039	0.22
SCI040	0.58
SCI042	0.72
SCI043	0.48
SCI044	0.86
SCI045	0.29
SCI046	0.8
SCI047	0.78
SCI048	0.61
SCI049	0.98
SCI050	0.8
SCI051	0.87
SCI052	0.81
SCI053	0.17
SCI054	0.48
PD47561a	0.54
PD47563a	0.67
PD47567a	0.89
PD47570a	0.93
PD47572a	0.85
PD47573a	0.67
PD47574a	0.78
PD47575a	0.82
PD47576a	0.92
PD47577a	0.69
PD47578a	1
PD47579a	0.88
PD47580a	0.92
PD47581a	0.27
PD47582a	0.72
SCI055	0.21
SCI056	0.81
SCI057	0.92
SCI058	0.84
SCI059	0.94
SCI061	0.46
SCI062	0.67
SCI063	0.19
SCI064	0.62
SCI065	0.85
SCI066	0.14
SCI067	0.34
SCI068	0.85
SCI069	0.52
SCI070	0.72
SCI071	0.89
SCI072	0.16
SCI073	0.33
SCI074	0.27
SCI075	0.28
SCI076	0.46
SCI077	0.39
SCI078	0.85
SCI079	0.44
SCI080	0.25
SCI081	0.26
SCI082	0.11
SCI083	0.23
SCI084	0.85
pM11003	0.88
SCI085	0.94
SCI088	0.79
SCI089	0.54
SCI090	0.81
SCI091	0.67
SCI093	0.73
pM4175	0.5
SCI094	0.92
SCI095	0.3
SCI096	0.83
SCI097	0.67
SCI098	0.88
SCI099	0.58
SCI100	0.93
SCI101	0.24
SCI102	0.85
SCI103	0.78
SCI104	0.18
SCI105	0.22
SCI106	0.24
SCI107	0.17
SCI108	0.77
SCI109	0.67
SCI110	0.83
SCI111	0.47
SCI112	0.89
SCI113	0.92
SCI114	0.18
SCI115	0.92
SCI116	0.32
Tumor_Only_001_pair	1
Tumor_Only_002_pair	1
Tumor_Only_004_pair	1
Tumor_Only_005_pair	0.559
Tumor_Only_006_pair	1
Tumor_Only_007_pair	1
Tumor_Only_008_pair	1
Tumor_Only_009_pair	0.977
Tumor_Only_010_pair	0.874
Tumor_Only_011_pair	1
Tumor_Only_012_pair	1
Tumor_Only_013_pair	1
Tumor_Only_014_pair	1
Tumor_Only_015_pair	1
Tumor_Only_016_pair	1
Tumor_Only_017_pair	1
Tumor_Only_018_pair	1
Tumor_Only_019_pair	1
Tumor_Only_020_pair	1
Tumor_Only_021_pair	1
Tumor_Only_022_pair	1
Tumor_Only_023_pair	0.98
Tumor_Only_025_pair	1
Tumor_Only_026_pair	0.905
Tumor_Only_027_pair	1
Tumor_Only_028_pair	1
Tumor_Only_029_pair	1
Tumor_Only_030_pair	1
Tumor_Only_031_pair	1
Tumor_Only_032_pair	1
Tumor_Only_033_pair	1
Tumor_Only_034_pair	1
Tumor_Only_035_pair	1
Tumor_Only_037_pair	1
Tumor_Only_038_pair	0.387
Tumor_Only_039_pair	1
Tumor_Only_040_pair	1
Tumor_Only_041_pair	1
Tumor_Only_042_pair	1
Tumor_Only_043_pair	1
Tumor_Only_045_pair	0.69
Tumor_Only_046_pair	1
Tumor_Only_047_pair	0.898
Tumor_Only_048_pair	1
Tumor_Only_049_pair	1
Tumor_Only_050_pair	1
Tumor_Only_051_pair	1
Tumor_Only_052_pair	0.937
Tumor_Only_053_pair	1
Tumor_Only_054_pair	1
Tumor_Only_056_pair	0.941
Tumor_Only_057_pair	1
Tumor_Only_058_pair	1
Tumor_Only_059_pair	1
Tumor_Only_060_pair	0.977
Tumor_Only_061_pair	1
Tumor_Only_062_pair	1
Tumor_Only_063_pair	1
Tumor_Only_064_pair	0.625
Tumor_Only_065_pair	1
Tumor_Only_066_pair	1
Tumor_Only_067_pair	1
Tumor_Only_068_pair	1
Tumor_Only_069_pair	1
Tumor_Only_070_pair	1
Tumor_Only_072_pair	1
Tumor_Only_073_pair	1
Tumor_Only_074_pair	1
Tumor_Only_076_pair	1
Tumor_Only_077_pair	1
Tumor_Only_078_pair	1
Tumor_Only_079_pair	1
Tumor_Only_080_pair	1
Tumor_Only_081_pair	1
Tumor_Only_082_pair	1
Tumor_Only_083_pair	1
Tumor_Only_084_pair	1
Tumor_Only_085_pair	1
Tumor_Only_086_pair	1
Tumor_Only_087_pair	1
Tumor_Only_088_pair	0.306
Tumor_Only_089_pair	1
Tumor_Only_090_pair	1
Tumor_Only_091_pair	1
Tumor_Only_092_pair	1
Tumor_Only_093_pair	0.998
Tumor_Only_094_pair	1
Tumor_Only_095_pair	1
Tumor_Only_096_pair	1
Tumor_Only_097_pair	1
Tumor_Only_099_pair	0.955
Tumor_Only_100_pair	0.467
SMM-001_pair	1
SMM-002_pair	0.987
SMM-003_pair	1
SMM-004_pair	1
SMM-005_pair	0.257
SMM-006_pair	1
SMM-007_pair	1
SMM-008_pair	0.265
SMM-010_pair	0.291
SMM-011_pair	1
SMM-012_pair	1
SMM-013_pair	0.895
SMM-015_pair	1
SMM-016_pair	0.265
SMM-018_pair	1
SMM-019_pair	1
SMM-020_pair	1
SMM-021_pair	0.273
SMM-022_pair	1
SMM-023_pair	1
SMM-024_pair	1
SMM-025_pair	1
SMM-026_pair	1
SMM-027_pair	1
SMM-028_pair	0.99
SMM-030_pair	1
SMM-031_pair	1
SMM-032_pair	0.94
SMM-033_pair	0.259
SMM-034_pair	1
SMM-035_pair	0.962
SMM-036_pair	1
SMM-039_pair	1
SMM-041_pair	1
SMM-043_pair	1
SMM-045_pair	1
SMM-046_pair	0.489
SMM-047_pair	0.258
SMM-048_pair	1
SMM-049_pair	1
SMM-050_pair	1
SMM-051_pair	0.256
SMM-052_pair	1
SMM-053_pair	1
SMM-054_pair	0.986
SMM-055_pair	1
SMM-056_pair	1
SMM-057_pair	0.303
SMM-058_pair	1
SMM-060_pair	1
SMM-062_pair	0.932
SMM-064_pair	0.467
SMM-067_pair	1
SMM-069_pair	0.264
SMM-070_pair	1
SMM-071_pair	1
SMM-073_pair	1
SMM-075_pair	1
SMM-077_pair	1
SMM-079_pair	1
SMM-080_pair	1
SMM-082_pair	0.941
SMM-083_pair	1
SMM-084_pair	1
SMM-085_pair	1
SMM-086_pair	1
SMM-087_pair	1
SMM-088_pair	1
SMM-089_pair	1
SMM-090_pair	1
SMM-091_pair	0.947
SMM-092_pair	1
