cna	estimate	SE	quasiSE	quasiVar	CNA_type	timing	no_call	calls	observ
amp_chr_10p	-2.9150375668345947	0.10153175268392885	0.08271793155962154	0.006842256201502233	Amp	2.9150375668345947	300	25	325
amp_chr_10q	-2.391994686116666	0.09640384333527624	0.07642493235087383	0.0058407702848356415	Amp	2.391994686116666	297	28	325
amp_chr_11p	-1.6357232905475496	0.2797157473865748	0.2731004664295682	0.07458386476404771	Amp	1.6357232905475496	189	9	198
amp_chr_11q	-1.254037944822474	0.20982884947138142	0.20109847513333035	0.04044059670095068	Amp	1.254037944822474	176	20	196
amp_chr_12p	-2.5947714466275986	0.09365407737799507	0.07256684127430814	0.005265946452530631	Amp	2.5947714466275986	294	31	325
amp_chr_12q	-2.89188873825078	0.09865890911980651	0.07889185113088841	0.0062239241748582586	Amp	2.89188873825078	298	27	325
amp_chr_13q	-3.7981907705784064	0.12671190167047047	0.11169920408906472	0.012476712194130534	Amp	3.7981907705784064	307	18	325
amp_chr_14q	-2.9280050119313117	0.09474479426671945	0.07396021509347159	0.005470113416672581	Amp	2.9280050119313117	290	35	325
amp_chr_15q	-4.547189349377462	0.3672607388461296	0.36201324509709587	0.13105358962573	Amp	4.547189349377462	178	4	182
amp_chr_16p_BCMA	-2.465428332824247	0.08752694038892758	0.0650021694525113	0.0042252820335329936	Amp	2.465428332824247	273	52	325
amp_chr_16q	-2.9061113948278132	0.08685685478851514	0.0642100336741686	0.004122928424437866	Amp	2.9061113948278132	266	59	325
amp_chr_17p	-1.8583767106231726	0.08733408338746712	0.06533598992880899	0.00426879157997743	Amp	1.8583767106231726	266	59	325
amp_chr_17q	-1.9144645050820204	0.08301304940157243	0.059274466288411536	0.0035134623537760356	Amp	1.9144645050820204	257	68	325
amp_chr_18p	-2.1297017782889096	0.08072607779161863	0.05568504154774633	0.003100823852174235	Amp	2.1297017782889096	248	77	325
amp_chr_18q	-2.0937653437475268	0.08025655233082583	0.05497917516867908	0.0030227097022282987	Amp	2.0937653437475268	245	80	325
amp_chr_19p	-2.586354808181103	0.14911816657691665	0.13629803143244265	0.018577153372359122	Amp	2.586354808181103	140	15	155
amp_chr_19q	-3.0146915722797054	0.19939018652594176	0.1900535560817551	0.03612035417932082	Amp	3.0146915722797054	145	10	155
amp_chr_1p	-2.9199497798528102	0.09256971311261648	0.07139505871627545	0.005097254409100419	Amp	2.9199497798528102	278	47	325
amp_chr_1q_MCL1	-0.9458429221763982	0.07634711949398662	0.05081508689757666	0.002582173056408267	Amp	0.9458429221763982	200	125	325
amp_chr_20p	-2.1505237203988354	0.0954929866291902	0.0757965872918458	0.005745122645090399	Amp	2.1505237203988354	287	38	325
amp_chr_20q	-2.344913714041677	0.09141208783357888	0.0704027080461346	0.004956541300229266	Amp	2.344913714041677	281	44	325
amp_chr_21q	-3.7635791012538418	0.24789590215534843	0.2402630861682388	0.057726350575086544	Amp	3.7635791012538418	245	6	251
amp_chr_22q	-2.5883663975547075	0.08970749546182644	0.06785686081077118	0.004604553559092374	Amp	2.5883663975547075	276	49	325
amp_chr_2p	-2.0176571869927353	0.09305946366972936	0.07197371150027854	0.005180215147125326	Amp	2.0176571869927353	288	37	325
amp_chr_2q	-2.508468836360981	0.09522091217211397	0.07457951754486872	0.005562104437225382	Amp	2.508468836360981	295	30	325
amp_chr_3p	-3.4362389764475614	0.4190848534880538	0.4144817605037874	0.17179512979031897	Amp	3.4362389764475614	206	4	210
amp_chr_3q_TERC	-0.5869318432051244	0.28109504269452246	0.2746121074599671	0.07541180956360452	Amp	0.5869318432051244	198	13	211
amp_chr_4p	-1.9929777301248255	0.09204558881586407	0.07140029479289232	0.005098002096511926	Amp	1.9929777301248255	271	54	325
amp_chr_4q	-2.0359421172679264	0.08737816152588503	0.06519866773467864	0.004250866274377025	Amp	2.0359421172679264	263	62	325
amp_chr_5p	-3.0337341088272476	0.19988152778268078	0.1903610672167621	0.03623733591190462	Amp	3.0337341088272476	193	6	199
amp_chr_6p	-1.6376843767364533	0.07942207609809149	0.05449066398859593	0.002969232461918065	Amp	1.6376843767364533	250	75	325
amp_chr_6q	-3.100056783250486	0.09770996028040181	0.07811383950553652	0.006101771922296717	Amp	3.100056783250486	277	48	325
amp_chr_7q	-3.4858197469315773	0.39797720424905864	0.39335004690235664	0.15472425939808615	Amp	3.4858197469315773	210	4	214
amp_chr_8p	-4.355689161697078	0.15729266407468245	0.1454701799816614	0.02116157326389696	Amp	4.355689161697078	304	21	325
amp_chr_8q_MYC_amp	-3.1690383162033897	0.11710477825086238	0.10120291141060742	0.010242029277983252	Amp	3.1690383162033897	297	28	325
amp_chr_9p	-2.501324781950465	0.23614215779379527	0.22846306861754123	0.052195373722143355	Amp	2.501324781950465	148	13	161
amp_chr_9q	-3.0618981125862663	0.14293018572412414	0.12965735173278237	0.016811028858358446	Amp	3.0618981125862663	123	31	154
del_chr_10p	-2.9941160484163025	0.09912348760540114	0.07939934306892864	0.006304255679777426	Del	2.9941160484163025	297	28	325
del_chr_10q	-3.776724902945799	0.11683821863074711	0.10043076255282482	0.010086338066941881	Del	3.776724902945799	301	24	325
del_chr_11p	-3.8511334863527193	0.1357104504845137	0.1215020777064814	0.014762754886991844	Del	3.8511334863527193	310	15	325
del_chr_11q_BIRC2	-2.9182744407851438	0.1249709687235193	0.10965254427496982	0.012023680465974216	Del	2.9182744407851438	308	17	325
del_chr_12p	-3.8650962327564105	0.10841651650545017	0.09059693124624622	0.008207803951237066	Del	3.8650962327564105	288	37	325
del_chr_12q	-4.0082304064969545	0.11289657119903941	0.09589648762193685	0.009196136338224288	Del	4.0082304064969545	286	39	325
del_chr_13q	-1.0018645025423298	0.07284643396283097	0.046403265879036364	0.0021532630842405406	Del	1.0018645025423298	148	177	325
del_chr_14q_MAX	-1.17778406192411	0.09327908723341603	0.07319739288888033	0.0053578583257291095	Del	1.17778406192411	268	57	325
del_chr_15q	-4.502535792066465	0.21134679599723766	0.20234080156115877	0.04094179997641224	Del	4.502535792066465	315	10	325
del_chr_16p	-2.777340549672143	0.0856127591493204	0.0620312995979567	0.0038478821298114636	Del	2.777340549672143	268	57	325
del_chr_16q_CYLD	-1.8917585152415528	0.0778293653929288	0.051487339141939474	0.002650946091917093	Del	1.8917585152415528	238	87	325
del_chr_17p	-2.908755032829003	0.10450761649926263	0.08601444008495257	0.007398483903127895	Del	2.908755032829003	291	34	325
del_chr_17q	-2.8287196748943573	0.10665236592352044	0.08873482867961932	0.00787386982080139	Del	2.8287196748943573	295	30	325
del_chr_18p	-3.2970829291434804	0.142123536061035	0.1287963988988884	0.016588512369321576	Del	3.2970829291434804	310	15	325
del_chr_18q	-3.3157430896199362	0.13139071505599764	0.11687640996263432	0.013660095205753767	Del	3.3157430896199362	308	17	325
del_chr_19p	-1.9111643477968965	0.12105686645168237	0.10564057959866006	0.011159932057940834	Del	1.9111643477968965	306	19	325
del_chr_19q	-2.203568361855458	0.11424310732722291	0.09765956867556416	0.009537391353897232	Del	2.203568361855458	304	21	325
del_chr_1p_CDKN2C	-2.4545808067003025	0.12246617713869092	0.10752265797656002	0.011561121978344307	Del	2.4545808067003025	304	21	325
del_chr_1p_EVI5	-1.6230820562665986	0.10247321411610795	0.08439810743046172	0.007123040537843759	Del	1.6230820562665986	289	36	325
del_chr_1p_TENT5C	-2.24127230719419	0.10609295148605258	0.08838817795648786	0.0078124700024677675	Del	2.24127230719419	292	33	325
del_chr_1q	-2.8966260997638478	0.14022018282630827	0.12675020728375894	0.01606561504647586	Del	2.8966260997638478	317	8	325
del_chr_20p	-2.4254233128759863	0.09350971052625676	0.07261956982174166	0.005273601921094811	Del	2.4254233128759863	283	42	325
del_chr_20q	-2.490095930820267	0.10251314563386163	0.08402294072965977	0.007059854568859918	Del	2.490095930820267	294	31	325
del_chr_21q	-2.659107405191688	0.11582829777612756	0.09923077863612191	0.00984674742873103	Del	2.659107405191688	305	20	325
del_chr_22q_XBP1	-1.9884334835448796	0.08171707548660918	0.057621337898422303	0.003320218581204159	Del	1.9884334835448796	249	76	325
del_chr_2p	-4.149328752913734	0.15535683984974905	0.1431137207514104	0.02048153706731268	Del	4.149328752913734	310	15	325
del_chr_2q_SP140	-3.279351786331511	0.11466797316851356	0.09780094373218001	0.009565024594905042	Del	3.279351786331511	302	23	325
del_chr_3p	-4.159918355128867	0.22320151440825428	0.21464445434720558	0.04607224178200962	Del	4.159918355128867	314	11	325
del_chr_3q_BCL6	-2.840460479253995	0.16907422552215792	0.15829165698365946	0.02505624867063251	Del	2.840460479253995	314	11	325
del_chr_4p_NSD2	-2.2010589350876795	0.099291566988712	0.08049086792668368	0.006478779819590837	Del	2.2010589350876795	294	31	325
del_chr_4q	-2.6657775098610825	0.10750546913773482	0.08995130015752696	0.00809123640002951	Del	2.6657775098610825	297	28	325
del_chr_5p	-3.1926345963845963	0.13949318586029652	0.12608418199095867	0.015897220948329183	Del	3.1926345963845963	310	15	325
del_chr_5q	-3.9560073360695833	0.18635089322641063	0.17639675106029487	0.03111581378462764	Del	3.9560073360695833	314	11	325
del_chr_6p	-4.300773784099922	0.17662800492486416	0.16576307065819676	0.027477395594034327	Del	4.300773784099922	310	15	325
del_chr_6q	-2.1144507700463526	0.07943258899985987	0.053366206744100114	0.0028479520222540362	Del	2.1144507700463526	255	70	325
del_chr_7p	-2.979066333037489	0.11275004244486551	0.095529530870426	0.009125891268323673	Del	2.979066333037489	305	20	325
del_chr_7q	-2.7387222088580634	0.13249779784134505	0.11805417045270437	0.013936787161276179	Del	2.7387222088580634	315	10	325
del_chr_8p	-2.124068640385364	0.08248104834401186	0.05808943929032448	0.0033743829570642937	Del	2.124068640385364	274	51	325
del_chr_8q_MYC_del	-2.9468318545881935	0.10026157308967566	0.08078855967998771	0.006526791375166937	Del	2.9468318545881935	300	25	325
del_chr_9p	-2.748764115455575	0.1304869693726538	0.1157303135430599	0.013393505472774955	Del	2.748764115455575	309	16	325
del_chr_9q	-3.2997471780489604	0.16081072505726218	0.14891896157404388	0.022176857116291557	Del	3.2997471780489604	314	11	325
HyperDiploidy	0	0	0.05856833648978487	0.0034302500391806662	Amp	0	134	191	325
