cna	estimate	SE	quasiSE	quasiVar	CNA_type	timing	no_call	calls	observ
amp_chr_10p	-3.971325685358003	0.20384298109488225	0.163085119156674	0.026596756090346556	Amp	3.971325685358003	152	12	164
amp_chr_10q	-3.6640825446714804	0.2126619985943277	0.17392097458164862	0.030248505399430466	Amp	3.6640825446714804	155	9	164
amp_chr_11p	-1.4670915435669567	0.3851883442570054	0.36441722307962776	0.13279991247706718	Amp	1.4670915435669567	109	6	115
amp_chr_11q	-1.747122510944615	0.2673594403119429	0.23742913631909524	0.056372594773231505	Amp	1.747122510944615	95	16	111
amp_chr_12p	-5.177913810687692	0.29035076920351255	0.26224271477948913	0.06877124145491649	Amp	5.177913810687692	156	8	164
amp_chr_12q	-5.761328139029239	0.3268820598147444	0.3019355098310177	0.09116505209691657	Amp	5.761328139029239	156	8	164
amp_chr_13q	-7.193097054087769	0.676827736851939	0.665009445293102	0.44223756232903927	Amp	7.193097054087769	159	5	164
amp_chr_14q	-4.763985465778682	0.28694027180648163	0.259597054049335	0.06739063047109334	Amp	4.763985465778682	150	14	164
amp_chr_15q	-4.56606363572159	0.46494277368004033	0.4470428472354494	0.19984730726437733	Amp	4.56606363572159	106	3	109
amp_chr_16p_BCMA	-3.76069073002762	0.19005046884361068	0.14537329580831246	0.021133395134171118	Amp	3.76069073002762	146	18	164
amp_chr_16q	-5.324241156817912	0.19998055844478577	0.15706877136306147	0.02467059893750168	Amp	5.324241156817912	131	33	164
amp_chr_17p	-2.6049586884021627	0.18904834501119014	0.14460297805436292	0.02091002126219057	Amp	2.6049586884021627	142	22	164
amp_chr_17q	-2.3467237252708113	0.17318436098788179	0.12406732801493939	0.015392701880766564	Amp	2.3467237252708113	138	26	164
amp_chr_18p	-3.0609463686775777	0.1560930665468482	0.09833524274178934	0.009669819965086634	Amp	3.0609463686775777	125	39	164
amp_chr_18q	-2.900575275715526	0.1539660263833518	0.09525387069683601	0.009073299882729553	Amp	2.900575275715526	123	41	164
