idx	boot_n	sample
583	10	MMRF_2380_1_BM_CD138pos_pair
370	10	MMRF_1922_1_BM_CD138pos_pair
270	10	MMRF_1739_1_BM_CD138pos_pair
10	10	MMRF_1045_1_BM_CD138pos_pair
509	10	MMRF_2229_1_BM_CD138pos_pair
211	10	MMRF_1637_1_BM_CD138pos_pair
717	10	MMRF_2643_1_BM_CD138pos_pair
398	10	MMRF_1995_1_BM_CD138pos_pair
248	10	MMRF_1700_1_BM_CD138pos_pair
711	10	MMRF_2636_1_BM_CD138pos_pair
371	10	MMRF_1927_1_BM_CD138pos_pair
79	10	MMRF_1325_1_BM_CD138pos_pair
1	10	MMRF_1016_1_BM_CD138pos_pair
569	10	MMRF_2341_1_BM_CD138pos_pair
98	10	MMRF_1365_1_BM_CD138pos_pair
351	10	MMRF_1879_1_BM_CD138pos_pair
568	10	MMRF_2339_1_BM_CD138pos_pair
144	10	MMRF_1502_1_BM_CD138pos_pair
196	10	MMRF_1610_1_BM_CD138pos_pair
700	10	MMRF_2604_1_BM_CD138pos_pair
735	10	MMRF_2678_1_BM_CD138pos_pair
609	10	MMRF_2437_1_BM_CD138pos_pair
607	10	MMRF_2433_1_BM_CD138pos_pair
460	10	MMRF_2129_1_BM_CD138pos_pair
424	10	MMRF_2058_1_BM_CD138pos_pair
519	10	MMRF_2246_1_BM_CD138pos_pair
162	10	MMRF_1541_1_BM_CD138pos_pair
607	10	MMRF_2433_1_BM_CD138pos_pair
412	10	MMRF_2018_1_BM_CD138pos_pair
344	10	MMRF_1861_1_BM_CD138pos_pair
75	10	MMRF_1318_1_BM_CD138pos_pair
773	10	MMRF_2737_1_BM_CD138pos_pair
337	10	MMRF_1851_1_BM_CD138pos_pair
799	10	MMRF_2770_1_BM_CD138pos_pair
177	10	MMRF_1576_1_BM_CD138pos_pair
460	10	MMRF_2129_1_BM_CD138pos_pair
822	10	MMRF_2816_1_BM_CD138pos_pair
766	10	MMRF_2728_1_BM_CD138pos_pair
53	10	MMRF_1252_1_BM_CD138pos_pair
196	10	MMRF_1610_1_BM_CD138pos_pair
778	10	MMRF_2743_1_BM_CD138pos_pair
528	10	MMRF_2268_1_BM_CD138pos_pair
113	10	MMRF_1413_1_BM_CD138pos_pair
218	10	MMRF_1645_1_BM_CD138pos_pair
479	10	MMRF_2174_1_BM_CD138pos_pair
544	10	MMRF_2297_1_BM_CD138pos_pair
53	10	MMRF_1252_1_BM_CD138pos_pair
516	10	MMRF_2240_1_BM_CD138pos_pair
279	10	MMRF_1760_1_BM_CD138pos_pair
415	10	MMRF_2038_1_BM_CD138pos_pair
323	10	MMRF_1831_1_BM_CD138pos_pair
350	10	MMRF_1876_1_BM_CD138pos_pair
635	10	MMRF_2480_1_BM_CD138pos_pair
531	10	MMRF_2271_1_BM_CD138pos_pair
602	10	MMRF_2425_1_BM_CD138pos_pair
87	10	MMRF_1344_1_BM_CD138pos_pair
514	10	MMRF_2237_1_BM_CD138pos_pair
245	10	MMRF_1694_1_BM_CD138pos_pair
610	10	MMRF_2438_1_BM_CD138pos_pair
50	10	MMRF_1235_1_BM_CD138pos_pair
621	10	MMRF_2458_1_BM_CD138pos_pair
686	10	MMRF_2580_1_BM_CD138pos_pair
594	10	MMRF_2407_1_BM_CD138pos_pair
643	10	MMRF_2497_1_BM_CD138pos_pair
314	10	MMRF_1816_1_BM_CD138pos_pair
385	10	MMRF_1970_1_BM_CD138pos_pair
67	10	MMRF_1293_1_BM_CD138pos_pair
91	10	MMRF_1354_1_BM_CD138pos_pair
342	10	MMRF_1859_1_BM_CD138pos_pair
224	10	MMRF_1652_1_BM_CD138pos_pair
301	10	MMRF_1793_1_BM_CD138pos_pair
752	10	MMRF_2705_1_BM_CD138pos_pair
385	10	MMRF_1970_1_BM_CD138pos_pair
822	10	MMRF_2816_1_BM_CD138pos_pair
163	10	MMRF_1542_1_BM_CD138pos_pair
749	10	MMRF_2702_1_BM_CD138pos_pair
520	10	MMRF_2250_1_BM_CD138pos_pair
81	10	MMRF_1328_1_BM_CD138pos_pair
388	10	MMRF_1977_1_BM_CD138pos_pair
423	10	MMRF_2056_1_BM_CD138pos_pair
309	10	MMRF_1807_1_BM_CD138pos_pair
3	10	MMRF_1029_1_BM_CD138pos_pair
479	10	MMRF_2174_1_BM_CD138pos_pair
109	10	MMRF_1395_1_BM_CD138pos_pair
841	10	MMRF_2838_1_BM_CD138pos_pair
760	10	MMRF_2718_1_BM_CD138pos_pair
831	10	MMRF_2827_1_BM_CD138pos_pair
814	10	MMRF_2795_1_BM_CD138pos_pair
122	10	MMRF_1436_1_BM_CD138pos_pair
