matchID	player1	player2	win1	win2	total_matches_performed
1	amp_chr_1p	amp_chr_1q_MCL1	2	88	27
2	amp_chr_1p	amp_chr_2p	1	47	15
3	amp_chr_1p	amp_chr_2q	8	40	15
4	amp_chr_1p	amp_chr_3p	0	0	0
5	amp_chr_1p	amp_chr_3q_TERC	0	12	3
6	amp_chr_1p	amp_chr_4p	8	33	12
7	amp_chr_1p	amp_chr_4q	11	28	12
8	amp_chr_1p	amp_chr_5p	0	0	0
9	amp_chr_1p	amp_chr_5q	0	0	0
10	amp_chr_1p	amp_chr_6p	0	79	21
11	amp_chr_1p	amp_chr_6q	2	56	17
12	amp_chr_1p	amp_chr_7p	0	0	0
13	amp_chr_1p	amp_chr_7q	0	0	0
14	amp_chr_1p	amp_chr_8p	0	26	10
15	amp_chr_1p	amp_chr_8q_MYC_amp	0	60	19
16	amp_chr_1p	amp_chr_9p	0	0	0
17	amp_chr_1p	amp_chr_9q	0	2	1
18	amp_chr_1p	amp_chr_10p	0	2	1
19	amp_chr_1p	amp_chr_10q	0	13	4
20	amp_chr_1p	amp_chr_11p	0	2	1
21	amp_chr_1p	amp_chr_11q	0	0	0
22	amp_chr_1p	amp_chr_12p	0	22	5
23	amp_chr_1p	amp_chr_12q	0	22	5
24	amp_chr_1p	amp_chr_13q	15	0	6
25	amp_chr_1p	amp_chr_14q	16	8	11
26	amp_chr_1p	amp_chr_15q	0	6	2
27	amp_chr_1p	amp_chr_16p_BCMA	2	17	6
28	amp_chr_1p	amp_chr_16q	11	0	5
29	amp_chr_1p	amp_chr_17p	0	30	9
30	amp_chr_1p	amp_chr_17q	0	45	14
31	amp_chr_1p	amp_chr_18p	0	51	15
32	amp_chr_1p	amp_chr_18q	0	60	18
33	amp_chr_1p	amp_chr_19p	0	3	1
34	amp_chr_1p	amp_chr_19q	0	3	1
35	amp_chr_1p	amp_chr_20p	0	12	3
36	amp_chr_1p	amp_chr_20q	0	16	6
37	amp_chr_1p	amp_chr_21q	0	5	1
38	amp_chr_1p	amp_chr_22q	6	8	7
39	amp_chr_1p	del_chr_1q	0	0	0
40	amp_chr_1p	del_chr_2p	0	0	0
41	amp_chr_1p	del_chr_2q_SP140	0	0	0
42	amp_chr_1p	del_chr_3p	0	0	0
43	amp_chr_1p	del_chr_3q_BCL6	0	5	1
44	amp_chr_1p	del_chr_4p_NSD2	0	7	2
45	amp_chr_1p	del_chr_4q	0	5	2
46	amp_chr_1p	del_chr_5p	0	0	0
47	amp_chr_1p	del_chr_5q	0	0	0
48	amp_chr_1p	del_chr_6p	0	0	0
49	amp_chr_1p	del_chr_6q	8	14	5
50	amp_chr_1p	del_chr_7p	2	0	1
51	amp_chr_1p	del_chr_7q	2	0	1
52	amp_chr_1p	del_chr_8p	2	40	16
53	amp_chr_1p	del_chr_8q_MYC_del	0	5	1
54	amp_chr_1p	del_chr_9p	0	0	0
55	amp_chr_1p	del_chr_9q	0	0	0
56	amp_chr_1p	del_chr_10p	0	3	1
57	amp_chr_1p	del_chr_10q	0	0	0
58	amp_chr_1p	del_chr_11p	0	0	0
59	amp_chr_1p	del_chr_11q_BIRC2	0	0	0
60	amp_chr_1p	del_chr_12p	1	3	2
