cna	med_timing	mean_timing	sd	min	max	first_q	third_q	n	CNA_type	cna_f
amp_chr_5p	-0.08300576473456144	0.2248319851640301	0.9966282011191756	-1.8679655132450657	2.4381202093240257	-0.31932957549130914	0.6515704881246865	19	Amp	amp_chr_5p
HyperDiploidy	0	0	0	0	0	0	0	30	Amp	HyperDiploidy
del_chr_16p	0.14606804869718287	0.3119594894513234	1.1155589048734478	-1.4305601296490273	2.538170265403545	-0.5879820769854902	1.2049154077059088	26	Del	del_chr_16p
del_chr_21q	1.0047517634994951	1.3277270254200124	1.1357070167882615	-0.2727055666197512	4.156055543396302	0.763917440092568	1.5379430380706665	18	Del	del_chr_21q
del_chr_14q_MAX	1.4026052499941595	1.0230555375190402	1.5168864834398839	-1.7899117188019222	3.5379751766496272	-0.15881024347131287	1.9470039908639971	30	Del	del_chr_14q_MAX
del_chr_10p	1.9577964328467308	2.5509165143686667	2.3611789352969956	-1.0581814999282662	11.496605717422105	1.2323989550876124	3.7967457439835277	29	Del	del_chr_10p
amp_chr_6p	2.1786461686069494	2.4168100521917784	1.024084804881505	0.7396672900734909	4.858628270947397	1.6665872253920238	3.010092608454232	30	Amp	amp_chr_6p
amp_chr_19p	2.2073854623006404	2.141464072547588	1.5191951697017703	-0.6091067617976492	5.212981408704706	1.0818915220306402	2.9387696682804667	27	Amp	amp_chr_19p
del_chr_16q_CYLD	2.336245720359101	2.2741827670412933	1.9397784379243739	-2.8305726740852233	5.869812934586912	1.3031491195991967	3.0212874454323457	30	Del	del_chr_16q_CYLD
del_chr_13q	2.4305317011211014	2.319097984474563	1.7301430309158747	-3.127563495918246	4.630596815441001	1.6562854179197808	3.4929029543147445	30	Del	del_chr_13q
amp_chr_4p	2.699587102282712	3.1532180140903425	2.055025583372929	-0.7374387373148525	9.612892644650032	1.8420424463842262	4.278061439072471	30	Amp	amp_chr_4p
del_chr_1p_EVI5	2.733519158120928	2.8881626067091015	1.1816904036986506	0.5769385546083259	6.2009768003406744	2.1230566211128106	3.4691761649523323	30	Del	del_chr_1p_EVI5
del_chr_6q	2.7588430450707024	2.6557691914062906	1.3642159798484548	-1.074014377562596	4.878319505002464	1.7922724331988291	3.5388976528669556	30	Del	del_chr_6q
del_chr_22q_XBP1	2.7742010717045043	2.826411171117162	1.4349199514487165	-0.7403893887328774	5.403295693064084	2.0539642802959603	3.9375218448287583	30	Del	del_chr_22q_XBP1
del_chr_4p_NSD2	2.8845668881982145	3.0343402650389026	0.9577925672268999	1.1046828453703803	5.120261260822436	2.601818867002943	3.4209243325780174	19	Del	del_chr_4p_NSD2
del_chr_8p	3.0019862579597563	3.200478487499272	1.1935469157889946	1.6550909527469915	6.603283871207792	2.405219640887884	3.713575455444906	28	Del	del_chr_8p
