cna	estimate	SE	quasiSE	quasiVar	CNA_type	timing	boot	cna_f
amp_chr_10p	-9.108856412952663	1.4859021190263837	1.4103525526643959	1.9890943228069775	Amp	9.108856412952663	1	amp_chr_10p
amp_chr_10q	-8.717921303844959	1.5010481834345406	1.4272456051807618	2.037030017507799	Amp	8.717921303844959	1	amp_chr_10q
amp_chr_11p	-6.837199262104716	1.61438745344262	1.5432468296238897	2.3816107771441866	Amp	6.837199262104716	1	amp_chr_11p
amp_chr_11q	-7.514184107992824	1.2860378914187005	1.1787118832875534	1.389361703803291	Amp	7.514184107992824	1	amp_chr_11q
amp_chr_13q	-3152519739159384.5	33554431.999999993	33554432.00000002	1125899906842625.5	Amp	3152519739159384.5	1	amp_chr_13q
amp_chr_14q	-6.195022679679	0.5960680860437395	0.36573141986055974	0.13375947147322104	Amp	6.195022679679	1	amp_chr_14q
amp_chr_16p_BCMA	-5.644951350161314	0.5966414745372166	0.3602188476105553	0.12975761817387646	Amp	5.644951350161314	1	amp_chr_16p_BCMA
amp_chr_16q	-7.5349750141761636	0.6059311492402356	0.37421094765588087	0.14003383334551242	Amp	7.5349750141761636	1	amp_chr_16q
amp_chr_17p	-5.146801323907243	0.5769370041099773	0.32977945704132794	0.10875449028647306	Amp	5.146801323907243	1	amp_chr_17p
amp_chr_17q	-1.6226872841143125	0.5989781881972354	0.3920462268113518	0.1537002439570179	Amp	1.6226872841143125	1	amp_chr_17q
amp_chr_18p	-4.242747729193414	0.5118302846545086	0.2059148279370353	0.042400916364338855	Amp	4.242747729193414	1	amp_chr_18p
amp_chr_18q	-3.6976580224701627	0.5074687260184724	0.19957532432584515	0.039830310079766285	Amp	3.6976580224701627	1	amp_chr_18q
amp_chr_19p	-0.24377313418294164	1.5778581483207728	1.5069011858525052	2.2707511839236867	Amp	0.24377313418294164	1	amp_chr_19p
amp_chr_1p	-8.787882776264377	1.4987344636411515	1.4179358730944556	2.010542140208136	Amp	8.787882776264377	1	amp_chr_1p
amp_chr_1q_MCL1	-3.722754204600644	0.5179642559834177	0.21504499891494883	0.04624435155833034	Amp	3.722754204600644	1	amp_chr_1q_MCL1
amp_chr_22q	-7.751470310986934	1.5342490049090323	1.4574789211153705	2.1242448054956244	Amp	7.751470310986934	1	amp_chr_22q
amp_chr_2p	-4.3489972089240005	0.6528160381290102	0.4562755431032761	0.2081873712341896	Amp	4.3489972089240005	1	amp_chr_2p
amp_chr_2q	-4.028427485279766	0.6512343235156134	0.4617999048348656	0.21325915210549093	Amp	4.028427485279766	1	amp_chr_2q
amp_chr_3q_TERC	-5.35125250024679	1.121520194127861	1.008271947924543	1.0166123209715525	Amp	5.35125250024679	1	amp_chr_3q_TERC
amp_chr_4p	-4.078627784570515	0.6562048701777938	0.47824419666096357	0.2287175116398904	Amp	4.078627784570515	1	amp_chr_4p
amp_chr_4q	-5.257069591899624	0.5427650157799594	0.2668799881677891	0.07122492808443923	Amp	5.257069591899624	1	amp_chr_4q
amp_chr_5p	-0.2437731341829432	1.5778581483207712	1.5069011858525039	2.2707511839236822	Amp	0.2437731341829432	1	amp_chr_5p
amp_chr_6p	-3.728062689250613	0.4932716601599787	0.16047859253609179	0.025753378662364972	Amp	3.728062689250613	1	amp_chr_6p
amp_chr_6q	-5.816566720370901	0.5604145318008918	0.3039819440660187	0.09240502231815613	Amp	5.816566720370901	1	amp_chr_6q
amp_chr_8p	-3152519739159384.5	33554431.999999993	33554431.999999978	1125899906842622.4	Amp	3152519739159384.5	1	amp_chr_8p
amp_chr_8q_MYC_amp	-4.894187509143239	0.5665220995594958	0.3230610089167013	0.10436841548227695	Amp	4.894187509143239	1	amp_chr_8q_MYC_amp
amp_chr_9p	-9.14499920266888	1.9297529164799236	1.850749586880636	3.425274033338845	Amp	9.14499920266888	1	amp_chr_9p
amp_chr_9q	-9.488936321936293	1.5603648878896217	1.4732385764694804	2.170431903197821	Amp	9.488936321936293	1	amp_chr_9q
del_chr_10p	-4.520627519410172	0.9552588990466118	0.8226329874790602	0.6767250320887236	Del	4.520627519410172	1	del_chr_10p
del_chr_11p	-11.706102334820871	1.879376513715782	1.799849251004217	3.239457326340441	Del	11.706102334820871	1	del_chr_11p
del_chr_11q_BIRC2	-7.41857909333183	0.6331906720530152	0.41219824361596685	0.16990739204008795	Del	7.41857909333183	1	del_chr_11q_BIRC2
del_chr_12p	-9.03144173853866	1.4821657315377768	1.4058179488788016	1.9763241053898009	Del	9.03144173853866	1	del_chr_12p
del_chr_12q	-11.741386386577174	1.878494379266584	1.8006579925571058	3.2423692061597857	Del	11.741386386577174	1	del_chr_12q
del_chr_13q	-3.514839973853938	0.5176525502762485	0.21734675468112133	0.04723961177041553	Del	3.514839973853938	1	del_chr_13q
del_chr_14q_MAX	0.20114494375702938	1.4743914330654428	1.394759203220818	1.9453532349691713	Del	-0.20114494375702938	1	del_chr_14q_MAX
del_chr_15q	-9.282943456488397	1.865114010943995	1.7951509020986476	3.222566761305588	Del	9.282943456488397	1	del_chr_15q
del_chr_16p	-0.8645984253679502	1.5398233841379871	1.463802743122738	2.1427184707736524	Del	0.8645984253679502	1	del_chr_16p
del_chr_16q_CYLD	-4.32655067651884	0.7414498717654663	0.5647253730416338	0.31891474695701244	Del	4.32655067651884	1	del_chr_16q_CYLD
del_chr_17p	-5.371933303597604	0.7401160873211601	0.5597428552290159	0.31331206397993105	Del	5.371933303597604	1	del_chr_17p
