matchID	player1	player2	win1	win2	total_matches_performed
1	amp_chr_1p	amp_chr_1q_MCL1	1	17	18
2	amp_chr_1p	amp_chr_2p	3	11	14
3	amp_chr_1p	amp_chr_2q	4	9	13
4	amp_chr_1p	amp_chr_3p	0	1	1
5	amp_chr_1p	amp_chr_3q_TERC	0	1	1
6	amp_chr_1p	amp_chr_4p	6	10	16
7	amp_chr_1p	amp_chr_4q	6	11	17
8	amp_chr_1p	amp_chr_5p	0	0	0
9	amp_chr_1p	amp_chr_5q	0	1	1
10	amp_chr_1p	amp_chr_6p	6	13	19
11	amp_chr_1p	amp_chr_6q	6	5	11
12	amp_chr_1p	amp_chr_7p	0	0	0
13	amp_chr_1p	amp_chr_7q	0	0	0
14	amp_chr_1p	amp_chr_8p	5	2	7
15	amp_chr_1p	amp_chr_8q_MYC_amp	3	6	9
16	amp_chr_1p	amp_chr_9p	0	0	0
17	amp_chr_1p	amp_chr_9q	0	1	1
18	amp_chr_1p	amp_chr_10p	6	5	11
19	amp_chr_1p	amp_chr_10q	5	7	12
20	amp_chr_1p	amp_chr_11p	0	0	0
21	amp_chr_1p	amp_chr_11q	0	0	0
22	amp_chr_1p	amp_chr_12p	9	4	13
23	amp_chr_1p	amp_chr_12q	8	3	11
24	amp_chr_1p	amp_chr_13q	4	1	5
25	amp_chr_1p	amp_chr_14q	9	2	11
26	amp_chr_1p	amp_chr_15q	0	0	0
27	amp_chr_1p	amp_chr_16p_BCMA	6	11	17
28	amp_chr_1p	amp_chr_16q	8	9	17
29	amp_chr_1p	amp_chr_17p	5	14	19
30	amp_chr_1p	amp_chr_17q	5	16	21
31	amp_chr_1p	amp_chr_18p	3	11	14
32	amp_chr_1p	amp_chr_18q	3	11	14
33	amp_chr_1p	amp_chr_19p	0	0	0
34	amp_chr_1p	amp_chr_19q	0	0	0
35	amp_chr_1p	amp_chr_20p	6	7	13
36	amp_chr_1p	amp_chr_20q	6	8	14
37	amp_chr_1p	amp_chr_21q	1	1	2
38	amp_chr_1p	amp_chr_22q	6	13	19
39	amp_chr_1p	del_chr_1q	0	0	0
40	amp_chr_1p	del_chr_2p	3	1	4
41	amp_chr_1p	del_chr_2q_SP140	4	1	5
42	amp_chr_1p	del_chr_3p	1	1	2
43	amp_chr_1p	del_chr_3q_BCL6	1	1	2
44	amp_chr_1p	del_chr_4p_NSD2	5	5	10
45	amp_chr_1p	del_chr_4q	4	3	7
46	amp_chr_1p	del_chr_5p	3	1	4
47	amp_chr_1p	del_chr_5q	2	0	2
48	amp_chr_1p	del_chr_6p	3	0	3
49	amp_chr_1p	del_chr_6q	6	8	14
50	amp_chr_1p	del_chr_7p	2	3	5
51	amp_chr_1p	del_chr_7q	2	1	3
52	amp_chr_1p	del_chr_8p	5	8	13
53	amp_chr_1p	del_chr_8q_MYC_del	5	2	7
54	amp_chr_1p	del_chr_9p	1	1	2
55	amp_chr_1p	del_chr_9q	0	1	1
56	amp_chr_1p	del_chr_10p	6	1	7
57	amp_chr_1p	del_chr_10q	5	1	6
58	amp_chr_1p	del_chr_11p	1	1	2
59	amp_chr_1p	del_chr_11q_BIRC2	0	2	2
60	amp_chr_1p	del_chr_12p	3	2	5
61	amp_chr_1p	del_chr_12q	3	1	4
62	amp_chr_1p	del_chr_13q	5	20	25
63	amp_chr_1p	del_chr_14q_MAX	1	3	4
64	amp_chr_1p	del_chr_15q	0	0	0
65	amp_chr_1p	del_chr_16p	4	2	6
66	amp_chr_1p	del_chr_16q_CYLD	3	7	10
67	amp_chr_1p	del_chr_17p	2	3	5
68	amp_chr_1p	del_chr_17q	2	3	5
69	amp_chr_1p	del_chr_18p	3	0	3
70	amp_chr_1p	del_chr_18q	3	0	3
71	amp_chr_1p	del_chr_19p	2	0	2
72	amp_chr_1p	del_chr_19q	1	0	1
73	amp_chr_1p	del_chr_20p	1	3	4
74	amp_chr_1p	del_chr_20q	0	4	4
75	amp_chr_1p	del_chr_21q	2	2	4
76	amp_chr_1p	del_chr_22q_XBP1	2	7	9
77	amp_chr_1p	HyperDiploidy	2	27	29
78	amp_chr_1q_MCL1	amp_chr_2p	10	5	15
79	amp_chr_1q_MCL1	amp_chr_2q	9	5	14
80	amp_chr_1q_MCL1	amp_chr_3p	3	0	3
81	amp_chr_1q_MCL1	amp_chr_3q_TERC	6	0	6
82	amp_chr_1q_MCL1	amp_chr_4p	12	9	21
83	amp_chr_1q_MCL1	amp_chr_4q	14	10	24
84	amp_chr_1q_MCL1	amp_chr_5p	3	0	3
85	amp_chr_1q_MCL1	amp_chr_5q	2	1	3
86	amp_chr_1q_MCL1	amp_chr_6p	20	8	28
87	amp_chr_1q_MCL1	amp_chr_6q	17	3	20
88	amp_chr_1q_MCL1	amp_chr_7p	1	0	1
89	amp_chr_1q_MCL1	amp_chr_7q	2	0	2
90	amp_chr_1q_MCL1	amp_chr_8p	8	1	9
91	amp_chr_1q_MCL1	amp_chr_8q_MYC_amp	7	4	11
92	amp_chr_1q_MCL1	amp_chr_9p	4	0	4
93	amp_chr_1q_MCL1	amp_chr_9q	5	2	7
94	amp_chr_1q_MCL1	amp_chr_10p	12	3	15
95	amp_chr_1q_MCL1	amp_chr_10q	9	4	13
96	amp_chr_1q_MCL1	amp_chr_11p	2	0	2
97	amp_chr_1q_MCL1	amp_chr_11q	0	1	1
98	amp_chr_1q_MCL1	amp_chr_12p	16	2	18
99	amp_chr_1q_MCL1	amp_chr_12q	13	2	15
100	amp_chr_1q_MCL1	amp_chr_13q	6	1	7
101	amp_chr_1q_MCL1	amp_chr_14q	11	3	14
102	amp_chr_1q_MCL1	amp_chr_15q	2	1	3
103	amp_chr_1q_MCL1	amp_chr_16p_BCMA	15	5	20
104	amp_chr_1q_MCL1	amp_chr_16q	21	3	24
105	amp_chr_1q_MCL1	amp_chr_17p	14	12	26
106	amp_chr_1q_MCL1	amp_chr_17q	17	13	30
107	amp_chr_1q_MCL1	amp_chr_18p	19	10	29
108	amp_chr_1q_MCL1	amp_chr_18q	21	10	31
109	amp_chr_1q_MCL1	amp_chr_19p	6	1	7
110	amp_chr_1q_MCL1	amp_chr_19q	4	0	4
111	amp_chr_1q_MCL1	amp_chr_20p	10	8	18
112	amp_chr_1q_MCL1	amp_chr_20q	12	6	18
113	amp_chr_1q_MCL1	amp_chr_21q	2	1	3
114	amp_chr_1q_MCL1	amp_chr_22q	21	6	27
115	amp_chr_1q_MCL1	del_chr_1p_CDKN2C	5	3	8
116	amp_chr_1q_MCL1	del_chr_1p_EVI5	7	5	12
117	amp_chr_1q_MCL1	del_chr_1p_TENT5C	8	4	12
118	amp_chr_1q_MCL1	del_chr_2p	5	2	7
119	amp_chr_1q_MCL1	del_chr_2q_SP140	10	2	12
120	amp_chr_1q_MCL1	del_chr_3p	4	0	4
121	amp_chr_1q_MCL1	del_chr_3q_BCL6	3	0	3
122	amp_chr_1q_MCL1	del_chr_4p_NSD2	12	3	15
123	amp_chr_1q_MCL1	del_chr_4q	11	1	12
124	amp_chr_1q_MCL1	del_chr_5p	5	1	6
125	amp_chr_1q_MCL1	del_chr_5q	4	0	4
