matchID	player1	player2	win1	win2	total_matches_performed
1	amp_chr_1p	amp_chr_1q_MCL1	0	54	15
2	amp_chr_1p	amp_chr_2p	7	24	10
3	amp_chr_1p	amp_chr_2q	10	15	9
4	amp_chr_1p	amp_chr_3p	0	0	0
5	amp_chr_1p	amp_chr_3q_TERC	0	5	1
6	amp_chr_1p	amp_chr_4p	7	26	12
7	amp_chr_1p	amp_chr_4q	7	29	13
8	amp_chr_1p	amp_chr_5p	0	0	0
9	amp_chr_1p	amp_chr_5q	0	5	1
10	amp_chr_1p	amp_chr_6p	10	36	17
11	amp_chr_1p	amp_chr_6q	12	12	7
12	amp_chr_1p	amp_chr_7p	0	0	0
13	amp_chr_1p	amp_chr_7q	0	0	0
14	amp_chr_1p	amp_chr_8p	11	0	3
15	amp_chr_1p	amp_chr_8q_MYC_amp	7	4	3
16	amp_chr_1p	amp_chr_9p	0	0	0
17	amp_chr_1p	amp_chr_9q	0	0	0
18	amp_chr_1p	amp_chr_10p	14	12	7
19	amp_chr_1p	amp_chr_10q	14	14	9
20	amp_chr_1p	amp_chr_11p	0	0	0
21	amp_chr_1p	amp_chr_11q	0	0	0
22	amp_chr_1p	amp_chr_12p	10	4	7
23	amp_chr_1p	amp_chr_12q	10	0	5
24	amp_chr_1p	amp_chr_13q	4	0	2
25	amp_chr_1p	amp_chr_14q	10	5	6
26	amp_chr_1p	amp_chr_15q	0	0	0
27	amp_chr_1p	amp_chr_16p_BCMA	2	14	9
28	amp_chr_1p	amp_chr_16q	9	12	10
29	amp_chr_1p	amp_chr_17p	1	15	9
30	amp_chr_1p	amp_chr_17q	1	19	10
31	amp_chr_1p	amp_chr_18p	6	22	9
32	amp_chr_1p	amp_chr_18q	6	22	9
33	amp_chr_1p	amp_chr_19p	0	0	0
34	amp_chr_1p	amp_chr_19q	0	0	0
35	amp_chr_1p	amp_chr_20p	5	12	5
36	amp_chr_1p	amp_chr_20q	5	12	5
37	amp_chr_1p	amp_chr_21q	0	1	1
38	amp_chr_1p	amp_chr_22q	1	7	6
39	amp_chr_1p	del_chr_1q	0	0	0
40	amp_chr_1p	del_chr_2p	6	0	2
41	amp_chr_1p	del_chr_2q_SP140	10	0	3
42	amp_chr_1p	del_chr_3p	1	0	1
43	amp_chr_1p	del_chr_3q_BCL6	1	0	1
44	amp_chr_1p	del_chr_4p_NSD2	10	8	5
45	amp_chr_1p	del_chr_4q	5	0	2
46	amp_chr_1p	del_chr_5p	6	1	3
47	amp_chr_1p	del_chr_5q	6	0	2
48	amp_chr_1p	del_chr_6p	1	0	1
49	amp_chr_1p	del_chr_6q	16	17	11
50	amp_chr_1p	del_chr_7p	7	5	5
51	amp_chr_1p	del_chr_7q	7	2	3
52	amp_chr_1p	del_chr_8p	12	21	10
53	amp_chr_1p	del_chr_8q_MYC_del	12	5	5
54	amp_chr_1p	del_chr_9p	1	1	2
55	amp_chr_1p	del_chr_9q	0	0	0
56	amp_chr_1p	del_chr_10p	11	5	6
57	amp_chr_1p	del_chr_10q	7	5	5
58	amp_chr_1p	del_chr_11p	3	1	2
59	amp_chr_1p	del_chr_11q_BIRC2	0	3	2
60	amp_chr_1p	del_chr_12p	6	4	5
61	amp_chr_1p	del_chr_12q	6	4	4
62	amp_chr_1p	del_chr_13q	7	63	21
63	amp_chr_1p	del_chr_14q_MAX	0	6	2
64	amp_chr_1p	del_chr_15q	0	0	0
65	amp_chr_1p	del_chr_16p	0	2	2
66	amp_chr_1p	del_chr_16q_CYLD	0	21	6
67	amp_chr_1p	del_chr_17p	2	2	3
68	amp_chr_1p	del_chr_17q	2	1	2
69	amp_chr_1p	del_chr_18p	7	0	3
70	amp_chr_1p	del_chr_18q	7	0	3
71	amp_chr_1p	del_chr_19p	1	0	1
72	amp_chr_1p	del_chr_19q	1	0	1
73	amp_chr_1p	del_chr_20p	4	9	3
74	amp_chr_1p	del_chr_20q	0	8	3
75	amp_chr_1p	del_chr_21q	5	1	3
76	amp_chr_1p	del_chr_22q_XBP1	1	20	6
77	amp_chr_1p	HyperDiploidy	2	84	25
78	amp_chr_1q_MCL1	amp_chr_2p	24	1	9
79	amp_chr_1q_MCL1	amp_chr_2q	26	1	9
80	amp_chr_1q_MCL1	amp_chr_3p	6	0	3
81	amp_chr_1q_MCL1	amp_chr_3q_TERC	3	0	3
82	amp_chr_1q_MCL1	amp_chr_4p	13	13	11
83	amp_chr_1q_MCL1	amp_chr_4q	29	14	15
84	amp_chr_1q_MCL1	amp_chr_5p	10	0	3
85	amp_chr_1q_MCL1	amp_chr_5q	7	5	3
86	amp_chr_1q_MCL1	amp_chr_6p	40	14	21
87	amp_chr_1q_MCL1	amp_chr_6q	45	9	16
88	amp_chr_1q_MCL1	amp_chr_7p	4	0	1
89	amp_chr_1q_MCL1	amp_chr_7q	5	0	2
90	amp_chr_1q_MCL1	amp_chr_8p	20	0	5
91	amp_chr_1q_MCL1	amp_chr_8q_MYC_amp	17	1	6
92	amp_chr_1q_MCL1	amp_chr_9p	7	0	3
93	amp_chr_1q_MCL1	amp_chr_9q	10	2	4
94	amp_chr_1q_MCL1	amp_chr_10p	38	8	12
95	amp_chr_1q_MCL1	amp_chr_10q	23	8	10
96	amp_chr_1q_MCL1	amp_chr_11p	8	0	2
97	amp_chr_1q_MCL1	amp_chr_11q	0	1	1
98	amp_chr_1q_MCL1	amp_chr_12p	31	4	14
99	amp_chr_1q_MCL1	amp_chr_12q	25	2	11
100	amp_chr_1q_MCL1	amp_chr_13q	21	0	5
101	amp_chr_1q_MCL1	amp_chr_14q	33	8	11
102	amp_chr_1q_MCL1	amp_chr_15q	9	1	3
103	amp_chr_1q_MCL1	amp_chr_16p_BCMA	27	5	14
104	amp_chr_1q_MCL1	amp_chr_16q	55	4	20
105	amp_chr_1q_MCL1	amp_chr_17p	29	21	17
106	amp_chr_1q_MCL1	amp_chr_17q	38	23	20
107	amp_chr_1q_MCL1	amp_chr_18p	56	19	22
108	amp_chr_1q_MCL1	amp_chr_18q	55	19	23
109	amp_chr_1q_MCL1	amp_chr_19p	15	3	5
110	amp_chr_1q_MCL1	amp_chr_19q	6	0	2
111	amp_chr_1q_MCL1	amp_chr_20p	35	9	12
112	amp_chr_1q_MCL1	amp_chr_20q	47	8	14
113	amp_chr_1q_MCL1	amp_chr_21q	3	1	2
114	amp_chr_1q_MCL1	amp_chr_22q	62	3	20
115	amp_chr_1q_MCL1	del_chr_1p_CDKN2C	14	6	7
116	amp_chr_1q_MCL1	del_chr_1p_EVI5	20	12	10
117	amp_chr_1q_MCL1	del_chr_1p_TENT5C	22	6	11
118	amp_chr_1q_MCL1	del_chr_2p	19	5	7
119	amp_chr_1q_MCL1	del_chr_2q_SP140	30	1	10
120	amp_chr_1q_MCL1	del_chr_3p	10	0	4
121	amp_chr_1q_MCL1	del_chr_3q_BCL6	7	0	3
122	amp_chr_1q_MCL1	del_chr_4p_NSD2	34	4	12
123	amp_chr_1q_MCL1	del_chr_4q	29	0	9
124	amp_chr_1q_MCL1	del_chr_5p	14	1	5
125	amp_chr_1q_MCL1	del_chr_5q	14	0	4
126	amp_chr_1q_MCL1	del_chr_6p	10	0	3
127	amp_chr_1q_MCL1	del_chr_6q	52	19	25
128	amp_chr_1q_MCL1	del_chr_7p	21	7	10
129	amp_chr_1q_MCL1	del_chr_7q	12	2	5
130	amp_chr_1q_MCL1	del_chr_8p	65	11	22
131	amp_chr_1q_MCL1	del_chr_8q_MYC_del	38	5	10
132	amp_chr_1q_MCL1	del_chr_9p	6	1	4
133	amp_chr_1q_MCL1	del_chr_9q	10	0	3
134	amp_chr_1q_MCL1	del_chr_10p	34	9	11
135	amp_chr_1q_MCL1	del_chr_10q	34	9	11
136	amp_chr_1q_MCL1	del_chr_11p	19	1	5
137	amp_chr_1q_MCL1	del_chr_11q_BIRC2	15	7	6
138	amp_chr_1q_MCL1	del_chr_12p	53	1	16
139	amp_chr_1q_MCL1	del_chr_12q	60	1	19
140	amp_chr_1q_MCL1	del_chr_13q	55	66	40
141	amp_chr_1q_MCL1	del_chr_14q_MAX	24	10	12
142	amp_chr_1q_MCL1	del_chr_15q	6	0	2
143	amp_chr_1q_MCL1	del_chr_16p	43	11	15
144	amp_chr_1q_MCL1	del_chr_16q_CYLD	43	39	27
145	amp_chr_1q_MCL1	del_chr_17p	34	3	13
146	amp_chr_1q_MCL1	del_chr_17q	27	2	10
147	amp_chr_1q_MCL1	del_chr_18p	19	0	5
148	amp_chr_1q_MCL1	del_chr_18q	19	0	5
149	amp_chr_1q_MCL1	del_chr_19p	20	0	5
150	amp_chr_1q_MCL1	del_chr_19q	29	0	7
151	amp_chr_1q_MCL1	del_chr_20p	31	6	13
152	amp_chr_1q_MCL1	del_chr_20q	17	6	10
153	amp_chr_1q_MCL1	del_chr_21q	22	1	7
154	amp_chr_1q_MCL1	del_chr_22q_XBP1	46	18	19
155	amp_chr_1q_MCL1	HyperDiploidy	25	74	33
156	amp_chr_2p	amp_chr_2q	9	0	3
157	amp_chr_2p	amp_chr_3p	4	0	1
158	amp_chr_2p	amp_chr_3q_TERC	1	0	1
159	amp_chr_2p	amp_chr_4p	8	5	6
160	amp_chr_2p	amp_chr_4q	14	6	7
161	amp_chr_2p	amp_chr_5p	0	2	1
162	amp_chr_2p	amp_chr_5q	0	2	1
163	amp_chr_2p	amp_chr_6p	0	13	5
164	amp_chr_2p	amp_chr_6q	15	1	7
165	amp_chr_2p	amp_chr_7p	0	0	0
166	amp_chr_2p	amp_chr_7q	0	2	1
167	amp_chr_2p	amp_chr_8p	4	2	2
168	amp_chr_2p	amp_chr_8q_MYC_amp	0	2	1
169	amp_chr_2p	amp_chr_9p	0	0	0
170	amp_chr_2p	amp_chr_9q	0	0	0
171	amp_chr_2p	amp_chr_10p	15	1	6
172	amp_chr_2p	amp_chr_10q	14	6	8
173	amp_chr_2p	amp_chr_11p	0	0	0
174	amp_chr_2p	amp_chr_11q	0	0	0
175	amp_chr_2p	amp_chr_12p	16	7	8
176	amp_chr_2p	amp_chr_12q	21	6	9
177	amp_chr_2p	amp_chr_13q	18	3	5
178	amp_chr_2p	amp_chr_14q	16	7	6
179	amp_chr_2p	amp_chr_15q	5	0	1
180	amp_chr_2p	amp_chr_16p_BCMA	7	10	7
181	amp_chr_2p	amp_chr_16q	23	12	12
182	amp_chr_2p	amp_chr_17p	16	7	6
183	amp_chr_2p	amp_chr_17q	20	14	10
184	amp_chr_2p	amp_chr_18p	17	8	9
185	amp_chr_2p	amp_chr_18q	17	8	9
186	amp_chr_2p	amp_chr_19p	0	0	0
187	amp_chr_2p	amp_chr_19q	0	0	0
188	amp_chr_2p	amp_chr_20p	19	7	6
189	amp_chr_2p	amp_chr_20q	21	7	7
190	amp_chr_2p	amp_chr_21q	0	1	1
191	amp_chr_2p	amp_chr_22q	19	7	7
192	amp_chr_2p	del_chr_1p_CDKN2C	0	2	1
193	amp_chr_2p	del_chr_1p_EVI5	0	5	2
194	amp_chr_2p	del_chr_1p_TENT5C	0	3	2
195	amp_chr_2p	del_chr_1q	0	5	1
196	amp_chr_2p	del_chr_2q_SP140	3	3	2
197	amp_chr_2p	del_chr_3p	0	0	0
198	amp_chr_2p	del_chr_3q_BCL6	3	0	2
199	amp_chr_2p	del_chr_4p_NSD2	9	0	2
200	amp_chr_2p	del_chr_4q	5	1	3
201	amp_chr_2p	del_chr_5p	0	3	1
202	amp_chr_2p	del_chr_5q	0	0	0
203	amp_chr_2p	del_chr_6p	1	1	2
204	amp_chr_2p	del_chr_6q	8	9	8
205	amp_chr_2p	del_chr_7p	3	6	4
206	amp_chr_2p	del_chr_7q	0	3	2
207	amp_chr_2p	del_chr_8p	16	7	11
208	amp_chr_2p	del_chr_8q_MYC_del	10	2	4
209	amp_chr_2p	del_chr_9p	0	6	2
210	amp_chr_2p	del_chr_9q	0	2	1
211	amp_chr_2p	del_chr_10p	20	0	5
212	amp_chr_2p	del_chr_10q	19	0	5
213	amp_chr_2p	del_chr_11p	10	4	3
214	amp_chr_2p	del_chr_11q_BIRC2	5	4	2
215	amp_chr_2p	del_chr_12p	16	1	6
216	amp_chr_2p	del_chr_12q	15	0	4
217	amp_chr_2p	del_chr_13q	20	14	11
218	amp_chr_2p	del_chr_14q_MAX	0	7	3
219	amp_chr_2p	del_chr_15q	0	0	0
220	amp_chr_2p	del_chr_16p	5	9	4
221	amp_chr_2p	del_chr_16q_CYLD	0	15	4
222	amp_chr_2p	del_chr_17p	5	5	4
223	amp_chr_2p	del_chr_17q	0	5	2
224	amp_chr_2p	del_chr_18p	5	3	2
225	amp_chr_2p	del_chr_18q	5	3	2
226	amp_chr_2p	del_chr_19p	0	7	2
227	amp_chr_2p	del_chr_19q	0	7	2
228	amp_chr_2p	del_chr_20p	11	1	6
229	amp_chr_2p	del_chr_20q	2	1	3
230	amp_chr_2p	del_chr_21q	0	3	1
231	amp_chr_2p	del_chr_22q_XBP1	5	14	5
232	amp_chr_2p	HyperDiploidy	0	38	12
233	amp_chr_2q	amp_chr_3p	0	0	0
234	amp_chr_2q	amp_chr_3q_TERC	0	0	0
235	amp_chr_2q	amp_chr_4p	6	7	6
236	amp_chr_2q	amp_chr_4q	10	6	6
237	amp_chr_2q	amp_chr_5p	0	2	1
238	amp_chr_2q	amp_chr_5q	0	2	1
239	amp_chr_2q	amp_chr_6p	0	19	8
240	amp_chr_2q	amp_chr_6q	13	1	5
241	amp_chr_2q	amp_chr_7p	0	0	0
242	amp_chr_2q	amp_chr_7q	0	0	0
243	amp_chr_2q	amp_chr_8p	4	4	3
244	amp_chr_2q	amp_chr_8q_MYC_amp	1	9	4
245	amp_chr_2q	amp_chr_9p	0	0	0
246	amp_chr_2q	amp_chr_9q	0	0	0
247	amp_chr_2q	amp_chr_10p	7	2	5
248	amp_chr_2q	amp_chr_10q	10	5	7
249	amp_chr_2q	amp_chr_11p	0	0	0
250	amp_chr_2q	amp_chr_11q	0	0	0
251	amp_chr_2q	amp_chr_12p	15	14	10
252	amp_chr_2q	amp_chr_12q	16	9	9
253	amp_chr_2q	amp_chr_13q	14	3	4
254	amp_chr_2q	amp_chr_14q	11	11	6
255	amp_chr_2q	amp_chr_15q	0	0	0
256	amp_chr_2q	amp_chr_16p_BCMA	7	8	6
257	amp_chr_2q	amp_chr_16q	23	9	11
258	amp_chr_2q	amp_chr_17p	8	7	4
259	amp_chr_2q	amp_chr_17q	8	10	5
260	amp_chr_2q	amp_chr_18p	18	19	14
261	amp_chr_2q	amp_chr_18q	18	19	14
262	amp_chr_2q	amp_chr_19p	0	0	0
263	amp_chr_2q	amp_chr_19q	0	0	0
264	amp_chr_2q	amp_chr_20p	14	9	6
265	amp_chr_2q	amp_chr_20q	14	9	6
266	amp_chr_2q	amp_chr_21q	0	1	1
267	amp_chr_2q	amp_chr_22q	9	8	6
268	amp_chr_2q	del_chr_1p_CDKN2C	0	2	1
269	amp_chr_2q	del_chr_1p_EVI5	0	5	2
270	amp_chr_2q	del_chr_1p_TENT5C	0	3	2
271	amp_chr_2q	del_chr_1q	0	5	1
272	amp_chr_2q	del_chr_2p	0	0	0
273	amp_chr_2q	del_chr_3p	0	0	0
274	amp_chr_2q	del_chr_3q_BCL6	2	0	1
275	amp_chr_2q	del_chr_4p_NSD2	9	3	3
276	amp_chr_2q	del_chr_4q	5	0	2
277	amp_chr_2q	del_chr_5p	0	3	1
278	amp_chr_2q	del_chr_5q	0	0	0
279	amp_chr_2q	del_chr_6p	1	1	2
280	amp_chr_2q	del_chr_6q	3	12	8
281	amp_chr_2q	del_chr_7p	1	4	4
282	amp_chr_2q	del_chr_7q	0	4	3
283	amp_chr_2q	del_chr_8p	12	10	10
284	amp_chr_2q	del_chr_8q_MYC_del	10	2	4
285	amp_chr_2q	del_chr_9p	0	6	2
286	amp_chr_2q	del_chr_9q	0	2	1
287	amp_chr_2q	del_chr_10p	20	0	5
288	amp_chr_2q	del_chr_10q	15	0	4
289	amp_chr_2q	del_chr_11p	5	4	2
290	amp_chr_2q	del_chr_11q_BIRC2	0	4	1
291	amp_chr_2q	del_chr_12p	16	1	6
292	amp_chr_2q	del_chr_12q	15	0	4
293	amp_chr_2q	del_chr_13q	19	10	10
294	amp_chr_2q	del_chr_14q_MAX	0	1	1
295	amp_chr_2q	del_chr_15q	0	0	0
296	amp_chr_2q	del_chr_16p	0	9	3
297	amp_chr_2q	del_chr_16q_CYLD	0	14	4
298	amp_chr_2q	del_chr_17p	0	7	4
299	amp_chr_2q	del_chr_17q	0	5	2
300	amp_chr_2q	del_chr_18p	5	3	2
301	amp_chr_2q	del_chr_18q	5	3	2
302	amp_chr_2q	del_chr_19p	0	7	2
303	amp_chr_2q	del_chr_19q	0	7	2
304	amp_chr_2q	del_chr_20p	9	1	4
305	amp_chr_2q	del_chr_20q	1	1	2
306	amp_chr_2q	del_chr_21q	0	4	2
307	amp_chr_2q	del_chr_22q_XBP1	0	9	3
308	amp_chr_2q	HyperDiploidy	0	47	14
309	amp_chr_3p	amp_chr_3q_TERC	0	4	1
310	amp_chr_3p	amp_chr_4p	0	0	0
311	amp_chr_3p	amp_chr_4q	0	0	0
312	amp_chr_3p	amp_chr_5p	0	0	0
313	amp_chr_3p	amp_chr_5q	0	0	0
314	amp_chr_3p	amp_chr_6p	0	0	0
315	amp_chr_3p	amp_chr_6q	0	0	0
316	amp_chr_3p	amp_chr_7p	0	0	0
317	amp_chr_3p	amp_chr_7q	0	0	0
318	amp_chr_3p	amp_chr_8p	0	0	0
319	amp_chr_3p	amp_chr_8q_MYC_amp	0	0	0
320	amp_chr_3p	amp_chr_9p	0	1	1
321	amp_chr_3p	amp_chr_9q	0	1	1
322	amp_chr_3p	amp_chr_10p	0	0	0
323	amp_chr_3p	amp_chr_10q	0	0	0
324	amp_chr_3p	amp_chr_11p	0	0	0
