sample	variable	value	purity	thresh	call	chrarm	CI95	HD_chr
SCI001	amp_chr_1p	0	0.99	0.05050505050505051	0	chr_1p	0.004	no
SCI001	amp_chr_1q_MCL1	0.013	0.99	0.05050505050505051	0	chr_1q_MCL1	0.0027	no
SCI001	amp_chr_2p	0.02	0.99	0.05050505050505051	0	chr_2p	0.0028	no
SCI001	amp_chr_2q	0.021	0.99	0.05050505050505051	0	chr_2q	0.0016	no
SCI001	amp_chr_3p	0	0.99	0.05050505050505051	0	chr_3p	0.0014	yes
SCI001	amp_chr_3q_TERC	0	0.99	0.05050505050505051	0	chr_3q_TERC	0.0014	yes
SCI001	amp_chr_4p	0.033	0.99	0.05050505050505051	0	chr_4p	0.0025	no
SCI001	amp_chr_4q	0	0.99	0.05050505050505051	0	chr_4q	0.0062	no
SCI001	amp_chr_5p	-999	0.99	0.05050505050505051	-999	chr_5p	0.0033	yes
SCI001	amp_chr_5q	-999	0.99	0.05050505050505051	-999	chr_5q	0.0027	yes
SCI001	amp_chr_6p	0.521	0.99	0.05050505050505051	1	chr_6p	0.0026	no
SCI001	amp_chr_6q	0.056	0.99	0.05050505050505051	1	chr_6q	0.0017	no
SCI001	amp_chr_7p	-999	0.99	0.05050505050505051	-999	chr_7p	0.0025	yes
SCI001	amp_chr_7q	-999	0.99	0.05050505050505051	-999	chr_7q	0.0028	yes
SCI001	amp_chr_8p	0.034	0.99	0.05050505050505051	0	chr_8p	0.0041	no
SCI001	amp_chr_8q_MYC_amp	0.027	0.99	0.05050505050505051	0	chr_8q_MYC_amp	0.0017	no
SCI001	amp_chr_9p	0.005	0.99	0.05050505050505051	0	chr_9p	0.0018	yes
SCI001	amp_chr_9q	0.005	0.99	0.05050505050505051	0	chr_9q	0.0018	yes
SCI001	amp_chr_10p	0.025	0.99	0.05050505050505051	0	chr_10p	0.0035	no
SCI001	amp_chr_10q	0.012	0.99	0.05050505050505051	0	chr_10q	0.0025	no
SCI001	amp_chr_11p	0	0.99	0.05050505050505051	0	chr_11p	0.0017	yes
SCI001	amp_chr_11q	0	0.99	0.05050505050505051	0	chr_11q	0.0017	yes
SCI001	amp_chr_12p	0	0.99	0.05050505050505051	0	chr_12p	0.0024	no
SCI001	amp_chr_12q	0	0.99	0.05050505050505051	0	chr_12q	0.0024	no
SCI001	amp_chr_13q	0	0.99	0.05050505050505051	0	chr_13q	0.0021	no
SCI001	amp_chr_14q	0.039	0.99	0.05050505050505051	0	chr_14q	0.0028	no
SCI001	amp_chr_15q	-999	0.99	0.05050505050505051	-999	chr_15q	0.0022	yes
SCI001	amp_chr_16p_BCMA	0	0.99	0.05050505050505051	0	chr_16p_BCMA	0.0033	no
SCI001	amp_chr_16q	0.061	0.99	0.05050505050505051	1	chr_16q	0.004	no
SCI001	amp_chr_17p	0	0.99	0.05050505050505051	0	chr_17p	0.0031	no
SCI001	amp_chr_17q	0	0.99	0.05050505050505051	0	chr_17q	0.0034	no
SCI001	amp_chr_18p	0	0.99	0.05050505050505051	0	chr_18p	0.0028	no
SCI001	amp_chr_18q	0	0.99	0.05050505050505051	0	chr_18q	0.0032	no
SCI001	amp_chr_19p	-999	0.99	0.05050505050505051	-999	chr_19p	0.0075	yes
SCI001	amp_chr_19q	-999	0.99	0.05050505050505051	-999	chr_19q	0.0054	yes
SCI001	amp_chr_20p	0	0.99	0.05050505050505051	0	chr_20p	0.0057	no
SCI001	amp_chr_20q	0	0.99	0.05050505050505051	0	chr_20q	0.0048	no
SCI001	amp_chr_21q	0	0.99	0.05050505050505051	0	chr_21q	0.0035	yes
SCI001	amp_chr_22q	0	0.99	0.05050505050505051	0	chr_22q	0.0031	no
SCI001	del_chr_1p_CDKN2C	0.989	0.99	0.05050505050505051	1	chr_1p_CDKN2C	0.0054	no
SCI001	del_chr_1p_EVI5	0.98	0.99	0.05050505050505051	1	chr_1p_EVI5	0.0035	no
SCI001	del_chr_1p_TENT5C	0	0.99	0.05050505050505051	0	chr_1p_TENT5C	0.0038	no
SCI001	del_chr_1q	0	0.99	0.05050505050505051	0	chr_1q	0.0027	no
SCI001	del_chr_2p	0	0.99	0.05050505050505051	0	chr_2p	0.0028	no
SCI001	del_chr_2q_SP140	0	0.99	0.05050505050505051	0	chr_2q_SP140	0.0016	no
SCI001	del_chr_3p	0.023	0.99	0.05050505050505051	0	chr_3p	0.0014	no
SCI001	del_chr_3q_BCL6	0.023	0.99	0.05050505050505051	0	chr_3q_BCL6	0.0014	no
SCI001	del_chr_4p_NSD2	0.01	0.99	0.05050505050505051	0	chr_4p_NSD2	0.0061	no
SCI001	del_chr_4q	0.071	0.99	0.05050505050505051	1	chr_4q	0.0062	no
SCI001	del_chr_5p	0	0.99	0.05050505050505051	0	chr_5p	0.0033	no
SCI001	del_chr_5q	0	0.99	0.05050505050505051	0	chr_5q	0.0027	no
SCI001	del_chr_6p	0	0.99	0.05050505050505051	0	chr_6p	0.0026	no
SCI001	del_chr_6q	0	0.99	0.05050505050505051	0	chr_6q	0.0017	no
SCI001	del_chr_7p	0	0.99	0.05050505050505051	0	chr_7p	0.0025	no
SCI001	del_chr_7q	0	0.99	0.05050505050505051	0	chr_7q	0.0028	no
SCI001	del_chr_8p	0	0.99	0.05050505050505051	0	chr_8p	0.0041	no
SCI001	del_chr_8q_MYC_del	0	0.99	0.05050505050505051	0	chr_8q_MYC_del	0.0017	no
SCI001	del_chr_9p	0	0.99	0.05050505050505051	0	chr_9p	0.0018	no
SCI001	del_chr_9q	0	0.99	0.05050505050505051	0	chr_9q	0.0018	no
SCI001	del_chr_10p	0	0.99	0.05050505050505051	0	chr_10p	0.0035	no
SCI001	del_chr_10q	0	0.99	0.05050505050505051	0	chr_10q	0.0025	no
SCI001	del_chr_11p	0.051	0.99	0.05050505050505051	1	chr_11p	0.0017	no
SCI001	del_chr_11q_BIRC2	0.051	0.99	0.05050505050505051	1	chr_11q_BIRC2	0.0017	no
SCI001	del_chr_12p	0.049	0.99	0.05050505050505051	0	chr_12p	0.0024	no
SCI001	del_chr_12q	0.05	0.99	0.05050505050505051	0	chr_12q	0.0024	no
SCI001	del_chr_13q	0.98	0.99	0.05050505050505051	1	chr_13q	0.0021	no
SCI001	del_chr_14q_MAX	0	0.99	0.05050505050505051	0	chr_14q_MAX	0.0021	no
SCI001	del_chr_15q	0	0.99	0.05050505050505051	0	chr_15q	0.0022	no
SCI001	del_chr_16p	0.005	0.99	0.05050505050505051	0	chr_16p	0.0033	no
SCI001	del_chr_16q_CYLD	0	0.99	0.05050505050505051	0	chr_16q_CYLD	0.0039	no
SCI001	del_chr_17p	0.013	0.99	0.05050505050505051	0	chr_17p	0.0031	no
SCI001	del_chr_17q	0.061	0.99	0.05050505050505051	1	chr_17q	0.0034	no
SCI001	del_chr_18p	0.036	0.99	0.05050505050505051	0	chr_18p	0.0028	no
SCI001	del_chr_18q	0.038	0.99	0.05050505050505051	0	chr_18q	0.0032	no
SCI001	del_chr_19p	0	0.99	0.05050505050505051	0	chr_19p	0.0075	no
SCI001	del_chr_19q	0	0.99	0.05050505050505051	0	chr_19q	0.0054	no
SCI001	del_chr_20p	0.999	0.99	0.05050505050505051	1	chr_20p	0.0057	no
SCI001	del_chr_20q	0.015	0.99	0.05050505050505051	0	chr_20q	0.0048	no
SCI001	del_chr_21q	0.033	0.99	0.05050505050505051	0	chr_21q	0.0035	no
