sample	variable	value	purity	thresh	call	chrarm	CI95	HD_chr
SCI001	amp_chr_1p_NOTCH2	0.038	0.99	0.05050505050505051	0	chr_1p_NOTCH2	0.0022	no
SCI001	amp_chr_1q_CKS1B	0.027	0.99	0.05050505050505051	0	chr_1q_CKS1B	0.0015	no
SCI001	amp_chr_2p	0.02	0.99	0.05050505050505051	0	chr_2p	0.0017	no
SCI001	amp_chr_2q	0.021	0.99	0.05050505050505051	0	chr_2q	9e-4	no
SCI001	amp_chr_3p	0	0.99	0.05050505050505051	0	chr_3p	8e-4	yes
SCI001	amp_chr_3q	0	0.99	0.05050505050505051	0	chr_3q	0.001	yes
SCI001	amp_chr_4p	0.043	0.99	0.05050505050505051	0	chr_4p	0.001	no
SCI001	amp_chr_4q	0.031	0.99	0.05050505050505051	0	chr_4q	0.0012	no
SCI001	amp_chr_5p	-999	0.99	0.05050505050505051	-999	chr_5p	0.0027	yes
SCI001	amp_chr_5q	-999	0.99	0.05050505050505051	-999	chr_5q	0.0023	yes
SCI001	amp_chr_6p	0.521	0.99	0.05050505050505051	1	chr_6p	0.0019	no
SCI001	amp_chr_6q	0.056	0.99	0.05050505050505051	1	chr_6q	0.001	no
SCI001	amp_chr_7p	-999	0.99	0.05050505050505051	-999	chr_7p	0.0021	yes
SCI001	amp_chr_7q	-999	0.99	0.05050505050505051	-999	chr_7q	0.0023	yes
SCI001	amp_chr_8p	0.034	0.99	0.05050505050505051	0	chr_8p	0.0025	no
SCI001	amp_chr_8q_MYC	0.041	0.99	0.05050505050505051	0	chr_8q_MYC	9e-4	no
SCI001	amp_chr_8q_MYC_enhancer	0.041	0.99	0.05050505050505051	0	chr_8q_MYC_enhancer	9e-4	no
SCI001	amp_chr_9p	0.005	0.99	0.05050505050505051	0	chr_9p	0.001	yes
SCI001	amp_chr_9q	0.005	0.99	0.05050505050505051	0	chr_9q	0.001	yes
SCI001	amp_chr_10p	0.025	0.99	0.05050505050505051	0	chr_10p	0.002	no
SCI001	amp_chr_10q	0.012	0.99	0.05050505050505051	0	chr_10q	0.0015	no
SCI001	amp_chr_11p	0	0.99	0.05050505050505051	0	chr_11p	9e-4	yes
SCI001	amp_chr_11q_CCND1	0	0.99	0.05050505050505051	0	chr_11q_CCND1	9e-4	yes
SCI001	amp_chr_12p	0	0.99	0.05050505050505051	0	chr_12p	0.0013	no
SCI001	amp_chr_12q	0	0.99	0.05050505050505051	0	chr_12q	0.0013	no
SCI001	amp_chr_13q	0	0.99	0.05050505050505051	0	chr_13q	6e-4	no
SCI001	amp_chr_14q	0.039	0.99	0.05050505050505051	0	chr_14q	0.0018	no
SCI001	amp_chr_15q	-999	0.99	0.05050505050505051	-999	chr_15q	0.0024	yes
SCI001	amp_chr_16p	0	0.99	0.05050505050505051	0	chr_16p	0.0019	no
SCI001	amp_chr_16q	0.061	0.99	0.05050505050505051	1	chr_16q	0.0023	no
SCI001	amp_chr_17p	0	0.99	0.05050505050505051	0	chr_17p	0.0017	no
SCI001	amp_chr_17q	0	0.99	0.05050505050505051	0	chr_17q	0.0023	no
SCI001	amp_chr_18p	0	0.99	0.05050505050505051	0	chr_18p	0.0016	no
