variable	NDMM	SMM	diff	med_timing_com	mean_timing_com	sd_com	min_com	max_com	first_q_com	third_q_com	n_com	med_timing_smm	mean_timing_smm	sd_smm	min_smm	max_smm	first_q_smm	third_q_smm	n_smm	pval	qval	timing_diff	lab	qval_signif
del_chr_1p_EVI5	0.24557260920897284	0.09538461538461539	0.15018799382435744	1.441447311017733	1.4175478386111584	0.3234298844096293	0.782426866276541	1.9236847258573095	1.1884101145309274	1.6080229007307016	20	1.3976089138110042	1.3807947323577439	0.45019463324543596	0.6255909522274495	2.1445757094420537	1.143213879872446	1.5962958159560814	20	0.925425784849299	1	0.043838397206728885	del_1p_EVI5	no
del_chr_8p	0.25855962219598583	0.12307692307692308	0.13548269911906274	1.8998652466781065	1.944434064621729	0.3652022365082988	1.45869654025457	2.872957872021841	1.7285214329027518	2.120723495323719	20	2.1591716540128996	2.11975232238772	0.4515740805046027	1.2838446102192045	3.093387401707373	1.8672603098646574	2.4358351620197816	20	0.1571600559509831	1	-0.25930640733479304	del_8p	no
del_chr_1p_TENT5C	0.20543093270365997	0.08615384615384615	0.11927708654981382	1.7931065411680631	1.7675545198953884	0.2993498648690185	1.2375099134894954	2.221372818407053	1.5723398907075037	1.9331062597096005	20	1.8504167114240024	1.984464384712844	0.4324009023071205	1.2333555951754012	2.88029307287366	1.6586554474646062	2.376205392984781	20	0.19175131854437366	1	-0.05731017025593932	del_1p_TENT5C	no
del_chr_14q_MAX	0.2514757969303424	0.15692307692307692	0.09455272000726547	0.8531065167323215	0.8794188387220011	0.333042098491198	0.3003147685389482	1.7063985214002273	0.6480398997119373	1.0711894295437316	20	1.3125824159129942	1.2170803459625472	0.45606059231864415	0.10529706392139579	1.9947679168087546	0.9423675617380802	1.5835668323170877	20	0.005130719547704604	0.4104575638163683	-0.45947589918067266	del_14q_MAX	no
amp_chr_8q_MYC_amp	0.15584415584415584	0.07384615384615385	0.08199800199800199	1.9123010548420054	1.941661709577773	0.3634117375710417	1.3850214048441858	2.6836830848404767	1.7084670390428192	2.2028776728481603	20	3.394029514300036	3.2789299917827974	0.5968860170615823	2.1518424157750604	4.0925736715075844	2.9191911770206613	3.689818428539281	20	9.924080147033188e-9	7.93926411762655e-7	-1.4817284594580307	amp_8q_MYC	yes
del_chr_12p	0.1357733175914994	0.05846153846153846	0.07731177912996096	2.1918210103092157	2.1456215662510085	0.2401938973458614	1.7113102783642407	2.5689156853259125	1.9274752000460564	2.3251950425250296	20	3.8723686793371077	3.9755436095000807	0.5702865523365347	3.1876454247262673	5.57107495915627	3.5159808299697306	4.276392215856558	20	1.4508889103849688e-11	1.160711128307975e-9	-1.680547669027892	del_12p	yes
del_chr_17p	0.1357733175914994	0.06769230769230769	0.06808100989919172	3.364406392106658	3.4151445350853025	0.37252944660886744	2.86213155211689	4.133299182792056	3.187981352522525	3.559401364898715	20	2.6065263633535416	2.6447919643940083	0.5727014199014577	1.1659893654943112	4.048333970620067	2.4042606814573544	2.864293297432808	20	4.121931867736385e-6	3.297545494189108e-4	0.7578800287531164	del_17p	yes
amp_chr_6q	0.15584415584415584	0.09846153846153846	0.05738261738261738	2.201281329719904	2.1969880638791786	0.33124236250087646	1.6494514385474237	2.807341997022306	1.9591132174502315	2.4137490471117022	20	3.082908880465955	3.0901261390485595	0.5274155152722474	1.9912035314250145	4.007923557988363	2.849870308145289	3.4253730173876726	20	7.571173601061883e-7	6.0569388808495066e-5	-0.8816275507460509	amp_6q	yes
amp_chr_1q_MCL1	0.3919716646989374	0.3384615384615385	0.053510126237398925	1.0127185389115545	1.1184480656125169	0.316147154630888	0.6399213900770289	1.9911840028794625	0.9077610540697889	1.2808882921006592	20	0.973317288178743	0.9460189686921211	0.3381202500106351	0.4126031634706102	1.551283235375067	0.7213736881046887	1.2172354035143098	20	0.19175131854437366	1	0.03940125073281153	amp_1q_MCL1	no
amp_chr_6p	0.2526564344746163	0.2	0.052656434474616265	1.3195307200432786	1.3976323590675774	0.35854855430562604	0.9381633208879404	2.1192784085081287	1.1373046797349005	1.564129145245077	20	1.624476847438935	1.6385376392373387	0.29781267128613653	1.0987383129913244	2.1861037961467757	1.4703059920683894	1.8487585041726502	20	0.01809357865845751	1	-0.3049461273956564	amp_6p	no
