matchID	player1	player2	win1	win2	total_matches_performed
1	amp_chr_1p	amp_chr_1q_MCL1	0	29	9
2	amp_chr_1p	amp_chr_2p	0	14	5
3	amp_chr_1p	amp_chr_2q	3	10	4
4	amp_chr_1p	amp_chr_3p	0	0	0
5	amp_chr_1p	amp_chr_3q_TERC	0	2	1
6	amp_chr_1p	amp_chr_4p	2	13	5
7	amp_chr_1p	amp_chr_4q	5	13	5
8	amp_chr_1p	amp_chr_5p	0	0	0
9	amp_chr_1p	amp_chr_5q	0	0	0
10	amp_chr_1p	amp_chr_6p	0	25	7
11	amp_chr_1p	amp_chr_6q	0	18	5
12	amp_chr_1p	amp_chr_7p	0	0	0
13	amp_chr_1p	amp_chr_7q	0	0	0
14	amp_chr_1p	amp_chr_8p	1	7	4
15	amp_chr_1p	amp_chr_8q_MYC_amp	0	13	6
16	amp_chr_1p	amp_chr_9p	0	1	1
17	amp_chr_1p	amp_chr_9q	0	2	1
18	amp_chr_1p	amp_chr_10p	0	4	2
19	amp_chr_1p	amp_chr_10q	0	3	2
20	amp_chr_1p	amp_chr_11p	0	0	0
21	amp_chr_1p	amp_chr_11q	0	0	0
22	amp_chr_1p	amp_chr_12p	0	5	1
23	amp_chr_1p	amp_chr_12q	0	5	1
24	amp_chr_1p	amp_chr_13q	3	0	2
25	amp_chr_1p	amp_chr_14q	5	5	4
26	amp_chr_1p	amp_chr_15q	0	0	0
27	amp_chr_1p	amp_chr_16p_BCMA	1	2	2
28	amp_chr_1p	amp_chr_16q	2	0	2
29	amp_chr_1p	amp_chr_17p	0	10	3
30	amp_chr_1p	amp_chr_17q	0	15	5
31	amp_chr_1p	amp_chr_18p	0	15	5
32	amp_chr_1p	amp_chr_18q	0	25	9
33	amp_chr_1p	amp_chr_19p	0	4	1
34	amp_chr_1p	amp_chr_19q	0	0	0
35	amp_chr_1p	amp_chr_20p	0	0	0
36	amp_chr_1p	amp_chr_20q	0	2	1
37	amp_chr_1p	amp_chr_21q	0	0	0
38	amp_chr_1p	amp_chr_22q	3	2	3
39	amp_chr_1p	del_chr_1q	0	0	0
40	amp_chr_1p	del_chr_2p	0	0	0
41	amp_chr_1p	del_chr_2q_SP140	0	0	0
42	amp_chr_1p	del_chr_3p	0	0	0
43	amp_chr_1p	del_chr_3q_BCL6	0	10	2
44	amp_chr_1p	del_chr_4p_NSD2	0	5	1
45	amp_chr_1p	del_chr_4q	0	3	1
46	amp_chr_1p	del_chr_5p	0	0	0
47	amp_chr_1p	del_chr_5q	0	0	0
48	amp_chr_1p	del_chr_6p	0	0	0
49	amp_chr_1p	del_chr_6q	5	5	4
50	amp_chr_1p	del_chr_7p	2	0	1
51	amp_chr_1p	del_chr_7q	2	0	1
52	amp_chr_1p	del_chr_8p	1	7	4
53	amp_chr_1p	del_chr_8q_MYC_del	0	3	1
54	amp_chr_1p	del_chr_9p	0	0	0
55	amp_chr_1p	del_chr_9q	0	0	0
56	amp_chr_1p	del_chr_10p	0	0	0
57	amp_chr_1p	del_chr_10q	0	0	0
58	amp_chr_1p	del_chr_11p	3	0	1
59	amp_chr_1p	del_chr_11q_BIRC2	3	0	1
60	amp_chr_1p	del_chr_12p	1	6	3
61	amp_chr_1p	del_chr_12q	1	0	1
62	amp_chr_1p	del_chr_13q	4	19	8
63	amp_chr_1p	del_chr_14q_MAX	0	8	2
64	amp_chr_1p	del_chr_15q	0	0	0
65	amp_chr_1p	del_chr_16p	5	1	2
66	amp_chr_1p	del_chr_16q_CYLD	1	20	7
67	amp_chr_1p	del_chr_17p	7	6	6
68	amp_chr_1p	del_chr_17q	6	5	4
69	amp_chr_1p	del_chr_18p	0	3	1
70	amp_chr_1p	del_chr_18q	0	0	0
71	amp_chr_1p	del_chr_19p	0	0	0
72	amp_chr_1p	del_chr_19q	0	0	0
73	amp_chr_1p	del_chr_20p	1	6	3
74	amp_chr_1p	del_chr_20q	0	14	3
75	amp_chr_1p	del_chr_21q	0	1	1
76	amp_chr_1p	del_chr_22q_XBP1	7	8	5
77	amp_chr_1p	HyperDiploidy	0	47	13
78	amp_chr_1q_MCL1	amp_chr_2p	38	11	16
79	amp_chr_1q_MCL1	amp_chr_2q	21	11	9
80	amp_chr_1q_MCL1	amp_chr_3p	4	4	2
81	amp_chr_1q_MCL1	amp_chr_3q_TERC	7	1	5
82	amp_chr_1q_MCL1	amp_chr_4p	22	6	9
83	amp_chr_1q_MCL1	amp_chr_4q	34	7	14
84	amp_chr_1q_MCL1	amp_chr_5p	6	0	2
85	amp_chr_1q_MCL1	amp_chr_5q	5	0	1
86	amp_chr_1q_MCL1	amp_chr_6p	55	49	36
87	amp_chr_1q_MCL1	amp_chr_6q	63	32	33
88	amp_chr_1q_MCL1	amp_chr_7p	0	0	0
89	amp_chr_1q_MCL1	amp_chr_7q	12	1	4
90	amp_chr_1q_MCL1	amp_chr_8p	18	7	11
91	amp_chr_1q_MCL1	amp_chr_8q_MYC_amp	46	27	31
92	amp_chr_1q_MCL1	amp_chr_9p	21	0	6
93	amp_chr_1q_MCL1	amp_chr_9q	26	4	10
94	amp_chr_1q_MCL1	amp_chr_10p	11	2	5
95	amp_chr_1q_MCL1	amp_chr_10q	17	3	7
96	amp_chr_1q_MCL1	amp_chr_11p	0	4	1
97	amp_chr_1q_MCL1	amp_chr_11q	6	9	6
98	amp_chr_1q_MCL1	amp_chr_12p	17	1	5
99	amp_chr_1q_MCL1	amp_chr_12q	26	1	8
100	amp_chr_1q_MCL1	amp_chr_13q	25	0	7
101	amp_chr_1q_MCL1	amp_chr_14q	90	3	23
102	amp_chr_1q_MCL1	amp_chr_15q	23	2	9
103	amp_chr_1q_MCL1	amp_chr_16p_BCMA	34	0	12
104	amp_chr_1q_MCL1	amp_chr_16q	37	0	11
105	amp_chr_1q_MCL1	amp_chr_17p	23	20	18
106	amp_chr_1q_MCL1	amp_chr_17q	47	24	24
107	amp_chr_1q_MCL1	amp_chr_18p	26	29	19
108	amp_chr_1q_MCL1	amp_chr_18q	30	30	23
109	amp_chr_1q_MCL1	amp_chr_19p	27	4	10
110	amp_chr_1q_MCL1	amp_chr_19q	5	0	1
111	amp_chr_1q_MCL1	amp_chr_20p	59	0	15
112	amp_chr_1q_MCL1	amp_chr_20q	46	5	13
113	amp_chr_1q_MCL1	amp_chr_21q	5	0	2
114	amp_chr_1q_MCL1	amp_chr_22q	87	0	23
115	amp_chr_1q_MCL1	del_chr_1p_CDKN2C	24	5	14
116	amp_chr_1q_MCL1	del_chr_1p_EVI5	24	11	19
117	amp_chr_1q_MCL1	del_chr_1p_TENT5C	39	15	24
118	amp_chr_1q_MCL1	del_chr_2p	11	8	5
119	amp_chr_1q_MCL1	del_chr_2q_SP140	21	0	7
120	amp_chr_1q_MCL1	del_chr_3p	2	0	1
121	amp_chr_1q_MCL1	del_chr_3q_BCL6	16	4	7
122	amp_chr_1q_MCL1	del_chr_4p_NSD2	35	4	14
123	amp_chr_1q_MCL1	del_chr_4q	31	4	14
124	amp_chr_1q_MCL1	del_chr_5p	9	0	3
125	amp_chr_1q_MCL1	del_chr_5q	29	1	9
126	amp_chr_1q_MCL1	del_chr_6p	0	0	0
127	amp_chr_1q_MCL1	del_chr_6q	51	17	28
128	amp_chr_1q_MCL1	del_chr_7p	32	5	9
129	amp_chr_1q_MCL1	del_chr_7q	13	0	3
130	amp_chr_1q_MCL1	del_chr_8p	91	20	46
131	amp_chr_1q_MCL1	del_chr_8q_MYC_del	2	5	3
132	amp_chr_1q_MCL1	del_chr_9p	27	5	8
