matchID	player1	player2	win1	win2	total_matches_performed
1	amp_chr_1p	amp_chr_1q_MCL1	5	54	18
2	amp_chr_1p	amp_chr_2p	1	28	10
3	amp_chr_1p	amp_chr_2q	5	19	8
4	amp_chr_1p	amp_chr_3p	0	0	0
5	amp_chr_1p	amp_chr_3q_TERC	0	7	2
6	amp_chr_1p	amp_chr_4p	7	20	8
7	amp_chr_1p	amp_chr_4q	6	17	7
8	amp_chr_1p	amp_chr_5p	0	0	0
9	amp_chr_1p	amp_chr_5q	0	0	0
10	amp_chr_1p	amp_chr_6p	0	39	11
11	amp_chr_1p	amp_chr_6q	2	23	8
12	amp_chr_1p	amp_chr_7p	0	0	0
13	amp_chr_1p	amp_chr_7q	0	0	0
14	amp_chr_1p	amp_chr_8p	1	11	5
15	amp_chr_1p	amp_chr_8q_MYC_amp	0	28	10
16	amp_chr_1p	amp_chr_9p	0	1	1
17	amp_chr_1p	amp_chr_9q	0	2	1
18	amp_chr_1p	amp_chr_10p	0	4	2
19	amp_chr_1p	amp_chr_10q	0	7	3
20	amp_chr_1p	amp_chr_11p	0	0	0
21	amp_chr_1p	amp_chr_11q	0	0	0
22	amp_chr_1p	amp_chr_12p	0	9	2
23	amp_chr_1p	amp_chr_12q	0	9	2
24	amp_chr_1p	amp_chr_13q	17	0	6
25	amp_chr_1p	amp_chr_14q	22	6	10
26	amp_chr_1p	amp_chr_15q	0	6	2
27	amp_chr_1p	amp_chr_16p_BCMA	1	7	3
28	amp_chr_1p	amp_chr_16q	9	0	4
29	amp_chr_1p	amp_chr_17p	0	13	4
30	amp_chr_1p	amp_chr_17q	3	21	8
31	amp_chr_1p	amp_chr_18p	0	24	7
32	amp_chr_1p	amp_chr_18q	0	34	11
33	amp_chr_1p	amp_chr_19p	0	4	1
34	amp_chr_1p	amp_chr_19q	0	0	0
35	amp_chr_1p	amp_chr_20p	0	4	1
36	amp_chr_1p	amp_chr_20q	0	7	3
37	amp_chr_1p	amp_chr_21q	0	5	1
38	amp_chr_1p	amp_chr_22q	9	2	5
39	amp_chr_1p	del_chr_1q	0	0	0
40	amp_chr_1p	del_chr_2p	0	0	0
41	amp_chr_1p	del_chr_2q_SP140	0	0	0
42	amp_chr_1p	del_chr_3p	0	0	0
43	amp_chr_1p	del_chr_3q_BCL6	0	10	2
44	amp_chr_1p	del_chr_4p_NSD2	0	5	1
45	amp_chr_1p	del_chr_4q	0	3	1
46	amp_chr_1p	del_chr_5p	0	0	0
47	amp_chr_1p	del_chr_5q	0	0	0
48	amp_chr_1p	del_chr_6p	0	0	0
49	amp_chr_1p	del_chr_6q	5	10	5
50	amp_chr_1p	del_chr_7p	2	1	2
51	amp_chr_1p	del_chr_7q	2	0	1
52	amp_chr_1p	del_chr_8p	1	29	12
53	amp_chr_1p	del_chr_8q_MYC_del	0	8	2
54	amp_chr_1p	del_chr_9p	0	0	0
55	amp_chr_1p	del_chr_9q	0	0	0
56	amp_chr_1p	del_chr_10p	0	3	1
57	amp_chr_1p	del_chr_10q	0	0	0
58	amp_chr_1p	del_chr_11p	3	0	1
59	amp_chr_1p	del_chr_11q_BIRC2	3	0	1
60	amp_chr_1p	del_chr_12p	1	6	3
61	amp_chr_1p	del_chr_12q	1	0	1
62	amp_chr_1p	del_chr_13q	11	45	17
63	amp_chr_1p	del_chr_14q_MAX	0	20	5
64	amp_chr_1p	del_chr_15q	0	0	0
65	amp_chr_1p	del_chr_16p	10	6	5
66	amp_chr_1p	del_chr_16q_CYLD	2	33	11
67	amp_chr_1p	del_chr_17p	23	11	11
68	amp_chr_1p	del_chr_17q	20	6	9
69	amp_chr_1p	del_chr_18p	0	4	2
70	amp_chr_1p	del_chr_18q	0	0	0
71	amp_chr_1p	del_chr_19p	0	0	0
72	amp_chr_1p	del_chr_19q	0	0	0
73	amp_chr_1p	del_chr_20p	1	8	4
74	amp_chr_1p	del_chr_20q	0	14	3
75	amp_chr_1p	del_chr_21q	0	1	1
76	amp_chr_1p	del_chr_22q_XBP1	7	17	7
77	amp_chr_1p	HyperDiploidy	0	68	19
78	amp_chr_1q_MCL1	amp_chr_2p	72	20	30
79	amp_chr_1q_MCL1	amp_chr_2q	36	16	17
80	amp_chr_1q_MCL1	amp_chr_3p	10	6	6
81	amp_chr_1q_MCL1	amp_chr_3q_TERC	13	7	11
82	amp_chr_1q_MCL1	amp_chr_4p	47	11	20
83	amp_chr_1q_MCL1	amp_chr_4q	47	9	20
84	amp_chr_1q_MCL1	amp_chr_5p	19	0	5
85	amp_chr_1q_MCL1	amp_chr_5q	9	0	2
86	amp_chr_1q_MCL1	amp_chr_6p	94	77	60
87	amp_chr_1q_MCL1	amp_chr_6q	95	60	53
88	amp_chr_1q_MCL1	amp_chr_7p	1	0	1
89	amp_chr_1q_MCL1	amp_chr_7q	12	1	4
90	amp_chr_1q_MCL1	amp_chr_8p	50	9	20
91	amp_chr_1q_MCL1	amp_chr_8q_MYC_amp	81	41	46
92	amp_chr_1q_MCL1	amp_chr_9p	28	1	9
93	amp_chr_1q_MCL1	amp_chr_9q	38	6	17
94	amp_chr_1q_MCL1	amp_chr_10p	19	7	8
95	amp_chr_1q_MCL1	amp_chr_10q	30	10	14
96	amp_chr_1q_MCL1	amp_chr_11p	4	4	3
97	amp_chr_1q_MCL1	amp_chr_11q	5	9	6
98	amp_chr_1q_MCL1	amp_chr_12p	43	1	11
99	amp_chr_1q_MCL1	amp_chr_12q	64	1	17
100	amp_chr_1q_MCL1	amp_chr_13q	53	0	14
101	amp_chr_1q_MCL1	amp_chr_14q	172	3	42
102	amp_chr_1q_MCL1	amp_chr_15q	42	3	15
103	amp_chr_1q_MCL1	amp_chr_16p_BCMA	36	1	14
104	amp_chr_1q_MCL1	amp_chr_16q	59	1	18
105	amp_chr_1q_MCL1	amp_chr_17p	34	33	25
106	amp_chr_1q_MCL1	amp_chr_17q	62	34	32
107	amp_chr_1q_MCL1	amp_chr_18p	38	43	29
108	amp_chr_1q_MCL1	amp_chr_18q	44	44	34
109	amp_chr_1q_MCL1	amp_chr_19p	30	5	11
110	amp_chr_1q_MCL1	amp_chr_19q	10	0	2
111	amp_chr_1q_MCL1	amp_chr_20p	121	0	32
112	amp_chr_1q_MCL1	amp_chr_20q	99	2	28
113	amp_chr_1q_MCL1	amp_chr_21q	20	1	7
114	amp_chr_1q_MCL1	amp_chr_22q	146	2	39
115	amp_chr_1q_MCL1	del_chr_1p_CDKN2C	57	8	25
116	amp_chr_1q_MCL1	del_chr_1p_EVI5	66	35	45
117	amp_chr_1q_MCL1	del_chr_1p_TENT5C	85	27	45
118	amp_chr_1q_MCL1	del_chr_2p	15	8	6
119	amp_chr_1q_MCL1	del_chr_2q_SP140	29	0	9
120	amp_chr_1q_MCL1	del_chr_3p	12	0	4
121	amp_chr_1q_MCL1	del_chr_3q_BCL6	35	4	11
122	amp_chr_1q_MCL1	del_chr_4p_NSD2	72	6	26
123	amp_chr_1q_MCL1	del_chr_4q	48	8	22
124	amp_chr_1q_MCL1	del_chr_5p	10	0	3
125	amp_chr_1q_MCL1	del_chr_5q	27	1	9
126	amp_chr_1q_MCL1	del_chr_6p	25	3	7
127	amp_chr_1q_MCL1	del_chr_6q	79	26	40
