hgnc_symbol	chromosome_name	start_position	end_position	type	refgenome
MCL1	1	150560895	150579738	focal_amp	hg38
MYC_amp	8	127735434	127742951	focal_amp	hg38
TERC	3	169764520	169765060	focal_amp	hg38
TNFRSF17	16	11965210	11968068	focal_amp	hg38
BCL6	3	187721377	187745725	focal_del	hg38
BIRC2	11	102347211	102378670	focal_del	hg38
CDKN2C	1	50960745	50974634	focal_del	hg38
CYLD	16	50742050	50801935	focal_del	hg38
EVI5	1	92508696	92792404	focal_del	hg38
MAX	14	65006174	65102695	focal_del	hg38
MYC_del	8	127735434	127742951	focal_del	hg38
NSD2	4	1871393	1982207	focal_del	hg38
SP140	2	230203110	230313215	focal_del	hg38
TENT5C	1	117606048	117628389	focal_del	hg38
XBP1	22	28794555	28800597	focal_del	hg38
