sample	amp_chr_1p	amp_chr_1q_MCL1	amp_chr_2p	amp_chr_2q	amp_chr_3p	amp_chr_3q_TERC	amp_chr_4p	amp_chr_4q	amp_chr_5p	amp_chr_5q	amp_chr_6p	amp_chr_6q	amp_chr_7p	amp_chr_7q	amp_chr_8p	amp_chr_8q_MYC_amp	amp_chr_9p	amp_chr_9q	amp_chr_10p	amp_chr_10q	amp_chr_11p	amp_chr_11q	amp_chr_12p	amp_chr_12q	amp_chr_13q	amp_chr_14q	amp_chr_15q	amp_chr_16p_BCMA	amp_chr_16q	amp_chr_17p	amp_chr_17q	amp_chr_18p	amp_chr_18q	amp_chr_19p	amp_chr_19q	amp_chr_20p	amp_chr_20q	amp_chr_21q	amp_chr_22q	del_chr_1p_CDKN2C	del_chr_1p_EVI5	del_chr_1p_TENT5C	del_chr_1q	del_chr_2p	del_chr_2q_SP140	del_chr_3p	del_chr_3q_BCL6	del_chr_4p_NSD2	del_chr_4q	del_chr_5p	del_chr_5q	del_chr_6p	del_chr_6q	del_chr_7p	del_chr_7q	del_chr_8p	del_chr_8q_MYC_del	del_chr_9p	del_chr_9q	del_chr_10p	del_chr_10q	del_chr_11p	del_chr_11q_BIRC2	del_chr_12p	del_chr_12q	del_chr_13q	del_chr_14q_MAX	del_chr_15q	del_chr_16p	del_chr_16q_CYLD	del_chr_17p	del_chr_17q	del_chr_18p	del_chr_18q	del_chr_19p	del_chr_19q	del_chr_20p	del_chr_20q	del_chr_21q	del_chr_22q_XBP1
SCI001	0	0.013	0.02	0.021	0	0	0.033	0	0.958	1	0.521	0.056	0.93	0.943	0.034	0.027	0.005	0.005	0.025	0.012	0	0	0	0	0	0.039	1	0	0.061	0	0	0	0	0.738	0.718	0	0	0	0	0.989	0.98	0	0	0	0	0.023	0.023	0.01	0.071	0	0	0	0	0	0	0	0	0	0	0	0	0.051	0.051	0.049	0.05	0.98	0	0	0.005	0	0.013	0.061	0.036	0.038	0	0	0.999	0.015	0.033	0.015
SCI002	0.019	0.019	0.015	0.018	0.02	0.019	0.018	0.019	0.013	0.014	0.013	0.013	0.019	0.018	0.007	0.007	0.017	0.025	0.02	0.02	0.014	0.016	0	0	0.01	0.003	0.02	0.025	0.001	0.03	0.027	0	0	0.013	0.019	0.009	0.019	0.025	0.027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.012	0.012	0	0	0	0	0	0	0	0.016	0.016	0	0	0	0	0	0
SCI003	0.021	0.092	0.014	0	0	0	0.012	0.013	0.011	0	0.001	0.001	0	0	0.006	0.006	0	0.239	0.036	0.036	0	0.551	0	0	0	0.005	0	0.021	0	0.023	0.014	0	0	1	0	0.027	0.018	0	0.01	0	0	0	0	0	0	0.004	0.004	0	0	0	0.004	0	0	0.036	0.02	0	0	0.002	0	0	0	0.001	0	0.083	0.084	1	0	0.788	0	0.003	0	0	0.038	0.038	0	0.085	0	0	0.002	0
SCI004	0	0	0	0	0.958	0.958	0	0	0.929	1	1	0.137	0.01	0.008	0	0.015	1	1	0	0	0.877	1	0	0	0	0.011	1	0.013	0.086	0	0	0.008	0.005	0.962	0.946	0	0	0	0	0.059	0.059	0.059	0.049	0.031	0.014	0	0	0.02	0.005	0	0	0	0	0	0	0.015	0	0	0	0.001	0.013	0	0	0.017	0.017	0.007	0	0	0	0	0.05	0.05	0	0	0	0	0.042	0.041	0.055	0.013
SCI005	0.008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.021	0.006	0.001	0.001	0	0	0	0	0	0.01	0.002	0	0.009	0.01	0	0	0	0	0	0.002	0	0	0	0	0	0.004	0.013	0.013	0.01	0.006	0.006	0	0.019	0.009	0.003	0.028	0.015	0.01	0.025	0.016	0.019	0	0	0	0	0.009	0.036	0.037	0.02	0.005	0	0	0.009	0	0	0.047	0.047	0.032	0.004	0.02	0	0	0.438
SCI006	0.012	0.012	0	0.004	0.007	0.007	0.005	0.004	0.008	0.008	0.009	0	0.009	0.012	0.015	0	0	0.01	0.021	0.002	0.005	0.005	0	0	0.006	0.028	0.021	0.011	0.006	0.022	0.015	0	0	0.006	0.017	0.009	0.009	0.019	0.02	0	0	0	0	0.004	0	0	0	0	0	0	0	0	0.001	0	0	0	0.002	0.006	0	0	0	0	0	0.031	0.031	0	0	0	0	0	0	0	0.037	0.037	0	0	0	0	0	0
SCI007	0.103	1	0	0	0.954	0.938	0.987	0.989	0.984	0.984	1	1	1	1	0	0	0.954	1	0.01	0.009	0.913	0.915	0.034	0.034	0	0.009	0.992	0.811	0.777	1	1	1	1	1	0.104	0	0.031	0	0.081	0.005	0.005	0.005	0	0.014	0.014	0	0	0	0	0	0	0	0	0	0	0.017	0.017	0	0	0	0	0	0	0	0	0.018	0	0	0	0	0	0	0	0	0	0	0.024	0	0.026	0
SCI009	0	0.041	0.022	0.022	0.021	0.021	0.004	0.009	0.011	0.02	0.023	0	0.034	0.026	0.022	0.017	0.081	1	0.006	0	0.034	0.034	0	0	0	0.015	0.015	0.781	0	0	0	0.017	0.024	0.008	0	0	0	0.018	0	1	0	0	0	0	0	0	0	0.062	0	0	0	0	1	0	0	0	0	0	0	0	0.011	0	0	0.035	0.035	1	0.002	0	0	1	0.013	0.001	0	0	0	0.006	0.003	0.003	0	0.03
SCI010	0.006	0.093	0.01	0.01	0	0	0.026	0.026	0.914	1	0.033	0.033	0.958	0.957	0	0.353	0.973	0.997	0.018	0.02	0.772	0.772	0	0	0.014	0.031	1	0.047	0	0	0.102	0.969	0.969	0.834	1	0.28	0	0	0	0	0	0	0	0	0	0.033	0.03	0	0	0	0	0	0	0	0	0.868	0	0	0	0	0	0	0	0.153	0.153	0	0	0	0.035	0.976	0.031	0	0	0	0	0	0	0.28	0.024	0.874
SCI011	0.006	0.007	0.016	0.012	0.012	0.012	0.014	0.014	0.009	0.009	0.009	0.009	1	1	0.027	0.014	1	1	0.019	0.015	0.009	0.009	0.004	0.004	0.019	0.01	0.008	0.003	0.011	0	0	1	1	0.958	0.974	0.012	0.012	0.018	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001	0	0.006	0.006	0	0	0	0	0	0	0	0.002
