ID	chr	start	end	n_probes	Seg.CN	width	CN	purity	SD	CI95	CI95_purCorr
SCI001	1	632500	16677500	2906	-0.003083789866252908	16045000	1.99572952523666	0.99	0.12533141373155002	0.004554561487656107	0.0046005671592485925
SCI001	1	16957500	49662500	6168	-0.004434473445572687	32705000	1.99386195268976	0.99	0.12533141373155002	0.003126239110552258	0.0031578172833861195
SCI001	1	49677500	61252500	2105	-0.9847500730835798	11575000	1.01062650835553	0.99	0.12533141373155002	0.005351411214506743	0.005405465873239134
SCI001	1	61262500	61572500	55	-9.261852345696251	310000	0.00325787655404835	0.99	0.12533141373155002	0.033106481700472784	0.03344089060653817
SCI001	1	61582500	93282500	4946	-0.9710410429949099	31700000	1.02027563318121	0.99	0.12533141373155002	0.003491140429806271	0.003526404474551789
SCI001	1	93292500	121772500	4249	0.016774669527742356	28480000	2.02339034973696	0.99	0.12533141373155002	0.003766613069218079	0.0038046596658768473
SCI001	1	124942500	197342500	8225	0.009506594338923266	72400000	2.01322245475936	0.99	0.12533141373155002	0.002707237899301999	0.002734583736668686
SCI001	1	197352500	197477500	21	0.014494360362875157	125000	2.02019472560114	0.99	0.12533141373155002	0.053577781545509746	0.054118971258090655
SCI001	1	197487500	248922500	8882	0.007527496630983528	51435000	2.01046259755115	0.99	0.12533141373155002	0.0026051875262777854	0.0026315025517957428
SCI001	2	37500	88857500	14889	0.004814850576958066	88820000	2.00668595084518	0.99	0.12533141373155002	0.0020121558218122626	0.0020324806280931948
SCI001	2	89187500	89662500	20	0.005635144166807757	475000	2.0078272451794	0.99	0.12533141373155002	0.05490088896461771	0.05545544339860375
SCI001	2	89672500	91562500	80	0.4123624171097801	1890000	2.66172664626967	0.99	0.12533141373155002	0.027450444482308854	0.027727721699301874
SCI001	2	91572500	242122500	23621	0.014953673467412786	150550000	2.02083800058952	0.99	0.12533141373155002	0.0015975160667722078	0.0016136525926991998
SCI001	3	42500	195617500	31788	-0.01636019517855818	195575000	1.97744806508306	0.99	0.12533141373155002	0.0013770914197493763	0.0013910014340902791
SCI001	3	195627500	195747500	22	0.44840570572752364	120000	2.7290630119887	0.99	0.12533141373155002	0.052345943744089164	0.052874690650595114
SCI001	3	195757500	197027500	234	-0.03481131709321514	1270000	1.95231883892412	0.99	0.12533141373155002	0.016050421644500917	0.01621254711565749
SCI001	3	197037500	197232500	27	-0.0389728590782009	195000	1.94669537047732	0.99	0.12533141373155002	0.047251161922654876	0.04772844638652008
SCI001	3	197237500	198172500	158	-0.05409189237171032	935000	1.92640108213427	0.99	0.12533141373155002	0.019532859717601624	0.019730161330910732
SCI001	4	37500	8952500	1657	-0.007109554863268987	8915000	1.9901683092081	0.99	0.12533141373155002	0.006031608163006718	0.006092533497986584
SCI001	4	9507500	150472500	20361	0.030659798968290113	140965000	2.04295835986733	0.99	0.12533141373155002	0.0017206590480549995	0.0017380394424797974
SCI001	4	150477500	151202500	96	0.02427127591087216	725000	2.03393175922394	0.99	0.12533141373155002	0.025058712760839638	0.02531183107155519
SCI001	4	151207500	156632500	893	0.013234202764703181	5425000	2.01843090708462	0.99	0.12533141373155002	0.0082161554032540475	0.008299146871973785
SCI001	4	156637500	168292500	1589	-0.0518868384926511	11655000	1.92934769659717	0.99	0.12533141373155002	0.006159315149446296	0.006221530453986157
SCI001	4	168297500	190177500	3373	0.024948183021218463	21880000	2.03488629630347	0.99	0.12533141373155002	0.004227525188677526	0.004270227463310633
SCI001	5	17500	32102500	4987	0.5509892052383724	32085000	2.93017982448448	0.99	0.12533141373155002	0.0034767598233817914	0.003511878609476557
SCI001	5	32177500	84847500	7857	0.5899364749999132	52670000	3.010360939165	0.99	0.12533141373155002	0.0027699121669309042	0.002797891077707984
SCI001	5	84857500	85042500	14	0.40373251686701656	185000	2.64585227962097	0.99	0.12533141373155002	0.065619113168402	0.06628193249333535
SCI001	5	85057500	104072500	2603	0.6043339091861647	19015000	3.0405533620066594	0.99	0.12533141373155002	0.00481235093745051	0.004860960542879303
SCI001	5	104077500	104132500	8	0.6585005097188383	55000	3.15688238087287	0.99	0.12533141373155002	0.08680592734809764	0.08768275489706832
SCI001	5	104137500	181287500	13099	0.585963079875373	77150000	3.00208136754038	0.99	0.12533141373155002	0.0021452371214406786	0.0021669061832734126
SCI001	6	162500	31422500	5528	0.5572487264532315	31260000	2.94292081941559	0.99	0.12533141373155002	0.0033022531059314886	0.0033356091979105944
SCI001	6	31437500	170607500	21532	0.04005155067621676	139170000	2.05630112817467	0.99	0.12533141373155002	0.001673216693882269	0.0016901178726083526
SCI001	7	57500	58027500	9705	0.5507031062449493	57970000	2.9295988019143295	0.99	0.12533141373155002	0.0024922786931228813	0.0025174532253766477
SCI001	7	58037500	104217500	6481	0.5606220747066073	46180000	2.94981008703307	0.99	0.12533141373155002	0.0030498140708416213	0.003080620273577395
SCI001	7	104222500	159332500	8866	0.5546625756468376	55110000	2.9376501146721004	0.99	0.12533141373155002	0.0026075371885603913	0.0026338759480407994
SCI001	8	222500	7367500	1127	0.005456210795100467	7145000	2.00757823550648	0.99	0.12533141373155002	0.00731362041945337	0.007387495373185222
SCI001	8	7382500	8162500	8	0.3856748258069829	780000	2.61294150118326	0.99	0.12533141373155002	0.08680592734809764	0.08768275489706832
SCI001	8	8182500	145072500	22416	0.019405868819331255	136890000	2.02708399321862	0.99	0.12533141373155002	0.0016398922579512686	0.0016564568262134028
SCI001	9	62500	138202500	19260	0.003919452587512869	138140000	2.00544090248058	0.99	0.12533141373155002	0.0017691564214380113	0.0017870266883212235
SCI001	10	57500	38527500	6650	0.014701810195536968	38470000	2.02048523688622	0.99	0.12533141373155002	0.0030108114006928773	0.0030412236370635126
SCI001	10	38582500	42237500	190	0.10608402625131687	3655000	2.15260561917683	0.99	0.12533141373155002	0.017812200458364964	0.017992121675116126
SCI001	10	42247500	133417500	15502	0.0047850129288847035	91170000	2.00664444923303	0.99	0.12533141373155002	0.0019719709289785503	0.0019918898272510608
SCI001	10	133442500	133567500	23	0.6569159593188174	125000	3.15341699625806	0.99	0.12533141373155002	0.051195342936173595	0.05171246761229656
SCI001	10	133582500	133692500	14	-0.06880574742965742	110000	1.90685382280998	0.99	0.12533141373155002	0.065619113168402	0.06628193249333535
SCI001	11	207500	135072500	22459	-0.037389751469650234	134865000	1.94883270350323	0.99	0.12533141373155002	0.0016383216370059698	0.0016548703404100705
SCI001	12	17500	63537500	10251	-0.0360232211910847	63520000	1.95067952524406	0.99	0.12533141373155002	0.0024249972908256456	0.0024494922129551975
SCI001	12	63547500	63737500	32	-0.31448994489354154	190000	1.60827047417175	0.99	0.12533141373155002	0.04340296367404882	0.04384137744853416
SCI001	12	63752500	133252500	11768	-0.03631484372482685	69500000	1.9502852599286	0.99	0.12533141373155002	0.002263304800919412	0.0022861664655751636
SCI001	13	18502500	114332500	14340	-0.970894339682739	95830000	1.0203793872116	0.99	0.12533141373155002	0.002050311269733639	0.0020710214845794336
